n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,2.208052039434128,269,model_validate = 1 AND unsat_core = 1,unsat_core==0,0,0.0,0.0,0.0,0,0.2885091304779053
3,4.108212910769648,142,dump_models = 1 AND smtlib2_compliant = 1 AND unsat_core = 1,unsat_core==1 AND dump_models==1 AND smtlib2_compliant==1,0,1.0,1.0,1.0,0,0.4361419677734375
4,3.517283643082916,106,model = 1 AND model_validate = 1 AND stats = 1 AND unsat_core = 1,auto_config==1 AND well_sorted_check==1 AND dump_models==0 AND model==1,2,0.096551724137931,0.1794871794871795,0.0660377358490566,0,0.6178719997406006
5,3.6929318549450656,66,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND trace = 1,auto_config==1 AND dump_models==1 AND proof==0 AND trace==1,0,0.4390243902439024,0.4736842105263157,0.4090909090909091,0,0.4918773174285888
6,4.53336422989852,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND proof = 1 AND stats = 1 AND type_check = 1,auto_config==1 AND dump_models==1 AND model==1 AND proof==1 AND stats==1 AND type_check==1,0,1.0,1.0,1.0,0,0.4915618896484375
2,3.134771938771626,276,proof = 1 AND stats = 1,well_sorted_check==0 AND debug_ref_count==0 AND dump_models==1 AND smtlib2_compliant==0 AND stats==0 AND trace==0 AND type_check==0,0,0.0,0.0,0.0,1,0.5065183639526367
3,2.1242796555143397,196,debug_ref_count = 1 AND stats = 1 AND type_check = 1,unsat_core==1 AND type_check==0,0,0.0,0.0,0.0,1,0.428680419921875
4,4.067832749481585,71,auto_config = 1 AND model = 1 AND type_check = 1 AND well_sorted_check = 1,auto_config==1 AND well_sorted_check==1 AND model==1 AND type_check==1,0,1.0,1.0,1.0,1,0.4619641304016113
5,2.1290670676144647,66,auto_config = 1 AND debug_ref_count = 1 AND dump_models = 1 AND model_validate = 1 AND proof = 1,debug_ref_count==1 AND model_validate==0 AND stats==0 AND trace==0 AND type_check==0,0,0.0,0.0,0.0,1,0.5124526023864746
6,2.2511191075428605,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND proof = 1 AND stats = 1 AND type_check = 1,auto_config==1 AND dump_models==0 AND model==1 AND model_validate==0 AND smtlib2_compliant==0,0,0.0,0.0,0.0,1,0.489870548248291
2,2.784330077679612,295,auto_config = 1 AND model = 1,model==0 AND model_validate==1 AND smtlib2_compliant==1,0,0.0,0.0,0.0,10,0.4295833110809326
3,4.061639289796334,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate==1 AND proof==1 AND type_check==1,0,1.0,1.0,1.0,10,0.5173382759094238
4,4.045596505176476,112,debug_ref_count = 1 AND stats = 1 AND trace = 1 AND type_check = 1,debug_ref_count==1 AND stats==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,10,0.4194698333740234
5,1.927301184264807,79,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND type_check = 1,auto_config==0 AND unsat_core==1 AND well_sorted_check==0 AND debug_ref_count==0 AND dump_models==1,0,0.0,0.0,0.0,10,0.4204306602478027
6,4.223511940849457,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND type_check = 1,auto_config==1 AND dump_models==1 AND model==1 AND model_validate==1 AND stats==1 AND type_check==1,0,1.0,1.0,1.0,10,0.5036895275115967
2,3.772239271452453,260,smtlib2_compliant = 1 AND trace = 1,smtlib2_compliant==1 AND trace==1,0,1.0,1.0,1.0,11,0.3356940746307373
3,2.109166483378781,160,model_validate = 1 AND proof = 1 AND trace = 1,debug_ref_count==0 AND proof==0 AND stats==1 AND trace==1,0,0.0,0.0,0.0,11,0.3936271667480469
4,3.49159616944229,104,model_validate = 1 AND proof = 1 AND trace = 1 AND type_check = 1,dump_models==0 AND model==1 AND smtlib2_compliant==0 AND stats==0 AND trace==1,3,0.0588235294117647,0.125,0.0384615384615384,11,0.6550636291503906
5,3.523982222388478,68,model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND unsat_core = 1,unsat_core==0 AND well_sorted_check==0 AND model==0 AND model_validate==0 AND trace==1 AND type_check==0,0,0.0,0.0,0.0,11,0.5554141998291016
6,4.103099023518128,53,dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND type_check = 1,dump_models==1 AND model==1 AND model_validate==1 AND stats==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,11,0.5261659622192383
2,4.253718973144405,297,auto_config = 1 AND type_check = 1,auto_config==1 AND type_check==1,0,1.0,1.0,1.0,12,0.34334397315979
3,3.265074066346477,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,unsat_core==1 AND well_sorted_check==0 AND dump_models==1 AND model==1 AND model_validate==0 AND stats==1 AND trace==1,0,0.0,0.0,0.0,12,0.6596078872680664
4,2.403756535146042,83,auto_config = 1 AND dump_models = 1 AND smtlib2_compliant = 1 AND unsat_core = 1,unsat_core==0 AND debug_ref_count==0 AND dump_models==0 AND model==0 AND proof==0 AND stats==1,0,0.0,0.0,0.0,12,0.5072367191314697
5,3.496157850655892,70,debug_ref_count = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND unsat_core = 1,unsat_core==1 AND debug_ref_count==0 AND dump_models==0 AND model_validate==1 AND type_check==1,0,0.0,0.0,0.0,12,0.5616855621337891
6,3.214532621376107,53,dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND type_check = 1,unsat_core==1 AND well_sorted_check==0 AND debug_ref_count==0 AND model==0 AND model_validate==1 AND stats==0,0,0.0,0.0,0.0,12,0.5637059211730957
2,2.709820132455402,286,proof = 1 AND unsat_core = 1,auto_config==1 AND debug_ref_count==1 AND model==1 AND proof==0,0,0.0,0.0,0.0,13,0.4649016857147217
3,2.049535269927972,97,dump_models = 1 AND trace = 1 AND well_sorted_check = 1,auto_config==1 AND well_sorted_check==0 AND dump_models==1 AND smtlib2_compliant==0 AND type_check==0,0,0.0,0.0,0.0,13,0.5768179893493652
4,2.872285564941968,121,auto_config = 1 AND debug_ref_count = 1 AND dump_models = 1 AND model = 1,unsat_core==0 AND well_sorted_check==1 AND model==0 AND stats==1,0,0.0,0.0,0.0,13,0.4659061431884765
5,3.085440696586376,57,debug_ref_count = 1 AND model_validate = 1 AND proof = 1 AND stats = 1 AND unsat_core = 1,unsat_core==0 AND well_sorted_check==1 AND smtlib2_compliant==1 AND stats==0 AND trace==1,0,0.0,0.0,0.0,13,0.5579555034637451
6,4.309333791230808,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND type_check = 1,auto_config==1 AND dump_models==1 AND model==1 AND model_validate==1 AND stats==1 AND type_check==1,0,1.0,1.0,1.0,13,0.5110857486724854
2,3.9940133861522313,269,smtlib2_compliant = 1 AND type_check = 1,smtlib2_compliant==1 AND type_check==1,0,1.0,1.0,1.0,14,0.3638725280761719
3,2.8606518354911525,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,debug_ref_count==1 AND dump_models==0 AND smtlib2_compliant==1 AND type_check==1,0,0.0,0.0,0.0,14,0.5092260837554932
4,3.747182460017895,92,debug_ref_count = 1 AND model_validate = 1 AND smtlib2_compliant = 1 AND trace = 1,debug_ref_count==1 AND model_validate==1 AND smtlib2_compliant==1 AND trace==1,2,1.0,1.0,1.0,14,0.6385335922241211
5,4.035057687867814,76,debug_ref_count = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND smtlib2_compliant = 1,debug_ref_count==1 AND dump_models==1 AND model==1 AND model_validate==1 AND smtlib2_compliant==1,2,1.0,1.0,1.0,14,0.5159809589385986
6,2.7345706663395464,57,debug_ref_count = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND trace = 1 AND type_check = 1,auto_config==1 AND debug_ref_count==0 AND model==0 AND stats==0 AND trace==0 AND type_check==0,0,0.0,0.0,0.0,14,0.6101322174072266
2,3.029038379699263,173,unsat_core = 1 AND well_sorted_check = 1,unsat_core==0 AND debug_ref_count==0 AND proof==0 AND smtlib2_compliant==1 AND trace==0 AND type_check==0,0,0.0,0.0,0.0,15,0.5145182609558105
3,2.586112665116524,172,proof = 1 AND stats = 1 AND trace = 1,unsat_core==1 AND well_sorted_check==0 AND proof==0 AND stats==1 AND type_check==1,0,0.0,0.0,0.0,15,0.6157195568084717
4,2.064568950702904,119,debug_ref_count = 1 AND model = 1 AND model_validate = 1 AND trace = 1,model==0 AND model_validate==1 AND smtlib2_compliant==1 AND trace==1,0,0.0,0.0,0.0,15,0.3801774978637695
5,3.985624788588037,67,auto_config = 1 AND proof = 1 AND stats = 1 AND trace = 1 AND type_check = 1,auto_config==1 AND proof==1 AND stats==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,15,0.5251610279083252
6,2.652688804354404,53,dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND type_check = 1,auto_config==0 AND unsat_core==1 AND well_sorted_check==1 AND dump_models==0 AND model==0 AND proof==0 AND smtlib2_compliant==0,0,0.0,0.0,0.0,15,0.5212793350219727
2,4.489633145966313,283,smtlib2_compliant = 1 AND stats = 1,smtlib2_compliant==1 AND stats==1,0,1.0,1.0,1.0,16,0.3358843326568603
3,2.8471184072153903,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,well_sorted_check==0 AND dump_models==0 AND smtlib2_compliant==0 AND stats==1 AND trace==1 AND type_check==0,0,0.0,0.0,0.0,16,0.5970747470855713
4,2.8410513997827995,97,model = 1 AND proof = 1 AND smtlib2_compliant = 1 AND trace = 1,auto_config==0 AND unsat_core==0 AND well_sorted_check==0 AND dump_models==0 AND model==0 AND proof==0 AND stats==1,0,0.0,0.0,0.0,16,0.4759204387664795
5,3.916727621132564,67,debug_ref_count = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND type_check = 1,debug_ref_count==1 AND model==1 AND model_validate==1 AND stats==1 AND type_check==1,0,1.0,1.0,1.0,16,0.5104994773864746
6,2.221682265863627,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND type_check = 1,well_sorted_check==0 AND dump_models==1 AND model_validate==1 AND proof==1 AND stats==0 AND type_check==0,0,0.0,0.0,0.0,16,0.4639432430267334
2,2.245728072405943,274,dump_models = 1 AND trace = 1,trace==0,0,0.0,0.0,0.0,17,0.3190031051635742
3,4.231118736678737,150,model_validate = 1 AND proof = 1 AND smtlib2_compliant = 1,model_validate==1 AND proof==1 AND smtlib2_compliant==1,0,1.0,1.0,1.0,17,0.4320440292358398
4,3.2821787957314448,115,auto_config = 1 AND dump_models = 1 AND model = 1 AND stats = 1,debug_ref_count==1 AND dump_models==0 AND model==1 AND model_validate==0 AND proof==1 AND smtlib2_compliant==1,0,0.0,0.0,0.0,17,0.6300883293151855
5,1.920405663714899,54,auto_config = 1 AND dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1 AND unsat_core = 1,unsat_core==1 AND dump_models==0 AND model_validate==0,0,0.0,0.0,0.0,17,0.4104619026184082
6,4.113040729965205,53,dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND type_check = 1,dump_models==1 AND model==1 AND model_validate==1 AND stats==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,17,0.5001306533813477
2,2.723499177397261,293,dump_models = 1 AND type_check = 1,well_sorted_check==0 AND dump_models==0 AND trace==1,0,0.0,0.0,0.0,18,0.3974649906158447
3,4.338006402035813,118,debug_ref_count = 1 AND model = 1 AND well_sorted_check = 1,well_sorted_check==1 AND debug_ref_count==1 AND model==1,0,1.0,1.0,1.0,18,0.4032537937164306
4,3.681543170606268,105,debug_ref_count = 1 AND model = 1 AND proof = 1 AND type_check = 1,debug_ref_count==1 AND dump_models==1 AND proof==1 AND type_check==1,4,0.7164179104477612,0.75,0.6857142857142857,18,0.5863580703735352
