n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.483118772506714
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,2.501791477203369
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,2.629819393157959
1,0.0034482758620689,0.125,0.0017482517482517,0.0,0.0,0.0,0.0,0.0,0.0,1,2.446084976196289
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,2.547903299331665
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,2.5146820545196533
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.5083160400390625
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,2.4477381706237797
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,2.4604084491729736
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2.393169403076172
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,2.3352153301239014
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,2.3273112773895264
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3.893033742904663
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,3.858996152877808
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,3.5900862216949463
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.5562820434570312
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,2.552111387252808
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,2.3818931579589844
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3.390336036682129
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,3.42718505859375
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,3.2542612552642822
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.8000800609588623
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,2.8998665809631348
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,2.851240396499634
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5.274126768112183
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,5.255712985992432
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,5.254773616790772
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2.9442853927612305
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,2.7351090908050537
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,2.692113876342773
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2.902161836624145
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,2.9464762210845947
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,2.963412046432495
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2.3706462383270264
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,2.327337741851806
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,2.287286758422852
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.6038084030151367
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,2.628772020339966
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,2.6119065284729004
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.6209592819213867
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,2.5400516986846924
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,2.292922258377075
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2.5100090503692627
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,2.44876766204834
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,2.4145991802215576
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5.197103261947632
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,5.153982639312744
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,5.228351354598999
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2.7563295364379883
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,2.610459089279175
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,2.6250264644622803
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2.6086833477020264
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,2.51175594329834
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,2.4798099994659424
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2.4328744411468506
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,2.3348491191864014
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,2.346787214279175
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2.707526922225952
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26,2.5030770301818848
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26,2.4853339195251465
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3.7961809635162354
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27,3.6800382137298575
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27,3.722004175186157
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2.389990329742432
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28,2.3260598182678223
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28,2.2954704761505127
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3.86177921295166
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29,3.7749156951904297
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29,3.792226552963257
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.254777669906616
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,3.1725471019744877
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3,3.207545518875122
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.9947237968444824
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30,2.528905868530273
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30,2.558697462081909
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,4.759805679321289
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,31,4.412899494171143
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31,4.393604040145874
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,3.912299156188965
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32,3.5945560932159424
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,32,3.691982269287109
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,2.913596868515014
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,33,2.8254010677337646
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,33,2.673711061477661
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,2.740401029586792
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,34,2.4804368019104004
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,34,2.458005428314209
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,4.017117023468018
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,35,3.89402437210083
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35,3.6456704139709473
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,3.828737258911133
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,36,3.772653102874756
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,36,3.704301118850708
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,3.602960109710693
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,37,3.387226104736328
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,37,3.3282017707824707
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,2.929508209228516
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,38,2.8280158042907715
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,38,2.6397716999053955
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39,4.265116214752197
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,39,4.08521842956543
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,39,4.068575859069824
1,0.0034482758620689,0.125,0.0017482517482517,0.0,0.0,0.0,0.0,0.0,0.0,4,3.284989356994629
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4,3.191760301589966
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4,2.9248580932617188
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.433454275131226
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,40,4.269733667373657
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40,4.474457025527954
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,3.750067234039306
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,41,4.261470556259155
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,41,4.332763910293579
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42,4.239211559295654
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,42,4.3976569175720215
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,42,4.252219676971436
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43,4.248976945877075
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43,4.196548223495483
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,43,4.179542303085327
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44,4.372341156005859
