n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6934223175048828
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.635753870010376
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.6617133617401123
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6554489135742188
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.652019739151001
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.6511476039886475
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6155259609222412
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.6155164241790771
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.6065409183502197
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6190142631530762
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.6059291362762451
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.5998222827911377
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.6646895408630371
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.591303825378418
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.6301445960998535
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.6672070026397705
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.663801908493042
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.6519455909729004
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.7153716087341309
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.7278976440429688
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,0.7231779098510742
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.6254658699035645
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.6130409240722656
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.6102735996246338
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.6787245273590088
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.6205012798309326
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.6688311100006104
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.6495285034179688
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.6377105712890625
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,0.6454317569732666
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.6039397716522217
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.6343750953674316
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,0.6267564296722412
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.6470630168914795
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.6321561336517334
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.6264657974243164
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6175217628479004
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.6152262687683105
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,0.6359491348266602
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.6137022972106934
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.6023538112640381
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.6151087284088135
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.6499271392822266
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,0.6171896457672119
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,0.6194248199462891
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.7596988677978516
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,0.6445977687835693
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,0.6587603092193604
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.6479096412658691
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,0.6431043148040771
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,0.6440761089324951
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.654963493347168
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,0.6310524940490723
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.6426680088043213
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.6319265365600586
