n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.6123852729797363
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0.6100654602050781
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0.6390492916107178
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,0.6235079765319824
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,10,0.6797051429748535
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,10,0.6637847423553467
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,11,0.6425600051879883
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,11,0.6336281299591064
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,12,0.6896712779998779
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,12,0.6736640930175781
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,13,0.6586146354675293
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,13,0.6368072032928467
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,14,0.6431047916412354
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,14,0.6336414813995361
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,15,0.6690938472747803
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,15,0.6616556644439697
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,16,0.689953088760376
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,16,0.6632835865020752
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,17,0.6501791477203369
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,17,0.6374917030334473
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18,0.6356756687164307
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,18,0.613142728805542
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,19,0.6389901638031006
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,19,0.6341984272003174
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,2,0.6161191463470459
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2,0.6098296642303467
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,20,0.610842227935791
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,20,0.6192243099212646
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,21,0.674177885055542
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,21,0.6556711196899414
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,22,0.798978328704834
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,22,0.7742886543273926
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,23,0.6627097129821777
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,23,0.6443619728088379
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,24,0.7094986438751221
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,24,0.7065374851226807
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,25,0.6416969299316406
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,25,0.6474301815032959
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,26,0.6235153675079346
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,26,0.6161162853240967
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,27,0.6506643295288086
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,27,0.6454956531524658
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,28,0.6442413330078125
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,28,0.6104614734649658
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,29,0.7211377620697021
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,29,0.6559791564941406
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,3,0.6553120613098145
