n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.422269582748413
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,2.381838083267212
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,2.490540742874145
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.539497137069702
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,2.191234588623047
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,2.490595579147339
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.933746814727783
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,2.2708041667938232
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,2.5070126056671143
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2.4050679206848145
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,2.32715106010437
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,2.5158708095550537
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2.623187303543091
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,2.6043524742126465
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,2.5053930282592773
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.386810779571533
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,2.345434665679932
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,2.3239586353302
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.4878103733062744
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,2.421321153640747
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,2.218714714050293
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.7163047790527344
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,2.7535336017608643
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,2.7257063388824463
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.907000541687012
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,2.7613370418548584
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,2.8842360973358154
