n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.24088430404663
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8.968413829803467
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,9.568355560302734
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.4634222984313965
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,8.153015375137329
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,8.24950361251831
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5.232213735580444
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,5.5459818840026855
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,5.485085248947144
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6.113693237304688
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,7.250939607620239
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,7.318066120147705
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5.263623237609863
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,5.08965277671814
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,4.983049392700195
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6.830950498580933
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,7.378706693649292
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,6.429356813430786
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,7.162591934204102
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,7.020012617111206
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,6.849169969558716
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,8.414514064788818
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,8.759055852890015
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,8.487110137939453
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,7.548009395599365
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,7.967169761657715
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,7.60039472579956
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,7.628655910491943
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,7.755803346633911
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,7.411988735198975
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,8.704223394393921
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,9.26318860054016
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,9.280980825424194
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6.389672994613648
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,9.90509843826294
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,9.946054220199583
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8.991602659225464
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,8.907232284545898
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,9.308254718780518
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,6.768426179885864
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,7.195835828781128
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,6.627346038818359
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,6.9947829246521
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,6.989457130432129
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,7.221601724624634
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,8.476361513137817
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,7.567131280899048
