n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.809189796447754
2,0.0,0.0,0.0,0.4,0.25,1.0,0.0,0.0,0.0,0,6.858934640884399
3,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923076,0.2,0.6666666666666666,0,8.749029397964478
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.986579418182373
2,0.0,0.0,0.0,0.2162162162162162,0.125,0.8,0.0,0.0,0.0,1,7.2643959522247314
3,0.0,0.0,0.0,0.1777777777777778,0.1,0.8,0.2222222222222222,0.125,1.0,1,8.640081405639648
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7.882660627365112
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7.873173475265503
3,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923076,0.2,0.6666666666666666,10,8.155389308929443
1,0.081081081081081,0.125,0.06,0.0,0.0,0.0,0.0,0.0,0.0,11,5.755828619003296
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6.915390491485596
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2068965517241379,0.125,0.6,11,6.747507095336914
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6.670224189758301
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,7.714587688446045
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,12,7.277156591415405
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,7.376447439193726
2,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,13,6.528133630752564
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,13,7.772333383560181
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,10.41252303123474
2,0.0,0.0,0.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,14,8.986389875411987
3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,1.0,14,9.122649669647217
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,7.733187675476074
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,8.921211004257202
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,15,8.67959189414978
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6.02982759475708
2,0.0,0.0,0.0,0.1666666666666666,0.1,0.5,0.0,0.0,0.0,16,5.665663719177246
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2,0.5,16,6.204715967178345
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,8.517255306243896
2,0.0,0.0,0.0,0.3333333333333333,0.2,1.0,0.0,0.0,0.0,17,6.948517560958862
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,17,10.132054090499878
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,9.07913851737976
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,11.047440528869627
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,18,10.280169486999512
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6.943765878677368
2,0.0,0.0,0.0,0.3333333333333333,0.2,1.0,0.0,0.0,0.0,19,6.670119285583496
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2758620689655172,0.1666666666666666,0.8,19,7.916152000427246
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8.02638578414917
2,0.0,0.0,0.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,2,8.124695301055908
3,0.0,0.0,0.0,0.0,0.0,0.0,0.1714285714285714,0.1,0.6,2,9.554447889328005
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,7.102661371231079
2,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,20,7.98675799369812
3,0.0,0.0,0.0,0.1666666666666666,0.1,0.5,0.1666666666666666,0.1,0.5,20,7.436691284179687
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,6.659513473510742
2,0.0,0.0,0.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,21,7.250212907791138
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,21,7.773910284042358
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,6.393589973449707
2,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,22,6.542386531829834
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,22,7.840413331985474
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,7.603875160217285
2,0.0,0.0,0.0,0.1739130434782609,0.1,0.6666666666666666,0.0,0.0,0.0,23,7.43815279006958
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2758620689655172,0.1666666666666666,0.8,23,8.912739753723145
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,7.757051944732666
2,0.0,0.0,0.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,24,8.132304191589355
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,24,9.74860405921936
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,7.284323453903198
2,0.0,0.0,0.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,25,7.776429176330566
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,25,8.765888214111328
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5.984768629074097
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,7.055469274520874
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,26,6.995630264282227
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5.633899688720703
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,7.771706581115723
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,27,7.266097784042358
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6.620819568634033
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,7.540710210800171
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,28,7.1233789920806885
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,8.064727306365967
2,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,29,8.245927333831787
3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,1.0,29,8.786291360855103
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.268571615219116
2,0.0,0.0,0.0,0.4,0.25,1.0,0.0,0.0,0.0,3,5.9166319370269775
3,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923076,0.2,0.6666666666666666,3,6.271677970886231
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,9.06156849861145
