n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2802636623382568
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.2510724067687988
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.2461104393005371
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2916815280914306
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.2334852218627929
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.2317993640899658
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.2313997745513916
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.2360231876373291
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.2319731712341308
1,0.0666666666666666,0.1666666666666666,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,11,0.2733750343322754
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.2323007583618164
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.2262690067291259
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.2449116706848144
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.2389323711395263
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.2353544235229492
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.242180585861206
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.2441804409027099
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.2261710166931152
1,0.0909090909090909,0.1666666666666666,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,14,0.3060970306396484
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.247765302658081
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,0.2511765956878662
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.2470932006835937
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.2332358360290527
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.2340428829193115
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.251805305480957
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.2462401390075683
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.2492322921752929
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.2879729270935058
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.2334804534912109
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,0.2286548614501953
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.2732884883880615
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.2643413543701172
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,0.2618415355682373
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.2776496410369873
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.2669534683227539
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.26643967628479
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.3061156272888183
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.2489676475524902
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,0.2495369911193847
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.2585277557373047
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.2439863681793213
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.2490172386169433
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.2374951839447021
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,0.2454278469085693
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,0.2434794902801513
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.2345762252807617
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,0.2358663082122802
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,0.23622727394104
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.2671163082122803
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,0.232414960861206
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,0.2330508232116699
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2466700077056884
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,0.2299692630767822
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.2286374568939209
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.281754732131958
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,0.228405475616455
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,0.2225606441497802
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.2781367301940918
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26,0.2291200160980224
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26,0.2346651554107666
