n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4145689010620117
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.4085819721221924
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.4074299335479736
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.428389310836792
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.4127440452575683
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.4160370826721191
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.4422469139099121
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.4312047958374023
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.437237024307251
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.4162635803222656
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.4245474338531494
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.4158895015716553
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.4004149436950683
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.3998336791992187
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.3991742134094238
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.4365971088409424
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.3944680690765381
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.3962316513061523
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.4355673789978027
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.4500389099121094
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,0.4268486499786377
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.418614387512207
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.4204506874084472
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.4160630702972412
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.4005858898162842
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.3951971530914306
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.403886079788208
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.3823819160461426
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.4078717231750488
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,0.3963291645050049
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.4386589527130127
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.4193959236145019
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,0.4336907863616943
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.4169549942016601
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.366396427154541
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.3823227882385254
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.3755397796630859
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.4105896949768066
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,0.4229156970977783
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.4043984413146972
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.3898415565490722
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.4012963771820068
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.4279017448425293
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,0.4050426483154297
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,0.4021334648132324
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.4517643451690674
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,0.4059414863586426
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,0.396003246307373
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.4256534576416015
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,0.4316041469573974
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,0.4211878776550293
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.4448575973510742
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,0.3864123821258545
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.4072308540344238
