n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0969419479370115
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1.022218942642212
3,0.0,0.0,0.0,0.0996923076923076,0.0984204131227217,0.1009975062344139,1.0,1.0,1.0,0,1.0394620895385742
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8147506713867188
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.9376366138458252
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0272746086120603
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.1051030158996582
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,1.0461390018463137
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,1.0440940856933594
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.8233435153961182
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,1.0011985301971436
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,1.065770387649536
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.0473833084106443
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,1.1302225589752195
3,0.1179589131875414,0.1269614835948644,0.1101485148514851,0.0,0.0,0.0,1.0,1.0,1.0,12,0.9769043922424316
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.158909559249878
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,1.176593542098999
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,1.1816353797912598
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0016672611236572
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,1.0062696933746338
3,0.1201828870019595,0.1255115961800818,0.1152882205513784,0.0,0.0,0.0,1.0,1.0,1.0,14,0.961444854736328
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.9999215602874756
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.974524974822998
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.9920854568481444
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.013420581817627
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.9754538536071776
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,1.0245544910430908
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.064896583557129
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.9929041862487792
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,1.0530402660369873
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.9742062091827391
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,1.0351974964141846
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,0.9978487491607666
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.0276086330413818
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,1.0541274547576904
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,1.0866119861602783
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.9810340404510498
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,1.008862018585205
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,1.01373028755188
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1.0297462940216064
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,1.0650739669799805
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,1.0390284061431885
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.1812481880187988
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,0.8147687911987305
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,1.019169807434082
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1.0208396911621094
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,1.012031316757202
3,0.0981340704906703,0.0962059620596205,0.1001410437235543,0.0,0.0,0.0,1.0,1.0,1.0,22,0.9654264450073242
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1.067370891571045
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,1.068239688873291
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,1.0461530685424805
1,0.163265306122449,0.1648444070647603,0.1617161716171617,0.0,0.0,0.0,0.0,0.0,0.0,24,1.082563877105713
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,0.9700775146484376
3,0.0,0.0,0.0,0.1167477414871438,0.1198288159771754,0.1138211382113821,1.0,1.0,1.0,24,0.9595465660095216
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.9710791110992432
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,0.9959957599639891
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,0.9613580703735352
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.9574422836303712
2,0.0,0.0,0.0,0.3993280537556995,0.2494752623688156,1.0,0.0,0.0,0.0,26,0.8332383632659912
3,0.0,0.0,0.0,0.1200260926288323,0.1312410841654779,0.110576923076923,1.0,1.0,1.0,26,0.987738847732544
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1.010451316833496
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27,1.0017144680023191
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27,0.9916245937347412
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1.1764261722564695
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28,1.1019961833953855
3,0.1313190005810575,0.1541609822646657,0.1143724696356275,0.0,0.0,0.0,1.0,1.0,1.0,28,1.101264238357544
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.9698915481567384
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29,0.9528467655181884
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29,1.041133165359497
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.1446967124938965
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,1.00282621383667
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3,1.0194170475006104
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.001820087432861
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30,0.978471040725708
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30,1.051671028137207
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1.1121349334716797
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,31,1.054548740386963
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31,1.1340651512145996
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.9516777992248536
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32,0.962019681930542
