n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.032258064516129,0.1111111111111111,0.0188679245283018,0.0,0.0,0.0,0,0,0,0,0.6098341941833496
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0.5562353134155273
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0.57769775390625
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,0.5291736125946045
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,0.6068861484527588
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,10,0.5075805187225342
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,11,0.514345645904541
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,11,0.5494017601013184
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,12,0.5691545009613037
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,12,0.5088715553283691
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,13,0.5817615985870361
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,13,0.5396425724029541
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,14,0.5621581077575684
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,14,0.5953426361083984
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,15,0.5918843746185303
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,15,0.530911922454834
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,16,0.5483899116516113
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,16,0.5038325786590576
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,17,0.50618577003479
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,17,0.5524976253509521
1,0.0113960113960113,0.037037037037037,0.0067340067340067,0.0,0.0,0.0,0,0,0,18,0.611199140548706
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,18,0.5665278434753418
1,0.0197044334975369,0.1025641025641025,0.0108991825613079,0.0,0.0,0.0,0,0,0,19,0.7176592350006104
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,19,0.5896286964416504
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,2,0.5812933444976807
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2,0.5286016464233398
1,0.149171270718232,0.3970588235294117,0.0918367346938775,0.0,0.0,0.0,0,0,0,20,0.5972304344177246
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,20,0.5336971282958984
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,21,0.576136589050293
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,21,0.5134632587432861
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,22,0.5608301162719727
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,22,0.50697922706604
1,0.0057971014492753,0.0208333333333333,0.0033670033670033,0.0,0.0,0.0,0,0,0,23,0.6183328628540039
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,23,0.5544538497924805
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,24,0.5423533916473389
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,24,0.573322057723999
1,0.0921052631578947,0.1875,0.0610465116279069,0.0,0.0,0.0,0,0,0,25,0.5893094539642334
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,25,0.5063323974609375
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,26,0.5579643249511719
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,26,0.5853283405303955
1,0.0078431372549019,0.0094339622641509,0.0067114093959731,0.0,0.0,0.0,0,0,0,27,0.5957324504852295
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,27,0.5456435680389404
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,28,0.5240449905395508
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,28,0.5574038028717041
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,29,0.5923047065734863
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,29,0.5264172554016113
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,3,0.5540814399719238
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,3,0.5068333148956299
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,30,0.6040663719177246
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,30,0.5343403816223145
1,0.0997229916897507,0.2686567164179104,0.0612244897959183,0.0,0.0,0.0,0,0,0,31,0.5956416130065918
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,31,0.5127964019775391
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,32,0.5780303478240967
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,32,0.5526392459869385
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,33,0.5593500137329102
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,33,0.5018558502197266
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,34,0.5539906024932861
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,34,0.5228919982910156
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,35,0.5294642448425293
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,35,0.5563619136810303
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,36,0.6569900512695312
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,36,0.5692291259765625
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,37,0.5880000591278076
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,37,0.541529655456543
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,38,0.5586459636688232
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,38,0.5109372138977051
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,39,0.5326535701751709
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,39,0.5641036033630371
1,0.0581395348837209,0.119047619047619,0.0384615384615384,0.0,0.0,0.0,0,0,0,4,0.6245744228363037
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,4,0.5295286178588867
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40,0.5257301330566406
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,40,0.511807918548584
1,0.0259740259740259,0.1219512195121951,0.0145348837209302,0.0,0.0,0.0,0,0,0,41,0.6468527317047119
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,41,0.5297696590423584
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,42,0.5344693660736084
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,42,0.5404551029205322
