n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,0.2635560035705566
1,1.0,1.0,1.0,0,0,0,0,0,0,1,0.2707793712615967
1,1.0,1.0,1.0,0,0,0,0,0,0,10,0.2717859745025635
1,1.0,1.0,1.0,0,0,0,0,0,0,11,0.2360103130340576
1,1.0,1.0,1.0,0,0,0,0,0,0,12,0.2760763168334961
1,0.0,0.0,0.0,0,0,0,0,0,0,13,0.2672879695892334
1,1.0,1.0,1.0,0,0,0,0,0,0,14,0.2613508701324463
1,1.0,1.0,1.0,0,0,0,0,0,0,15,0.2773611545562744
1,1.0,1.0,1.0,0,0,0,0,0,0,16,0.2629334926605224
1,0.2857142857142857,0.3333333333333333,0.25,0,0,0,0,0,0,17,0.2851862907409668
1,1.0,1.0,1.0,0,0,0,0,0,0,18,0.2609379291534424
1,0.0,0.0,0.0,0,0,0,0,0,0,19,0.2913441658020019
1,1.0,1.0,1.0,0,0,0,0,0,0,2,0.2633845806121826
1,1.0,1.0,1.0,0,0,0,0,0,0,20,0.2656450271606445
1,0.0,0.0,0.0,0,0,0,0,0,0,21,0.2669324874877929
1,1.0,1.0,1.0,0,0,0,0,0,0,22,0.2756495475769043
1,0.0,0.0,0.0,0,0,0,0,0,0,23,0.3021562099456787
1,0.0,0.0,0.0,0,0,0,0,0,0,24,0.2651829719543457
1,1.0,1.0,1.0,0,0,0,0,0,0,25,0.2773094177246094
1,0.0,0.0,0.0,0,0,0,0,0,0,26,0.2700216770172119
1,0.0,0.0,0.0,0,0,0,0,0,0,27,0.2854101657867431
1,0.0,0.0,0.0,0,0,0,0,0,0,28,0.3265588283538818
1,0.0,0.0,0.0,0,0,0,0,0,0,29,0.283949613571167
1,1.0,1.0,1.0,0,0,0,0,0,0,3,0.2828075885772705
1,0.0,0.0,0.0,0,0,0,0,0,0,30,0.3059542179107666
1,0.0,0.0,0.0,0,0,0,0,0,0,31,0.313347578048706
1,1.0,1.0,1.0,0,0,0,0,0,0,32,0.256904125213623
1,0.0,0.0,0.0,0,0,0,0,0,0,33,0.2962675094604492
1,1.0,1.0,1.0,0,0,0,0,0,0,34,0.2625138759613037
1,1.0,1.0,1.0,0,0,0,0,0,0,35,0.2386424541473388
1,1.0,1.0,1.0,0,0,0,0,0,0,36,0.2647576332092285
1,1.0,1.0,1.0,0,0,0,0,0,0,37,0.2418904304504394
1,1.0,1.0,1.0,0,0,0,0,0,0,38,0.294658899307251
1,1.0,1.0,1.0,0,0,0,0,0,0,39,0.2899715900421142
1,1.0,1.0,1.0,0,0,0,0,0,0,4,0.2612886428833008
1,1.0,1.0,1.0,0,0,0,0,0,0,40,0.2781414985656738
1,1.0,1.0,1.0,0,0,0,0,0,0,41,0.2980623245239258
1,1.0,1.0,1.0,0,0,0,0,0,0,42,0.2649052143096924
1,1.0,1.0,1.0,0,0,0,0,0,0,43,0.2786686420440674
1,0.0,0.0,0.0,0,0,0,0,0,0,44,0.316462755203247
1,0.0851063829787234,0.125,0.064516129032258,0,0,0,0,0,0,45,0.2930140495300293
1,0.0,0.0,0.0,0,0,0,0,0,0,46,0.2926194667816162
1,1.0,1.0,1.0,0,0,0,0,0,0,47,0.2875220775604248
1,1.0,1.0,1.0,0,0,0,0,0,0,48,0.2615406513214111
1,1.0,1.0,1.0,0,0,0,0,0,0,49,0.2700788974761963
1,1.0,1.0,1.0,0,0,0,0,0,0,5,0.2357354164123535
1,0.0,0.0,0.0,0,0,0,0,0,0,50,0.2969014644622803
1,1.0,1.0,1.0,0,0,0,0,0,0,51,0.2623763084411621
1,1.0,1.0,1.0,0,0,0,0,0,0,52,0.2413628101348877
1,0.1702127659574468,0.25,0.1290322580645161,0,0,0,0,0,0,53,0.2835738658905029
1,1.0,1.0,1.0,0,0,0,0,0,0,54,0.2708370685577392
1,1.0,1.0,1.0,0,0,0,0,0,0,55,0.2663428783416748
1,1.0,1.0,1.0,0,0,0,0,0,0,56,0.235328197479248
1,1.0,1.0,1.0,0,0,0,0,0,0,57,0.2545840740203857
1,0.0,0.0,0.0,0,0,0,0,0,0,58,0.2865877151489258
1,1.0,1.0,1.0,0,0,0,0,0,0,59,0.2368993759155273
1,0.0,0.0,0.0,0,0,0,0,0,0,6,0.3054888248443603
1,1.0,1.0,1.0,0,0,0,0,0,0,60,0.2798581123352051
1,1.0,1.0,1.0,0,0,0,0,0,0,61,0.2807669639587402
1,1.0,1.0,1.0,0,0,0,0,0,0,62,0.2742254734039306
1,1.0,1.0,1.0,0,0,0,0,0,0,63,0.2379624843597412
1,0.0,0.0,0.0,0,0,0,0,0,0,64,0.2941958904266357
1,0.0,0.0,0.0,0,0,0,0,0,0,65,0.2833597660064697
1,1.0,1.0,1.0,0,0,0,0,0,0,66,0.2704041004180908
1,1.0,1.0,1.0,0,0,0,0,0,0,67,0.2360856533050537
1,1.0,1.0,1.0,0,0,0,0,0,0,68,0.2769393920898437
1,1.0,1.0,1.0,0,0,0,0,0,0,69,0.2914667129516601
1,1.0,1.0,1.0,0,0,0,0,0,0,7,0.2759337425231933
1,1.0,1.0,1.0,0,0,0,0,0,0,70,0.2693502902984619
1,0.0,0.0,0.0,0,0,0,0,0,0,71,0.2887864112854004
1,1.0,1.0,1.0,0,0,0,0,0,0,72,0.2649376392364502
1,1.0,1.0,1.0,0,0,0,0,0,0,73,0.2369842529296875
1,0.0,0.0,0.0,0,0,0,0,0,0,74,0.2620823383331299
1,0.0,0.0,0.0,0,0,0,0,0,0,75,0.3002729415893554
1,1.0,1.0,1.0,0,0,0,0,0,0,76,0.2681214809417724
1,1.0,1.0,1.0,0,0,0,0,0,0,77,0.2733798027038574
1,0.0,0.0,0.0,0,0,0,0,0,0,78,0.3371083736419678
1,1.0,1.0,1.0,0,0,0,0,0,0,79,0.2641067504882812
1,1.0,1.0,1.0,0,0,0,0,0,0,8,0.2715380191802978
1,1.0,1.0,1.0,0,0,0,0,0,0,80,0.2645120620727539
1,0.0,0.0,0.0,0,0,0,0,0,0,81,0.306748628616333
1,0.0975609756097561,0.2,0.064516129032258,0,0,0,0,0,0,82,0.3014819622039795
1,1.0,1.0,1.0,0,0,0,0,0,0,83,0.2698564529418945
1,0.0499999999999999,0.1111111111111111,0.032258064516129,0,0,0,0,0,0,84,0.3066210746765136
1,1.0,1.0,1.0,0,0,0,0,0,0,85,0.2592301368713379
1,1.0,1.0,1.0,0,0,0,0,0,0,86,0.2665586471557617
1,1.0,1.0,1.0,0,0,0,0,0,0,87,0.2299575805664062
1,1.0,1.0,1.0,0,0,0,0,0,0,88,0.2710244655609131
1,1.0,1.0,1.0,0,0,0,0,0,0,89,0.2701230049133301
1,0.0833333333333333,0.125,0.0625,0,0,0,0,0,0,9,0.2835330963134765
1,1.0,1.0,1.0,0,0,0,0,0,0,90,0.2777931690216064
1,0.0,0.0,0.0,0,0,0,0,0,0,91,0.2971789836883545
1,1.0,1.0,1.0,0,0,0,0,0,0,92,0.2631683349609375
1,0.0,0.0,0.0,0,0,0,0,0,0,93,0.2807755470275879
1,0.0833333333333333,0.125,0.0625,0,0,0,0,0,0,94,0.3208024501800537
1,1.0,1.0,1.0,0,0,0,0,0,0,95,0.2615163326263428
1,1.0,1.0,1.0,0,0,0,0,0,0,96,0.2677309513092041
1,1.0,1.0,1.0,0,0,0,0,0,0,97,0.2504832744598388
1,0.0,0.0,0.0,0,0,0,0,0,0,98,0.2909889221191406
1,1.0,1.0,1.0,0,0,0,0,0,0,99,0.2703042030334472
