n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2046890258789062
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1.2025961875915527
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.1924841403961182
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.485496997833252
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.481262445449829
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.6255359649658203
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.187880516052246
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,1.2265188694000244
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,1.217003583908081
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1.2164793014526367
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,1.2046194076538086
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,1.2074909210205078
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.2125613689422607
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,1.1996231079101562
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,1.1979925632476809
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.2299339771270752
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,1.2443089485168457
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,1.2188498973846436
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1.2237975597381592
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,1.1744589805603027
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,1.219831466674805
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.3433539867401123
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,1.3042728900909424
3,0.0,0.0,0.0,0.5938461538461538,0.4426605504587156,0.9018691588785048,0.6707317073170732,0.5045871559633027,1.0,15,1.3551881313323977
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.3659679889678955
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,1.284770965576172
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,1.2556192874908447
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.1650443077087402
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,1.1946988105773926
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,1.3463890552520752
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1.3175201416015625
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,1.3075783252716064
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,1.3256831169128418
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.20434308052063
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,1.2079784870147705
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,1.257875919342041
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.4302246570587158
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,1.277583360671997
3,0.0,0.0,0.0,0.7381974248927039,0.5850340136054422,1.0,0.5974842767295597,0.4567307692307692,0.8636363636363636,2,1.4575965404510498
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1.3017010688781738
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,1.28326153755188
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,1.2716598510742188
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.264333963394165
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,1.2597296237945557
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,1.409923076629639
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1.162095546722412
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,1.1522495746612549
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,1.197401523590088
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1.2116320133209229
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,1.2550950050354004
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,1.2220842838287354
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1.1906287670135498
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,1.172382354736328
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,1.2300832271575928
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1.388739824295044
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,1.3689703941345217
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,1.3671257495880127
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.2048051357269287
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26,1.1518173217773438
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26,1.175750970840454
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1.2831239700317385
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27,1.2820215225219729
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27,1.2652618885040283
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1.240206956863403
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28,1.255634307861328
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28,1.254370927810669
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1.1936001777648926
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29,1.266467809677124
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29,1.225855588912964
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.1876280307769775
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,1.2393717765808103
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3,1.247122049331665
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.2472927570343018
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30,1.228194236755371
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30,1.3711700439453125
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1.2083408832550049
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,31,1.2461752891540527
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31,1.213023662567139
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1.2463395595550537
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32,1.2755820751190186
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,32,1.4045116901397705
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1.162240743637085
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,33,1.2253851890563965
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,33,1.343794584274292
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,1.4268934726715088
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,34,1.360124588012695
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,34,1.3319857120513916
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1.2332754135131836
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,35,1.2010815143585205
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35,1.2206768989562988
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,1.2288553714752195
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,36,1.2234506607055664
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,36,1.4166316986083984
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,1.1652884483337402
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,37,1.1876280307769775
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,37,1.193842887878418
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,1.1766772270202637
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,38,1.1828851699829102
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,38,1.1994678974151611
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39,1.1843938827514648
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,39,1.2075691223144531
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,39,1.1754732131958008
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.2510290145874023
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4,1.2735779285430908
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4,1.3155276775360107
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1.241546392440796
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,40,1.2438194751739502
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40,1.224914789199829
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41,1.1814789772033691
