n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.0849420849420849,0.1549295774647887,0.0585106382978723,0,0,0,0,0,0,0,0.3620574474334717
1,0.0,0.0,0.0,0,0,0,0,0,0,1,0.3786547183990478
1,0.0,0.0,0.0,0,0,0,0,0,0,10,0.3911173343658447
1,0.0,0.0,0.0,0,0,0,0,0,0,11,0.3672823905944824
1,0.0,0.0,0.0,0,0,0,0,0,0,12,0.3833601474761963
1,1.0,1.0,1.0,0,0,0,0,0,0,13,0.3404624462127685
1,0.0,0.0,0.0,0,0,0,0,0,0,14,0.390317440032959
1,0.0,0.0,0.0,0,0,0,0,0,0,15,0.3566281795501709
1,1.0,1.0,1.0,0,0,0,0,0,0,16,0.3267679214477539
1,1.0,1.0,1.0,0,0,0,0,0,0,17,0.325160264968872
1,0.0,0.0,0.0,0,0,0,0,0,0,18,0.3496196269989013
1,0.0579710144927536,0.2222222222222222,0.0333333333333333,0,0,0,0,0,0,19,0.3904027938842773
1,0.0108108108108108,0.04,0.00625,0,0,0,0,0,0,2,0.3500666618347168
1,1.0,1.0,1.0,0,0,0,0,0,0,20,0.3219659328460693
1,0.0,0.0,0.0,0,0,0,0,0,0,21,0.3509984016418457
1,0.0580912863070539,0.1296296296296296,0.0374331550802139,0,0,0,0,0,0,22,0.3701844215393066
1,1.0,1.0,1.0,0,0,0,0,0,0,23,0.3060719966888428
1,1.0,1.0,1.0,0,0,0,0,0,0,24,0.3274006843566894
1,1.0,1.0,1.0,0,0,0,0,0,0,25,0.3417186737060547
1,0.027906976744186,0.0588235294117647,0.0182926829268292,0,0,0,0,0,0,26,0.3880445957183838
1,0.0,0.0,0.0,0,0,0,0,0,0,27,0.3719146251678467
1,0.0952380952380952,0.217391304347826,0.0609756097560975,0,0,0,0,0,0,28,0.3744940757751465
1,0.0,0.0,0.0,0,0,0,0,0,0,29,0.3831515312194824
1,1.0,1.0,1.0,0,0,0,0,0,0,3,0.3325979709625244
1,1.0,1.0,1.0,0,0,0,0,0,0,30,0.3498356342315674
1,0.0434782608695652,0.1666666666666666,0.025,0,0,0,0,0,0,31,0.3894436359405517
1,1.0,1.0,1.0,0,0,0,0,0,0,32,0.3262245655059814
1,0.0,0.0,0.0,0,0,0,0,0,0,33,0.3632385730743408
