sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,144,no_8x8dct = 1 AND no_cabac = 1 AND no_deblock = 1,no_8x8dct AND no_deblock AND no_cabac,0,1.0,1.0,1.0,0
uniform,144,no_fast_pskip = 1 AND no_mixed_refs = 1 AND no_weightb = 1,no_mixed_refs AND no_fast_pskip AND no_weightb,0,1.0,1.0,1.0,0
bi_modal_split,144,no_8x8dct = 1 AND no_mixed_refs = 1 AND no_weightb = 1,no_8x8dct AND no_weightb AND no_mixed_refs,0,1.0,1.0,1.0,0
tri_modal_split,144,no_8x8dct = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_deblock,3,0.6666666666666666,0.5,1.0,0
power_law,144,no_deblock = 1 AND no_fast_pskip = 1 AND no_mbtree = 1,no_deblock AND no_fast_pskip AND no_mbtree,0,1.0,1.0,1.0,0
normal,144,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_mbtree AND no_fast_pskip,0,1.0,1.0,1.0,10
uniform,144,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_mbtree AND no_fast_pskip,0,1.0,1.0,1.0,10
bi_modal_split,144,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_fast_pskip AND no_mbtree,0,1.0,1.0,1.0,10
tri_modal_split,144,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,rc_lookahead > 30.0 AND rc_lookahead > 50.0 AND no_mbtree,4,0.2857142857142857,0.25,0.3333333333333333,10
power_law,144,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_mbtree AND no_fast_pskip,1,1.0,1.0,1.0,10
normal,144,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_8x8dct AND no_fast_pskip,0,1.0,1.0,1.0,11
uniform,144,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_8x8dct AND no_fast_pskip,0,1.0,1.0,1.0,11
bi_modal_split,144,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_fast_pskip AND no_8x8dct AND no_mixed_refs,0,1.0,1.0,1.0,11
tri_modal_split,144,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,NOT no_deblock,0,0.2,0.125,0.5,11
power_law,144,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct AND no_fast_pskip AND no_mixed_refs,1,1.0,1.0,1.0,11
normal,144,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_deblock AND no_cabac,0,1.0,1.0,1.0,12
uniform,144,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_cabac AND no_mixed_refs AND no_deblock,0,1.0,1.0,1.0,12
bi_modal_split,144,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_deblock AND no_mixed_refs AND no_cabac,0,1.0,1.0,1.0,12
tri_modal_split,144,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_deblock,4,0.6666666666666666,0.5,1.0,12
power_law,144,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_deblock AND no_cabac,1,1.0,1.0,1.0,12
