sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,256,validate = 1 AND resolution = 307200.0 AND quality = 0.1,resolution <= 1190400.0 AND validate AND NOT quality,0,1.0,1.0,1.0,0
uniform,192,validate = 1 AND quality = 0.1 AND indexed = 1.0,resolution > 1190400.0,0,0.1739130434782609,0.1,0.6666666666666666,0
bi_modal_split,192,tiff = 1 AND anyScriptOrigin = 1 AND quality = 0.1,tiff AND anyScriptOrigin,0,1.0,1.0,1.0,0
tri_modal_split,256,anyScriptOrigin = 1 AND resolution = 307200.0 AND quality = 0.1,resolution <= 1190400.0 AND anyScriptOrigin AND NOT quality,2,1.0,1.0,1.0,0
power_law,192,validate = 1 AND quality = 0.1 AND indexed = 4.0,indexed > 3.0 AND validate,2,0.5714285714285715,0.4,1.0,0
normal,192,validate = 1 AND quality = 0.1 AND indexed = 8.0,indexed > 6.0 AND validate AND NOT quality,0,1.0,1.0,1.0,10
uniform,192,validate = 1 AND quality = 0.1 AND indexed = 8.0,indexed > 6.0 AND validate AND NOT quality,0,1.0,1.0,1.0,10
bi_modal_split,192,validate = 1 AND quality = 0.1 AND indexed = 8.0,indexed > 6.0,4,0.5714285714285715,0.4,1.0,10
tri_modal_split,192,validate = 1 AND quality = 0.1 AND indexed = 8.0,validate AND indexed > 6.0 AND NOT quality,3,1.0,1.0,1.0,10
power_law,192,validate = 1 AND quality = 0.1 AND indexed = 8.0,indexed > 6.0,3,0.5714285714285715,0.4,1.0,10
normal,256,onload = 1 AND resolution = 2073600.0 AND quality = 0.1,onload AND resolution <= 5184000.0 AND resolution > 1190400.0 AND NOT quality,0,1.0,1.0,1.0,11
uniform,256,onload = 1 AND resolution = 2073600.0 AND quality = 0.1,onload AND indexed > 1.5 AND resolution <= 5184000.0 AND NOT quality,3,0.6,0.5,0.75,11
bi_modal_split,256,onload = 1 AND resolution = 2073600.0 AND quality = 0.1,onload AND resolution <= 5184000.0 AND resolution > 1190400.0 AND NOT quality,0,1.0,1.0,1.0,11
tri_modal_split,256,onload = 1 AND resolution = 2073600.0 AND quality = 0.1,resolution <= 5184000.0 AND resolution > 1190400.0 AND onload AND NOT quality,0,1.0,1.0,1.0,11
power_law,256,onload = 1 AND resolution = 2073600.0 AND quality = 0.1,NOT jpg AND resolution > 1190400.0,1,0.375,0.25,0.75,11
normal,192,validate = 1 AND png = 1 AND quality = 0.1,png AND validate,0,1.0,1.0,1.0,12
uniform,192,validate = 1 AND png = 1 AND quality = 0.1,png AND validate,1,1.0,1.0,1.0,12
bi_modal_split,192,validate = 1 AND png = 1 AND quality = 0.1,png AND validate,0,1.0,1.0,1.0,12
tri_modal_split,192,validate = 1 AND png = 1 AND quality = 0.1,png AND validate,0,1.0,1.0,1.0,12
power_law,192,validate = 1 AND png = 1 AND quality = 0.1,indexed > 3.0 AND NOT tiff,2,0.2,0.125,0.5,12
normal,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 2.0,anyScriptOrigin AND indexed <= 3.0 AND indexed > 1.5 AND NOT quality,0,1.0,1.0,1.0,13
uniform,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 2.0,NOT quality AND anyScriptOrigin AND NOT tiff AND indexed > 1.5,4,0.4615384615384615,0.3333333333333333,0.75,13
bi_modal_split,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 2.0,indexed <= 3.0 AND indexed > 1.5 AND anyScriptOrigin AND NOT quality,0,1.0,1.0,1.0,13
tri_modal_split,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 2.0,indexed <= 3.0 AND anyScriptOrigin AND indexed > 1.5 AND NOT quality,0,1.0,1.0,1.0,13
power_law,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 2.0,NOT png,0,0.1667631731325999,0.0938110749185667,0.75,13
normal,192,onload = 1 AND dpi = 400.0 AND quality = 0.1,dpi > 300.0 AND onload AND NOT quality,0,1.0,1.0,1.0,14
uniform,192,onload = 1 AND dpi = 400.0 AND quality = 0.1,dpi > 300.0 AND onload AND NOT quality,0,1.0,1.0,1.0,14
bi_modal_split,192,onload = 1 AND dpi = 400.0 AND quality = 0.1,dpi > 150.0,0,0.3333333333333333,0.2,1.0,14
