sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,922,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND scaleIsHeightDp = 1,androidMipmapInsteadOfDrawable AND scaleIsHeightDp,0,1.0,1.0,1.0,0
uniform,733,android = 1 AND androidIncludeLdpiTvdpi = 1 AND threads = 10,androidIncludeLdpiTvdpi AND threads <= 50.0,1,1.0,1.0,1.0,0
bi_modal_split,885,android = 1 AND skipUpscaling = 1 AND androidIncludeLdpiTvdpi = 1,skipUpscaling AND androidIncludeLdpiTvdpi,2,1.0,1.0,1.0,0
tri_modal_split,1045,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND threads = 90,androidMipmapInsteadOfDrawable,3,0.73410607657183,0.5799112097669257,1.0,0
power_law,1051,android = 1 AND antiAliasing = 1 AND threads = 90,android AND antiAliasing AND threads > 50.0,2,1.0,1.0,1.0,0
normal,699,android = 1 AND ceil = 1 AND threads = 90,android AND threads > 50.0 AND ceil,0,1.0,1.0,1.0,10
uniform,699,android = 1 AND ceil = 1 AND threads = 90,ceil AND android AND threads > 50.0,1,1.0,1.0,1.0,10
bi_modal_split,699,android = 1 AND ceil = 1 AND threads = 90,NOT bmp AND NOT gif AND NOT round AND android,4,0.4045138888888889,0.2903426791277259,0.6666666666666666,10
tri_modal_split,699,android = 1 AND ceil = 1 AND threads = 90,ceil,3,0.4915611814345991,0.3258741258741259,1.0,10
power_law,699,android = 1 AND ceil = 1 AND threads = 90,ceil AND android AND threads > 50.0,3,1.0,1.0,1.0,10
normal,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,android AND skipUpscaling AND antiAliasing,0,1.0,1.0,1.0,11
uniform,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,android AND antiAliasing AND skipUpscaling,0,1.0,1.0,1.0,11
bi_modal_split,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,skipUpscaling AND antiAliasing AND android,0,1.0,1.0,1.0,11
tri_modal_split,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,skipUpscaling AND antiAliasing AND android,0,1.0,1.0,1.0,11
power_law,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,androidMipmapInsteadOfDrawable,4,0.3635690485005553,0.2724750277469478,0.5461624026696329,11
