sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,352,RECOMPILE_ALWAYS = 1 AND COMPRESS = 1 AND REUSE_SPACE = 1,RECOMPILE_ALWAYS AND COMPRESS AND REUSE_SPACE,0,1.0,1.0,1.0,0
uniform,376,OPTIMIZE_IN_LIST = 1 AND COMPRESS = 1 AND IGNORE_CATALOGS = 1,COMPRESS AND IGNORE_CATALOGS AND OPTIMIZE_IN_LIST,0,1.0,1.0,1.0,0
bi_modal_split,359,RECOMPILE_ALWAYS = 1 AND COMPRESS = 1 AND IGNORE_CATALOGS = 1,IGNORE_CATALOGS,1,0.5578865578865578,0.386853448275862,1.0,0
tri_modal_split,303,OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND REUSE_SPACE = 1 AND DROP_RESTRICT = 1,OPTIMIZE_EVALUATABLE_SUBQUERIES AND REUSE_SPACE AND DROP_RESTRICT,0,1.0,1.0,1.0,0
power_law,209,PAGE_STORE_TRIM = 1 AND DEFRAG_ALWAYS = 1 AND OPTIMIZE_DISTINCT = 1,PAGE_STORE_TRIM AND DEFRAG_ALWAYS AND OPTIMIZE_DISTINCT,1,1.0,1.0,1.0,0
normal,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,PAGE_STORE_TRIM AND OPTIMIZE_TWO_EQUALS AND PAGE_STORE_INTERNAL_COUNT,0,1.0,1.0,1.0,10
uniform,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_TWO_EQUALS AND PAGE_STORE_TRIM,2,0.8582375478927203,0.7516778523489933,1.0,10
bi_modal_split,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_EVALUATABLE_SUBQUERIES AND OPTIMIZE_TWO_EQUALS AND PAGE_STORE_INTERNAL_COUNT AND PAGE_STORE_TRIM,0,0.8629441624365483,1.0,0.7589285714285714,10
tri_modal_split,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,PAGE_STORE_TRIM,4,0.7202572347266881,0.5628140703517588,1.0,10
power_law,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,PAGE_STORE_TRIM AND PAGE_STORE_INTERNAL_COUNT AND OPTIMIZE_TWO_EQUALS,1,1.0,1.0,1.0,10
