sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,471,ReplayGainFast = 1 AND CRC = 1 AND CBR = 8,ReplayGainFast AND CRC AND CBR <= 84.0,0,1.0,1.0,1.0,0
uniform,626,CRC = 1 AND Resampling = 22 AND VBRRange = 0,CRC AND Resampling <= 33.0 AND Resampling > 15.0 AND VBRRange <= 0.5,1,1.0,1.0,1.0,0
bi_modal_split,482,NoReplayGain = 1 AND CRC = 1 AND SwapBytes = 1,NoReplayGain AND CRC AND SwapBytes,0,1.0,1.0,1.0,0
tri_modal_split,674,NoRes = 1 AND SwapBytes = 1 AND ReplayGainAccurate = 1,ReplayGainAccurate AND NoRes AND SwapBytes,1,1.0,1.0,1.0,0
power_law,623,SwapBytes = 1 AND Resampling = 22 AND VBRRange = 0,SwapBytes AND Resampling <= 33.0 AND Resampling > 15.0 AND VBRRange <= 0.5,4,1.0,1.0,1.0,0
normal,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoReplayGain AND NoRes AND CRC,0,1.0,1.0,1.0,10
uniform,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoReplayGain AND NoRes AND CRC,0,1.0,1.0,1.0,10
bi_modal_split,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoReplayGain AND CRC AND NoRes,2,1.0,1.0,1.0,10
tri_modal_split,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoReplayGain AND CRC AND NoRes,3,1.0,1.0,1.0,10
power_law,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoReplayGain AND NoRes AND CRC,1,1.0,1.0,1.0,10
normal,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo AND CRC AND SwapBytes,0,1.0,1.0,1.0,11
uniform,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo AND CRC AND SwapBytes,0,1.0,1.0,1.0,11
bi_modal_split,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo AND CRC AND SwapBytes,2,1.0,1.0,1.0,11
tri_modal_split,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo AND CRC AND SwapBytes,1,1.0,1.0,1.0,11
power_law,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo AND CRC AND SwapBytes,1,1.0,1.0,1.0,11
normal,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,JointStereo AND NoRes AND Downmix,0,1.0,1.0,1.0,12
uniform,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,JointStereo AND Downmix AND NoRes,0,1.0,1.0,1.0,12
bi_modal_split,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,JointStereo AND Downmix AND NoRes,3,1.0,1.0,1.0,12
tri_modal_split,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,JointStereo AND Downmix AND NoRes,1,1.0,1.0,1.0,12
power_law,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,JointStereo AND Downmix AND NoRes,0,1.0,1.0,1.0,12
normal,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR > 240.0 AND CRC AND Freeformat,0,1.0,1.0,1.0,13
uniform,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR > 240.0 AND CRC AND Freeformat,2,1.0,1.0,1.0,13
bi_modal_split,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR > 240.0 AND CRC AND Freeformat,0,1.0,1.0,1.0,13
tri_modal_split,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR > 240.0 AND CRC AND Freeformat,0,1.0,1.0,1.0,13
power_law,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR > 240.0 AND CRC AND Freeformat,3,1.0,1.0,1.0,13
normal,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoReplayGain AND NoRes AND SwapBytes,0,1.0,1.0,1.0,14
uniform,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoReplayGain AND SwapBytes AND NoRes,0,1.0,1.0,1.0,14
bi_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoReplayGain AND NoRes AND SwapBytes,4,1.0,1.0,1.0,14
tri_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoReplayGain AND NoRes AND SwapBytes,3,1.0,1.0,1.0,14
power_law,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoReplayGain AND NoRes AND SwapBytes,1,1.0,1.0,1.0,14
normal,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,VBRRange <= 0.5 AND Resampling > 15.0 AND Resampling <= 33.0 AND CBR <= 84.0,0,1.0,1.0,1.0,15
uniform,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling <= 33.0 AND Resampling > 15.0 AND CBR <= 84.0 AND VBRRange <= 0.5,0,1.0,1.0,1.0,15
bi_modal_split,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling <= 33.0 AND Resampling > 15.0 AND CBR <= 84.0 AND VBRRange <= 0.5,0,1.0,1.0,1.0,15
tri_modal_split,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling <= 33.0 AND Resampling > 15.0 AND CBR <= 84.0 AND VBRRange <= 0.5,3,1.0,1.0,1.0,15
power_law,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling <= 33.0 AND Resampling > 15.0 AND CBR <= 84.0 AND VBRRange <= 0.5,0,1.0,1.0,1.0,15
normal,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR > 84.0 AND Downmix AND CBR <= 240.0,0,1.0,1.0,1.0,16
uniform,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR > 84.0 AND CBR <= 240.0 AND Downmix,0,1.0,1.0,1.0,16
bi_modal_split,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR > 84.0 AND CBR <= 240.0 AND Downmix,1,1.0,1.0,1.0,16
tri_modal_split,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR > 84.0 AND CBR <= 240.0 AND Downmix,2,1.0,1.0,1.0,16
power_law,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR > 84.0 AND CBR <= 240.0 AND Downmix,0,1.0,1.0,1.0,16
normal,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,NoReplayGain AND SwapBytes AND VBRRange <= 0.5,0,1.0,1.0,1.0,17
uniform,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,NOT NoReplayGain,0,0.0,0.0,0.0,17
bi_modal_split,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,NoReplayGain AND SwapBytes AND VBRRange <= 0.5,0,1.0,1.0,1.0,17
tri_modal_split,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,NoReplayGain AND SwapBytes AND VBRRange <= 0.5,0,1.0,1.0,1.0,17
power_law,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,NOT NoReplayGain,0,0.0,0.0,0.0,17
normal,428,Downmix = 1 AND MidSideStereo = 1 AND SwapBytes = 1,MidSideStereo AND Downmix AND SwapBytes,0,1.0,1.0,1.0,18
uniform,428,Downmix = 1 AND MidSideStereo = 1 AND SwapBytes = 1,MidSideStereo AND Downmix AND SwapBytes,0,1.0,1.0,1.0,18
bi_modal_split,428,Downmix = 1 AND MidSideStereo = 1 AND SwapBytes = 1,NoRes AND NOT JointStereo,2,0.3746860873932696,0.2386436340371081,0.8714953271028038,18
tri_modal_split,428,Downmix = 1 AND MidSideStereo = 1 AND SwapBytes = 1,MidSideStereo AND Downmix AND SwapBytes,2,1.0,1.0,1.0,18
power_law,428,Downmix = 1 AND MidSideStereo = 1 AND SwapBytes = 1,MidSideStereo AND Downmix AND SwapBytes,1,1.0,1.0,1.0,18
normal,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoReplayGain AND NoRes AND VBRRange <= 0.5,0,1.0,1.0,1.0,19
uniform,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoReplayGain AND NoRes AND VBRRange <= 0.5,0,1.0,1.0,1.0,19
bi_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoReplayGain AND NoRes AND VBRRange <= 0.5,3,1.0,1.0,1.0,19
tri_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoReplayGain AND NoRes AND VBRRange <= 0.5,2,1.0,1.0,1.0,19
power_law,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoReplayGain AND NoRes AND VBRRange <= 0.5,2,1.0,1.0,1.0,19
normal,482,Freeformat = 1 AND CBR = 160 AND VBRRange = 0,Freeformat AND CBR <= 240.0 AND CBR > 84.0,0,1.0,1.0,1.0,1
uniform,482,Freeformat = 1 AND CBR = 160 AND VBRRange = 0,Freeformat AND CBR <= 240.0 AND CBR > 84.0,0,1.0,1.0,1.0,1
bi_modal_split,482,Freeformat = 1 AND CBR = 160 AND VBRRange = 0,Freeformat AND CBR <= 240.0 AND CBR > 84.0,1,1.0,1.0,1.0,1
tri_modal_split,482,Freeformat = 1 AND CBR = 160 AND VBRRange = 0,Freeformat AND CBR <= 240.0 AND CBR > 84.0,0,1.0,1.0,1.0,1
power_law,482,Freeformat = 1 AND CBR = 160 AND VBRRange = 0,Freeformat AND CBR <= 240.0 AND CBR > 84.0,1,1.0,1.0,1.0,1
normal,534,Resampling = 8 AND CBR = 8 AND VBRRange = 0,Resampling <= 15.0 AND CBR <= 84.0 AND VBRRange <= 0.5,0,1.0,1.0,1.0,20
uniform,534,Resampling = 8 AND CBR = 8 AND VBRRange = 0,Resampling <= 15.0 AND CBR <= 84.0 AND VBRRange <= 0.5,0,1.0,1.0,1.0,20
bi_modal_split,534,Resampling = 8 AND CBR = 8 AND VBRRange = 0,Resampling <= 15.0 AND CBR <= 84.0 AND VBRRange <= 0.5,2,1.0,1.0,1.0,20
tri_modal_split,534,Resampling = 8 AND CBR = 8 AND VBRRange = 0,Resampling <= 15.0 AND CBR <= 84.0 AND VBRRange <= 0.5,2,1.0,1.0,1.0,20
power_law,534,Resampling = 8 AND CBR = 8 AND VBRRange = 0,Resampling <= 15.0 AND CBR <= 84.0 AND VBRRange <= 0.5,1,1.0,1.0,1.0,20
normal,457,CRC = 1 AND Resampling = 22 AND CBR = 8,CRC AND CBR <= 84.0 AND Resampling <= 33.0 AND Resampling > 15.0,0,1.0,1.0,1.0,21
uniform,457,CRC = 1 AND Resampling = 22 AND CBR = 8,CRC AND Resampling <= 33.0 AND Resampling > 15.0 AND CBR <= 84.0,1,1.0,1.0,1.0,21
bi_modal_split,457,CRC = 1 AND Resampling = 22 AND CBR = 8,CRC AND CBR <= 84.0 AND Resampling <= 33.0 AND Resampling > 15.0,0,1.0,1.0,1.0,21
tri_modal_split,457,CRC = 1 AND Resampling = 22 AND CBR = 8,CRC AND CBR <= 84.0 AND Resampling <= 33.0 AND Resampling > 15.0,1,1.0,1.0,1.0,21
power_law,457,CRC = 1 AND Resampling = 22 AND CBR = 8,CRC AND Resampling <= 33.0 AND Resampling > 15.0 AND CBR <= 84.0,1,1.0,1.0,1.0,21
normal,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo AND CRC AND SwapBytes,0,1.0,1.0,1.0,22
uniform,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo AND CRC AND SwapBytes,0,1.0,1.0,1.0,22
bi_modal_split,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo AND CRC AND SwapBytes,1,1.0,1.0,1.0,22
tri_modal_split,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo AND CRC AND SwapBytes,1,1.0,1.0,1.0,22
power_law,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo AND CRC AND SwapBytes,1,1.0,1.0,1.0,22
normal,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoReplayGain AND NoRes AND VBRRange <= 0.5,0,1.0,1.0,1.0,23
uniform,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoReplayGain AND NoRes AND VBRRange <= 0.5,1,1.0,1.0,1.0,23
bi_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoReplayGain AND NoRes AND VBRRange <= 0.5,2,1.0,1.0,1.0,23
