sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,688,skip = 1 AND checksum = 1 AND RLT = 1,skip AND RLT AND checksum,0,1.0,1.0,1.0,0
uniform,451,LZP = 1 AND TEXT = 1 AND checksum = 1,TEXT AND LZP AND checksum,3,1.0,1.0,1.0,0
bi_modal_split,464,TEXT = 1 AND BWTS = 1 AND SRT = 1,TEXT AND SRT AND BWTS,0,1.0,1.0,1.0,0
tri_modal_split,423,LZP = 1 AND SRT = 1 AND RLT = 1,LZP AND RLT AND SRT,0,1.0,1.0,1.0,0
power_law,451,LZP = 1 AND TEXT = 1 AND checksum = 1,LZP AND TEXT AND checksum,0,1.0,1.0,1.0,0
normal,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,ROLZ,3,0.500578034682081,0.3338473400154202,1.0,10
uniform,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,ROLZ AND LZP AND BWTS,4,1.0,1.0,1.0,10
bi_modal_split,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,ROLZ AND LZP AND BWTS,0,1.0,1.0,1.0,10
tri_modal_split,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,ROLZ AND LZP AND BWTS,0,1.0,1.0,1.0,10
power_law,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,ROLZ,4,0.500578034682081,0.3338473400154202,1.0,10
normal,671,BWTS = 1 AND LZ = 1 AND checksum = 1,LZ AND checksum AND BWTS,0,1.0,1.0,1.0,11
uniform,671,BWTS = 1 AND LZ = 1 AND checksum = 1,checksum AND LZ AND BWTS,0,1.0,1.0,1.0,11
bi_modal_split,671,BWTS = 1 AND LZ = 1 AND checksum = 1,checksum AND LZ AND BWTS,0,1.0,1.0,1.0,11
tri_modal_split,671,BWTS = 1 AND LZ = 1 AND checksum = 1,checksum AND LZ AND BWTS,0,1.0,1.0,1.0,11
power_law,671,BWTS = 1 AND LZ = 1 AND checksum = 1,checksum AND LZ AND BWTS,0,1.0,1.0,1.0,11
normal,495,skip = 1 AND LZ = 1 AND MTFT = 1,MTFT AND LZ AND skip,0,1.0,1.0,1.0,12
uniform,495,skip = 1 AND LZ = 1 AND MTFT = 1,skip AND MTFT AND LZ,2,1.0,1.0,1.0,12
bi_modal_split,495,skip = 1 AND LZ = 1 AND MTFT = 1,MTFT AND skip AND LZ,0,1.0,1.0,1.0,12
tri_modal_split,495,skip = 1 AND LZ = 1 AND MTFT = 1,MTFT AND LZ AND skip,1,1.0,1.0,1.0,12
power_law,495,skip = 1 AND LZ = 1 AND MTFT = 1,MTFT,3,0.5043301069791136,0.3371934604904632,1.0,12
normal,608,LZ = 1 AND X86 = 1 AND checksum = 1,LZ AND X86 AND checksum,0,1.0,1.0,1.0,13
uniform,608,LZ = 1 AND X86 = 1 AND checksum = 1,checksum AND X86 AND LZ,0,1.0,1.0,1.0,13
bi_modal_split,608,LZ = 1 AND X86 = 1 AND checksum = 1,checksum AND X86 AND LZ,0,1.0,1.0,1.0,13
tri_modal_split,608,LZ = 1 AND X86 = 1 AND checksum = 1,checksum AND X86 AND LZ,0,1.0,1.0,1.0,13
power_law,608,LZ = 1 AND X86 = 1 AND checksum = 1,checksum AND LZ AND X86,1,1.0,1.0,1.0,13
normal,487,LZ = 1 AND SRT = 1 AND RLT = 1,RLT AND LZ AND SRT,0,1.0,1.0,1.0,14
uniform,487,LZ = 1 AND SRT = 1 AND RLT = 1,SRT AND LZ AND RLT,0,1.0,1.0,1.0,14
bi_modal_split,487,LZ = 1 AND SRT = 1 AND RLT = 1,RLT AND SRT AND LZ,0,1.0,1.0,1.0,14
tri_modal_split,487,LZ = 1 AND SRT = 1 AND RLT = 1,RLT AND SRT AND LZ,0,1.0,1.0,1.0,14
power_law,487,LZ = 1 AND SRT = 1 AND RLT = 1,SRT AND RLT AND LZ,0,1.0,1.0,1.0,14
normal,449,skip = 1 AND MTFT = 1 AND SRT = 1,skip AND MTFT AND SRT,0,1.0,1.0,1.0,15
uniform,449,skip = 1 AND MTFT = 1 AND SRT = 1,MTFT AND SRT AND skip,0,1.0,1.0,1.0,15
bi_modal_split,449,skip = 1 AND MTFT = 1 AND SRT = 1,skip AND SRT AND MTFT,0,1.0,1.0,1.0,15
tri_modal_split,449,skip = 1 AND MTFT = 1 AND SRT = 1,SRT AND MTFT AND skip,0,1.0,1.0,1.0,15
