sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,24,integrityCheck = 1 AND nice = 1 AND unlimitedWindowSize = 1,nice AND integrityCheck AND unlimitedWindowSize,0,1.0,1.0,1.0,0
uniform,24,encryption = 1 AND nice = 1 AND multithreading = 1,NOT nice AND unlimitedWindowSize AND NOT gzip AND integrityCheck,0,0.0,0.0,0.0,0
bi_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,nice AND encryption AND multithreading,0,1.0,1.0,1.0,0
tri_modal_split,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT unlimitedWindowSize AND NOT noBackend AND integrityCheck AND nice,0,0.0,0.0,0.0,0
power_law,24,integrityCheck = 1 AND nice = 1 AND unlimitedWindowSize = 1,NOT integrityCheck AND NOT noBackend AND NOT gzip AND NOT lzo,0,0.0,0.0,0.0,0
normal,24,encryption = 1 AND nice = 1 AND multithreading = 1,multithreading AND nice AND encryption,0,1.0,1.0,1.0,10
uniform,24,encryption = 1 AND nice = 1 AND multithreading = 1,nice AND multithreading AND encryption AND NOT gzip,4,0.9090909090909092,1.0,0.8333333333333334,10
bi_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,NOT zpaq AND NOT bzip2 AND unlimitedWindowSize AND nice,4,0.2857142857142857,0.25,0.3333333333333333,10
tri_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,multithreading AND nice AND encryption AND zpaq,3,0.2857142857142857,1.0,0.1666666666666666,10
power_law,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption AND multithreading AND gzip AND nice,1,0.2857142857142857,1.0,0.1666666666666666,10
normal,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT zpaq,4,0.2185792349726776,0.1257861635220125,0.8333333333333334,11
uniform,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND multithreading AND encryption,0,1.0,1.0,1.0,11
bi_modal_split,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND NOT unlimitedWindowSize AND disableLzoCompressibilityTesting AND integrityCheck,0,0.0,0.0,0.0,11
tri_modal_split,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT unlimitedWindowSize AND NOT integrityCheck AND NOT noBackend,0,0.0,0.0,0.0,11
power_law,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT multithreading AND disableLzoCompressibilityTesting AND NOT nice AND NOT encryption,0,0.0,0.0,0.0,11
normal,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,encryption AND integrityCheck AND nice,0,1.0,1.0,1.0,12
uniform,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,integrityCheck AND encryption AND nice,0,1.0,1.0,1.0,12
bi_modal_split,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,NOT bzip2,3,0.2087912087912088,0.1194968553459119,0.8260869565217391,12
tri_modal_split,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,nice AND integrityCheck AND noBackend AND encryption,0,0.2962962962962963,1.0,0.1739130434782608,12
power_law,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,encryption AND integrityCheck AND nice AND NOT zpaq,4,0.9047619047619048,1.0,0.8260869565217391,12
normal,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND multithreading AND unlimitedWindowSize,0,1.0,1.0,1.0,13
uniform,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT unlimitedWindowSize AND bzip2 AND encryption AND multithreading,0,0.0,0.0,0.0,13
bi_modal_split,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND NOT bzip2,4,0.1941747572815534,0.1265822784810126,0.4166666666666667,13
tri_modal_split,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT gzip,2,0.2185792349726776,0.1257861635220125,0.8333333333333334,13
power_law,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,gzip AND multithreading AND NOT nice AND NOT integrityCheck,0,0.0,0.0,0.0,13
normal,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND integrityCheck AND multithreading,0,1.0,1.0,1.0,14
uniform,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND integrityCheck AND multithreading,0,1.0,1.0,1.0,14
bi_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND multithreading AND integrityCheck,0,1.0,1.0,1.0,14
tri_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,NOT multithreading AND bzip2,0,0.0,0.0,0.0,14
power_law,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,multithreading AND integrityCheck AND encryption,2,1.0,1.0,1.0,14
normal,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,unlimitedWindowSize AND NOT lzo AND encryption AND NOT gzip,3,0.25,0.25,0.25,15
uniform,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,integrityCheck,4,0.4033613445378152,0.2526315789473684,1.0,15
bi_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND multithreading AND integrityCheck,0,1.0,1.0,1.0,15
tri_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND NOT integrityCheck AND gzip,0,0.0,0.0,0.0,15
power_law,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,NOT multithreading AND gzip AND integrityCheck AND NOT encryption,0,0.0,0.0,0.0,15
normal,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,encryption AND unlimitedWindowSize AND integrityCheck,0,1.0,1.0,1.0,16
uniform,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,encryption AND unlimitedWindowSize AND integrityCheck,3,1.0,1.0,1.0,16
bi_modal_split,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND integrityCheck AND encryption,0,1.0,1.0,1.0,16
tri_modal_split,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,integrityCheck AND encryption AND unlimitedWindowSize,0,1.0,1.0,1.0,16
power_law,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,NOT encryption AND multithreading AND NOT gzip AND NOT lzo,0,0.0,0.0,0.0,16
normal,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND multithreading AND nice,0,1.0,1.0,1.0,17
uniform,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,multithreading AND unlimitedWindowSize AND nice,0,1.0,1.0,1.0,17
bi_modal_split,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND multithreading AND nice,0,1.0,1.0,1.0,17
tri_modal_split,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,multithreading AND integrityCheck AND nice AND unlimitedWindowSize,2,0.6666666666666666,1.0,0.5,17
power_law,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND nice AND multithreading,2,1.0,1.0,1.0,17
normal,24,encryption = 1 AND nice = 1 AND multithreading = 1,multithreading AND nice AND encryption,0,1.0,1.0,1.0,18
uniform,24,encryption = 1 AND nice = 1 AND multithreading = 1,nice AND multithreading AND encryption,4,1.0,1.0,1.0,18
bi_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,nice AND encryption AND multithreading AND disableLzoCompressibilityTesting,0,0.2857142857142857,1.0,0.1666666666666666,18
tri_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,nice AND multithreading AND encryption,3,1.0,1.0,1.0,18
power_law,24,encryption = 1 AND nice = 1 AND multithreading = 1,NOT nice AND bzip2 AND NOT multithreading AND NOT unlimitedWindowSize,0,0.0,0.0,0.0,18
normal,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,NOT noBackend AND nice AND multithreading AND encryption,3,0.2272727272727272,0.25,0.2083333333333333,19
uniform,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,NOT encryption AND nice AND NOT multithreading,0,0.0,0.0,0.0,19
bi_modal_split,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND NOT encryption AND disableLzoCompressibilityTesting AND integrityCheck,0,0.0,0.0,0.0,19
tri_modal_split,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,NOT unlimitedWindowSize AND NOT integrityCheck AND noBackend AND NOT encryption,0,0.0,0.0,0.0,19
power_law,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,NOT unlimitedWindowSize AND noBackend AND NOT integrityCheck AND encryption,0,0.0,0.0,0.0,19
normal,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND multithreading AND unlimitedWindowSize,0,1.0,1.0,1.0,1
uniform,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT zpaq AND multithreading AND integrityCheck AND unlimitedWindowSize,1,0.9090909090909092,1.0,0.8333333333333334,1
bi_modal_split,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT integrityCheck AND unlimitedWindowSize AND encryption AND NOT gzip,0,0.0,0.0,0.0,1
tri_modal_split,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT nice,2,0.2,0.125,0.5,1
power_law,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,nice,2,0.2016806722689076,0.1263157894736842,0.5,1
normal,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,integrityCheck AND nice AND encryption,0,1.0,1.0,1.0,20
uniform,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,nice AND integrityCheck AND encryption,0,1.0,1.0,1.0,20
bi_modal_split,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,integrityCheck AND NOT noBackend,1,0.3725490196078431,0.240506329113924,0.8260869565217391,20
tri_modal_split,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,NOT bzip2,1,0.2087912087912088,0.1194968553459119,0.8260869565217391,20
power_law,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,NOT encryption AND NOT lzo,0,0.0,0.0,0.0,20
normal,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND encryption AND multithreading,0,1.0,1.0,1.0,21
uniform,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,gzip AND NOT unlimitedWindowSize AND multithreading AND NOT integrityCheck,0,0.0,0.0,0.0,21
bi_modal_split,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND multithreading AND unlimitedWindowSize,0,1.0,1.0,1.0,21
tri_modal_split,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND unlimitedWindowSize AND multithreading,0,1.0,1.0,1.0,21
power_law,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT multithreading AND unlimitedWindowSize AND NOT gzip AND NOT zpaq,0,0.0,0.0,0.0,21
normal,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption AND nice AND multithreading,0,1.0,1.0,1.0,22
uniform,24,encryption = 1 AND nice = 1 AND multithreading = 1,integrityCheck AND encryption AND NOT disableLzoCompressibilityTesting AND NOT unlimitedWindowSize,1,0.2272727272727272,0.25,0.2083333333333333,22
bi_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,NOT gzip AND nice AND encryption AND NOT bzip2,1,0.5818181818181819,0.5161290322580645,0.6666666666666666,22
tri_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,NOT lzo AND nice AND multithreading AND NOT unlimitedWindowSize,3,0.4,0.5,0.3333333333333333,22
power_law,24,encryption = 1 AND nice = 1 AND multithreading = 1,lzo AND encryption AND unlimitedWindowSize,2,0.2,0.25,0.1666666666666666,22
normal,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,nice AND multithreading AND unlimitedWindowSize,0,1.0,1.0,1.0,23
uniform,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,nice AND unlimitedWindowSize AND multithreading,3,1.0,1.0,1.0,23
bi_modal_split,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,multithreading AND unlimitedWindowSize AND nice,1,1.0,1.0,1.0,23
tri_modal_split,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,multithreading AND nice AND unlimitedWindowSize,0,1.0,1.0,1.0,23
power_law,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND NOT nice AND NOT encryption AND NOT noBackend,0,0.0,0.0,0.0,23
normal,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,multithreading AND unlimitedWindowSize AND integrityCheck,0,1.0,1.0,1.0,24
uniform,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND multithreading AND unlimitedWindowSize,1,1.0,1.0,1.0,24
bi_modal_split,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND multithreading AND integrityCheck,2,1.0,1.0,1.0,24
tri_modal_split,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND unlimitedWindowSize AND multithreading,1,1.0,1.0,1.0,24
power_law,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT lzo AND NOT multithreading AND nice,0,0.0,0.0,0.0,24
normal,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,multithreading AND unlimitedWindowSize AND encryption,0,1.0,1.0,1.0,25
uniform,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT noBackend,2,0.2185792349726776,0.1257861635220125,0.8333333333333334,25
bi_modal_split,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,multithreading AND unlimitedWindowSize AND encryption,2,1.0,1.0,1.0,25
tri_modal_split,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,multithreading AND encryption AND unlimitedWindowSize,3,1.0,1.0,1.0,25
power_law,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,disableLzoCompressibilityTesting AND unlimitedWindowSize AND multithreading,3,0.25,0.5,0.1666666666666666,25
normal,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND multithreading AND encryption,0,1.0,1.0,1.0,26
uniform,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT disableLzoCompressibilityTesting,2,0.217391304347826,0.125,0.8333333333333334,26
