sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,NOT sliced-threads AND cpu-independent AND pic-struct,2,0.6220238095238095,0.576551724137931,0.6752827140549273,0
uniform,601,constrained-intra = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND no-8x8dct AND constrained-intra,0,1.0,1.0,1.0,0
bi_modal_split,605,bff = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent AND no-mbtree AND bff,0,1.0,1.0,1.0,0
tri_modal_split,621,no-deblock = 1 AND cpu-independent = 1 AND opencl = 1,cpu-independent AND no-deblock,3,0.8619014573213046,0.7573170731707317,1.0,0
power_law,603,intra-refresh = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-psy,0,1.0,1.0,1.0,0
normal,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent AND no-mbtree AND open-gop,0,1.0,1.0,1.0,10
uniform,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent AND no-mbtree AND open-gop,0,1.0,1.0,1.0,10
bi_modal_split,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent AND no-mbtree AND open-gop,0,1.0,1.0,1.0,10
tri_modal_split,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent AND no-mbtree AND open-gop,1,1.0,1.0,1.0,10
power_law,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent AND no-mbtree AND open-gop,0,1.0,1.0,1.0,10
normal,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,aud AND cpu-independent AND no-deblock,0,1.0,1.0,1.0,11
uniform,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent AND aud AND no-deblock,0,1.0,1.0,1.0,11
bi_modal_split,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent AND no-deblock AND aud,0,1.0,1.0,1.0,11
tri_modal_split,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent AND aud AND no-deblock,3,1.0,1.0,1.0,11
power_law,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent AND no-deblock AND aud,1,1.0,1.0,1.0,11
normal,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-psy AND dts-compress,0,1.0,1.0,1.0,12
uniform,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-psy AND dts-compress,0,1.0,1.0,1.0,12
bi_modal_split,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-psy AND dts-compress,0,1.0,1.0,1.0,12
tri_modal_split,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-psy AND dts-compress,4,1.0,1.0,1.0,12
power_law,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-psy AND dts-compress,2,1.0,1.0,1.0,12
normal,609,bff = 1 AND no-weightb = 1 AND aud = 1,no-weightb AND aud AND bff,0,1.0,1.0,1.0,13
uniform,609,bff = 1 AND no-weightb = 1 AND aud = 1,bff AND no-weightb AND aud,0,1.0,1.0,1.0,13
bi_modal_split,609,bff = 1 AND no-weightb = 1 AND aud = 1,no-weightb AND aud AND bff,2,1.0,1.0,1.0,13
tri_modal_split,609,bff = 1 AND no-weightb = 1 AND aud = 1,aud AND no-weightb AND bff,4,1.0,1.0,1.0,13
power_law,609,bff = 1 AND no-weightb = 1 AND aud = 1,no-weightb AND aud AND bff,2,1.0,1.0,1.0,13
normal,605,no-cabac = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent AND aud AND no-cabac,0,1.0,1.0,1.0,14
uniform,605,no-cabac = 1 AND cpu-independent = 1 AND aud = 1,aud AND cpu-independent AND no-cabac,0,1.0,1.0,1.0,14
bi_modal_split,605,no-cabac = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent,4,0.6408898305084746,0.4715510522213562,1.0,14
tri_modal_split,605,no-cabac = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent AND aud AND no-cabac,2,1.0,1.0,1.0,14
power_law,605,no-cabac = 1 AND cpu-independent = 1 AND aud = 1,cpu-independent AND no-cabac AND aud,2,1.0,1.0,1.0,14
normal,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-mbtree AND dts-compress,0,1.0,1.0,1.0,15
uniform,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-mbtree AND dts-compress,0,1.0,1.0,1.0,15
bi_modal_split,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,no-mbtree,1,0.5817669172932332,0.4102054340622929,1.0,15
tri_modal_split,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,dts-compress AND no-mbtree,3,0.8086218158066623,0.6787280701754386,1.0,15
power_law,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-mbtree AND dts-compress,2,1.0,1.0,1.0,15
normal,606,no-cabac = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND no-chroma-me AND no-cabac,0,1.0,1.0,1.0,16
uniform,606,no-cabac = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND no-cabac AND no-chroma-me,0,1.0,1.0,1.0,16
bi_modal_split,606,no-cabac = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND no-cabac AND no-chroma-me,0,1.0,1.0,1.0,16
tri_modal_split,606,no-cabac = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent,2,0.6416093170989942,0.4723304754481683,1.0,16
power_law,606,no-cabac = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND no-cabac AND no-chroma-me,4,1.0,1.0,1.0,16
normal,596,no-deblock = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,cpu-independent AND no-mixed-refs AND no-deblock,0,1.0,1.0,1.0,17
uniform,596,no-deblock = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,cpu-independent AND no-deblock AND no-mixed-refs,0,1.0,1.0,1.0,17
bi_modal_split,596,no-deblock = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,cpu-independent AND no-mixed-refs AND no-deblock,0,1.0,1.0,1.0,17
tri_modal_split,596,no-deblock = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,cpu-independent AND no-deblock AND no-mixed-refs,0,1.0,1.0,1.0,17
power_law,596,no-deblock = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,cpu-independent AND no-deblock AND no-mixed-refs,1,1.0,1.0,1.0,17
normal,581,intra-refresh = 1 AND no-weightb = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-weightb,0,1.0,1.0,1.0,18
uniform,581,intra-refresh = 1 AND no-weightb = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-weightb,0,1.0,1.0,1.0,18
bi_modal_split,581,intra-refresh = 1 AND no-weightb = 1 AND cpu-independent = 1,cpu-independent AND no-weightb AND intra-refresh,0,1.0,1.0,1.0,18
tri_modal_split,581,intra-refresh = 1 AND no-weightb = 1 AND cpu-independent = 1,cpu-independent AND no-weightb AND intra-refresh,0,1.0,1.0,1.0,18
power_law,581,intra-refresh = 1 AND no-weightb = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-weightb,0,1.0,1.0,1.0,18
normal,588,no-deblock = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND no-deblock AND no-psy,0,1.0,1.0,1.0,19
uniform,588,no-deblock = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND no-deblock AND no-psy,0,1.0,1.0,1.0,19
bi_modal_split,588,no-deblock = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND no-psy AND no-deblock,0,1.0,1.0,1.0,19
tri_modal_split,588,no-deblock = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND no-psy AND no-deblock,0,1.0,1.0,1.0,19
power_law,588,no-deblock = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND no-deblock AND no-psy,1,1.0,1.0,1.0,19
normal,605,intra-refresh = 1 AND no-deblock = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-deblock,0,1.0,1.0,1.0,1
uniform,605,intra-refresh = 1 AND no-deblock = 1 AND cpu-independent = 1,cpu-independent AND no-deblock AND intra-refresh,0,1.0,1.0,1.0,1
bi_modal_split,605,intra-refresh = 1 AND no-deblock = 1 AND cpu-independent = 1,cpu-independent AND no-deblock AND intra-refresh,0,1.0,1.0,1.0,1
tri_modal_split,605,intra-refresh = 1 AND no-deblock = 1 AND cpu-independent = 1,cpu-independent AND no-deblock AND intra-refresh,2,1.0,1.0,1.0,1
power_law,605,intra-refresh = 1 AND no-deblock = 1 AND cpu-independent = 1,no-chroma-me AND constrained-intra AND tff,4,0.4968152866242037,0.4344059405940594,0.5801652892561984,1
normal,612,intra-refresh = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND no-chroma-me AND intra-refresh,0,1.0,1.0,1.0,20
uniform,612,intra-refresh = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-chroma-me,0,1.0,1.0,1.0,20
bi_modal_split,612,intra-refresh = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-chroma-me,2,1.0,1.0,1.0,20
tri_modal_split,612,intra-refresh = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-chroma-me,2,1.0,1.0,1.0,20
power_law,612,intra-refresh = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-chroma-me,2,1.0,1.0,1.0,20
normal,592,no-8x8dct = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-8x8dct AND dts-compress,0,1.0,1.0,1.0,21
uniform,592,no-8x8dct = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-8x8dct AND dts-compress,0,1.0,1.0,1.0,21
bi_modal_split,592,no-8x8dct = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-8x8dct AND dts-compress,0,1.0,1.0,1.0,21
tri_modal_split,592,no-8x8dct = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-8x8dct AND dts-compress,0,1.0,1.0,1.0,21
power_law,592,no-8x8dct = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-8x8dct AND dts-compress,2,1.0,1.0,1.0,21
normal,620,no-scenecut = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND no-chroma-me AND no-scenecut,0,1.0,1.0,1.0,22
uniform,620,no-scenecut = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND no-scenecut AND no-chroma-me,0,1.0,1.0,1.0,22
bi_modal_split,620,no-scenecut = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND no-chroma-me AND no-scenecut,1,1.0,1.0,1.0,22
tri_modal_split,620,no-scenecut = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND no-chroma-me AND no-scenecut,1,1.0,1.0,1.0,22
power_law,620,no-scenecut = 1 AND no-chroma-me = 1 AND cpu-independent = 1,cpu-independent AND no-chroma-me AND no-scenecut,0,1.0,1.0,1.0,22
normal,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-8x8dct,0,1.0,1.0,1.0,23
uniform,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,no-chroma-me AND no-cabac AND cpu-independent AND intra-refresh,4,0.750465549348231,0.8174442190669371,0.693631669535284,23
bi_modal_split,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent,2,0.6233905579399142,0.4528448947778644,1.0,23
tri_modal_split,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND no-8x8dct AND intra-refresh,2,1.0,1.0,1.0,23
power_law,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,intra-refresh AND no-8x8dct AND cpu-independent,3,1.0,1.0,1.0,23
normal,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND no-8x8dct AND intra-refresh,0,1.0,1.0,1.0,24
uniform,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND no-8x8dct AND intra-refresh,0,1.0,1.0,1.0,24
bi_modal_split,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,intra-refresh AND cpu-independent,4,0.8311874105865523,0.7111383108935129,1.0,24
tri_modal_split,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,no-scenecut AND cpu-independent,4,0.7258741258741259,0.6113074204946997,0.8932874354561101,24
power_law,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND no-8x8dct AND intra-refresh,0,1.0,1.0,1.0,24
normal,603,intra-refresh = 1 AND no-psy = 1 AND cpu-independent = 1,no-psy AND cpu-independent AND intra-refresh,0,1.0,1.0,1.0,25
uniform,603,intra-refresh = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-psy,0,1.0,1.0,1.0,25
bi_modal_split,603,intra-refresh = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-psy,3,1.0,1.0,1.0,25
tri_modal_split,603,intra-refresh = 1 AND no-psy = 1 AND cpu-independent = 1,intra-refresh,2,0.5718349928876244,0.4003984063745019,1.0,25
power_law,603,intra-refresh = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND no-psy AND intra-refresh,0,1.0,1.0,1.0,25
normal,615,bff = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND bff AND no-psy,0,1.0,1.0,1.0,26
uniform,615,bff = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND no-psy AND bff,0,1.0,1.0,1.0,26
bi_modal_split,615,bff = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND bff AND no-psy,0,1.0,1.0,1.0,26
tri_modal_split,615,bff = 1 AND no-psy = 1 AND cpu-independent = 1,cpu-independent AND no-psy AND bff,0,1.0,1.0,1.0,26
power_law,615,bff = 1 AND no-psy = 1 AND cpu-independent = 1,NOT sliced-threads AND no-mixed-refs AND intra-refresh,4,0.4544198895027624,0.3949579831932773,0.5349593495934959,26
normal,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,no-psy AND no-mbtree AND cpu-independent AND dts-compress,0,0.8704379562043796,1.0,0.7705977382875606,27
uniform,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-mbtree AND dts-compress,0,1.0,1.0,1.0,27
bi_modal_split,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-mbtree AND dts-compress,0,1.0,1.0,1.0,27
tri_modal_split,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,cpu-independent AND no-mbtree AND dts-compress,0,1.0,1.0,1.0,27
power_law,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,no-psy AND no-cabac,3,0.4670807453416149,0.3794147325933401,0.6074313408723748,27
normal,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-8x8dct,0,1.0,1.0,1.0,28
uniform,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-8x8dct,0,1.0,1.0,1.0,28
bi_modal_split,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND no-8x8dct AND intra-refresh,0,1.0,1.0,1.0,28
tri_modal_split,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,no-8x8dct AND intra-refresh AND cpu-independent,0,1.0,1.0,1.0,28
power_law,581,intra-refresh = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND no-8x8dct AND intra-refresh,2,1.0,1.0,1.0,28
normal,621,slow-firstpass = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND no-8x8dct AND slow-firstpass,0,1.0,1.0,1.0,29
uniform,621,slow-firstpass = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND no-8x8dct AND slow-firstpass,0,1.0,1.0,1.0,29
bi_modal_split,621,slow-firstpass = 1 AND no-8x8dct = 1 AND cpu-independent = 1,cpu-independent AND no-8x8dct AND slow-firstpass,0,1.0,1.0,1.0,29
tri_modal_split,621,slow-firstpass = 1 AND no-8x8dct = 1 AND cpu-independent = 1,no-8x8dct AND cpu-independent AND slow-firstpass,2,1.0,1.0,1.0,29
power_law,621,slow-firstpass = 1 AND no-8x8dct = 1 AND cpu-independent = 1,no-8x8dct AND cpu-independent AND slow-firstpass,2,1.0,1.0,1.0,29
normal,609,tff = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,cpu-independent AND tff AND no-mixed-refs,0,1.0,1.0,1.0,2
uniform,609,tff = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,slow-firstpass AND tff AND no-chroma-me AND cpu-independent,3,0.765296803652968,0.8621399176954733,0.6880131362889984,2
bi_modal_split,609,tff = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,no-asm AND no-psy AND tff,2,0.667687595712098,0.6255380200860832,0.715927750410509,2
tri_modal_split,609,tff = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,cpu-independent,3,0.6437632135306554,0.4746687451286048,1.0,2
power_law,609,tff = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,no-mixed-refs AND cpu-independent AND tff,2,1.0,1.0,1.0,2
normal,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,pic-struct AND aud,2,0.4933753943217665,0.4014373716632443,0.6399345335515548,30
uniform,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent AND no-mbtree AND open-gop,0,1.0,1.0,1.0,30
bi_modal_split,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent AND no-mbtree AND open-gop,0,1.0,1.0,1.0,30
tri_modal_split,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent AND no-mbtree AND open-gop,0,1.0,1.0,1.0,30
power_law,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,no-mbtree AND cpu-independent AND open-gop,0,1.0,1.0,1.0,30
normal,593,intra-refresh = 1 AND no-fast-pskip = 1 AND cpu-independent = 1,cpu-independent AND no-fast-pskip AND intra-refresh,0,1.0,1.0,1.0,31
uniform,593,intra-refresh = 1 AND no-fast-pskip = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh AND no-fast-pskip,0,1.0,1.0,1.0,31
bi_modal_split,593,intra-refresh = 1 AND no-fast-pskip = 1 AND cpu-independent = 1,cpu-independent,2,0.6321961620469083,0.4621979734996103,1.0,31
tri_modal_split,593,intra-refresh = 1 AND no-fast-pskip = 1 AND cpu-independent = 1,cpu-independent AND intra-refresh,3,0.8411347517730496,0.7258261933904528,1.0,31
power_law,593,intra-refresh = 1 AND no-fast-pskip = 1 AND cpu-independent = 1,cpu-independent AND no-fast-pskip AND intra-refresh,2,1.0,1.0,1.0,31
normal,615,tff = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent AND tff AND no-dct-decimate,0,1.0,1.0,1.0,32
uniform,615,tff = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,no-fast-pskip AND no-psy,2,0.4818840579710145,0.3832853025936599,0.6487804878048781,32
bi_modal_split,615,tff = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent AND tff AND no-dct-decimate,1,1.0,1.0,1.0,32
tri_modal_split,615,tff = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent,3,0.648050579557429,0.4793452844894778,1.0,32
power_law,615,tff = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent AND tff AND no-dct-decimate,4,1.0,1.0,1.0,32
normal,581,tff = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent AND no-mbtree AND tff,0,1.0,1.0,1.0,33
uniform,581,tff = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent AND no-mbtree AND tff,0,1.0,1.0,1.0,33
bi_modal_split,581,tff = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent,3,0.6233905579399142,0.4528448947778644,1.0,33
tri_modal_split,581,tff = 1 AND no-mbtree = 1 AND cpu-independent = 1,cpu-independent,2,0.6233905579399142,0.4528448947778644,1.0,33
power_law,581,tff = 1 AND no-mbtree = 1 AND cpu-independent = 1,no-mbtree AND cpu-independent AND tff,0,1.0,1.0,1.0,33
normal,620,no-fast-pskip = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent AND no-fast-pskip AND no-dct-decimate,0,1.0,1.0,1.0,34
uniform,620,no-fast-pskip = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent AND no-fast-pskip AND no-dct-decimate,0,1.0,1.0,1.0,34
bi_modal_split,620,no-fast-pskip = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent AND no-fast-pskip AND no-dct-decimate,0,1.0,1.0,1.0,34
tri_modal_split,620,no-fast-pskip = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent AND no-fast-pskip AND no-dct-decimate,0,1.0,1.0,1.0,34
power_law,620,no-fast-pskip = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent AND no-fast-pskip AND no-dct-decimate,1,1.0,1.0,1.0,34
normal,621,bff = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent AND bff AND no-dct-decimate,0,1.0,1.0,1.0,35
uniform,621,bff = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent AND bff AND no-dct-decimate,0,1.0,1.0,1.0,35
bi_modal_split,621,bff = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent AND bff AND no-dct-decimate,0,1.0,1.0,1.0,35
tri_modal_split,621,bff = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,cpu-independent AND bff AND no-dct-decimate,0,1.0,1.0,1.0,35
