sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,207,hc3 = 1 AND Nice = 1 AND Depth = 1,hc3,4,0.6624,0.4952153110047846,1.0,0
uniform,353,Depth = 1 AND Dict = 1 AND FlushTimeout = 1,FlushTimeout AND Depth AND Dict,0,1.0,1.0,1.0,0
bi_modal_split,244,bt4 = 1 AND Depth = 1 AND BlockSize = 1,bt4 AND Depth AND BlockSize,0,1.0,1.0,1.0,0
tri_modal_split,240,bt4 = 1 AND Dict = 1 AND Dist = 1,bt4 AND Dist AND Dict,3,1.0,1.0,1.0,0
power_law,238,Nice = 1 AND Depth = 1 AND PositionBits = 1,NOT Lc1Lp0,0,0.2110694183864915,0.1187961985216473,0.9453781512605042,0
normal,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,PositionBits AND Depth AND MemoryLimit,0,1.0,1.0,1.0,10
uniform,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,Depth AND PositionBits AND MemoryLimit,0,1.0,1.0,1.0,10
bi_modal_split,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,PositionBits AND Depth AND MemoryLimit,0,1.0,1.0,1.0,10
tri_modal_split,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,PositionBits AND MemoryLimit AND Depth,4,1.0,1.0,1.0,10
power_law,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,MemoryLimit,0,0.3829113924050633,0.2367906066536203,1.0,10
normal,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,bt4 AND Nice AND BlockSize,0,1.0,1.0,1.0,11
uniform,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,bt4 AND Nice AND Dict,3,0.925925925925926,0.9375,0.9146341463414634,11
bi_modal_split,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,NOT Lc0Lp4 AND NOT crc64 AND NOT Lc0Lp2 AND FlushTimeout,4,0.3033333333333333,0.2570621468926554,0.3699186991869919,11
tri_modal_split,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,NOT crc64 AND NOT Lc0Lp2,1,0.2181387077652637,0.1276891047883414,0.7479674796747967,11
power_law,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,Dist,0,0.3343511450381679,0.2058270676691729,0.8902439024390244,11
normal,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout AND Depth AND BlockSize,0,1.0,1.0,1.0,12
uniform,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout AND Depth AND BlockSize,0,1.0,1.0,1.0,12
bi_modal_split,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout AND Depth AND BlockSize,0,1.0,1.0,1.0,12
tri_modal_split,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout AND Depth AND BlockSize,0,1.0,1.0,1.0,12
power_law,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout AND Depth AND BlockSize,0,1.0,1.0,1.0,12
normal,205,none = 1 AND Dict = 1 AND BlockSize = 1,none AND Dict AND BlockSize,0,1.0,1.0,1.0,13
uniform,205,none = 1 AND Dict = 1 AND BlockSize = 1,none AND Dict AND BlockSize,0,1.0,1.0,1.0,13
bi_modal_split,205,none = 1 AND Dict = 1 AND BlockSize = 1,none AND Dict AND BlockSize,0,1.0,1.0,1.0,13
tri_modal_split,205,none = 1 AND Dict = 1 AND BlockSize = 1,none AND Dict AND BlockSize,0,1.0,1.0,1.0,13
