sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,166,auto_config = 1 AND stats = 1 AND unsat_core = 1,stats AND auto_config AND type_check AND unsat_core,0,0.7883211678832116,1.0,0.6506024096385542,0
uniform,144,debug_ref_count = 1 AND smtlib2_compliant = 1 AND unsat_core = 1,unsat_core AND debug_ref_count AND smtlib2_compliant,0,1.0,1.0,1.0,0
bi_modal_split,169,auto_config = 1 AND model = 1 AND proof = 1,proof AND auto_config AND model,0,1.0,1.0,1.0,0
tri_modal_split,179,debug_ref_count = 1 AND dump_models = 1 AND stats = 1,type_check AND dump_models AND debug_ref_count AND stats,0,0.7864406779661017,1.0,0.6480446927374302,0
power_law,101,trace = 1 AND type_check = 1 AND well_sorted_check = 1,stats AND well_sorted_check,3,0.5053380782918149,0.3944444444444444,0.7029702970297029,0
normal,153,model_validate = 1 AND proof = 1 AND type_check = 1,proof AND type_check AND model_validate,0,1.0,1.0,1.0,10
uniform,153,model_validate = 1 AND proof = 1 AND type_check = 1,stats AND model_validate AND proof,3,0.6490066225165563,0.6577181208053692,0.6405228758169934,10
bi_modal_split,153,model_validate = 1 AND proof = 1 AND type_check = 1,dump_models,1,0.3112480739599384,0.2036290322580645,0.6601307189542484,10
tri_modal_split,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate AND proof,2,0.7481662591687042,0.59765625,1.0,10
power_law,153,model_validate = 1 AND proof = 1 AND type_check = 1,type_check AND model_validate AND proof,0,1.0,1.0,1.0,10
normal,160,model_validate = 1 AND proof = 1 AND trace = 1,proof AND model_validate AND trace,0,1.0,1.0,1.0,11
uniform,160,model_validate = 1 AND proof = 1 AND trace = 1,unsat_core AND proof,2,0.4394618834080717,0.3426573426573426,0.6125,11
bi_modal_split,160,model_validate = 1 AND proof = 1 AND trace = 1,model_validate,1,0.4923076923076923,0.3265306122448979,1.0,11
tri_modal_split,160,model_validate = 1 AND proof = 1 AND trace = 1,trace AND model,2,0.4841628959276018,0.3794326241134751,0.66875,11
power_law,160,model_validate = 1 AND proof = 1 AND trace = 1,model_validate AND proof AND trace,0,1.0,1.0,1.0,11
normal,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,model AND auto_config AND debug_ref_count,3,0.398876404494382,0.4080459770114942,0.3901098901098901,12
uniform,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,debug_ref_count AND model_validate AND unsat_core,0,1.0,1.0,1.0,12
bi_modal_split,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,model_validate AND unsat_core AND debug_ref_count,0,1.0,1.0,1.0,12
tri_modal_split,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,proof,1,0.3074626865671642,0.2110655737704918,0.5659340659340659,12
power_law,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,unsat_core AND model_validate AND debug_ref_count,0,1.0,1.0,1.0,12
normal,188,model = 1 AND trace = 1 AND type_check = 1,model AND trace AND type_check,0,1.0,1.0,1.0,13
uniform,188,model = 1 AND trace = 1 AND type_check = 1,trace AND type_check AND model,0,1.0,1.0,1.0,13
bi_modal_split,188,model = 1 AND trace = 1 AND type_check = 1,model AND type_check AND trace,0,1.0,1.0,1.0,13
tri_modal_split,188,model = 1 AND trace = 1 AND type_check = 1,type_check AND model AND trace,0,1.0,1.0,1.0,13
power_law,188,model = 1 AND trace = 1 AND type_check = 1,trace AND type_check AND dump_models AND model,1,0.810126582278481,1.0,0.6808510638297872,13
normal,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,trace AND smtlib2_compliant AND dump_models,0,1.0,1.0,1.0,14
uniform,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,smtlib2_compliant AND dump_models AND trace,0,1.0,1.0,1.0,14
bi_modal_split,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,NOT well_sorted_check AND trace AND smtlib2_compliant AND dump_models,4,0.7531380753138075,1.0,0.6040268456375839,14
tri_modal_split,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,dump_models AND trace AND smtlib2_compliant,0,1.0,1.0,1.0,14
power_law,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,unsat_core AND smtlib2_compliant AND trace AND dump_models,1,0.7531380753138075,1.0,0.6040268456375839,14
normal,172,proof = 1 AND stats = 1 AND trace = 1,trace AND stats AND proof,0,1.0,1.0,1.0,15
uniform,172,proof = 1 AND stats = 1 AND trace = 1,dump_models,0,0.3353293413173652,0.2258064516129032,0.6511627906976745,15
bi_modal_split,172,proof = 1 AND stats = 1 AND trace = 1,stats AND proof,1,0.7678571428571428,0.6231884057971014,1.0,15
tri_modal_split,172,proof = 1 AND stats = 1 AND trace = 1,trace AND smtlib2_compliant,1,0.5231481481481481,0.4346153846153846,0.6569767441860465,15
power_law,172,proof = 1 AND stats = 1 AND trace = 1,stats AND proof AND trace,0,1.0,1.0,1.0,15
normal,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,stats AND proof AND smtlib2_compliant,0,1.0,1.0,1.0,16
uniform,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,stats AND proof AND smtlib2_compliant,0,1.0,1.0,1.0,16
bi_modal_split,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,auto_config AND dump_models,2,0.3235955056179775,0.2656826568265683,0.4137931034482758,16
tri_modal_split,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,proof,0,0.525679758308157,0.3565573770491803,1.0,16
power_law,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,smtlib2_compliant AND proof AND stats,0,1.0,1.0,1.0,16
