n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,30.45467565270029,640,HAVE_HASH = 1,HAVE_HASH,0,1.0,1.0,1.0,0,0.0731832981109619
2,8.801808117239196,640,HAVE_HASH = 1 AND HAVE_CRYPTO = 1,CACHESIZE <= 48.0 AND NOT PAGESIZE.1 AND HAVE_HASH,0,0.6666666666666666,1.0,0.5,0,0.0402677059173584
3,34.28785500278053,128,DIAGNOSTIC = 1 AND PAGESIZE = 1 AND HAVE_CRYPTO = 1,PAGESIZE <= 2.5 AND DIAGNOSTIC AND HAVE_CRYPTO,0,1.0,1.0,1.0,0,0.0448272228240966
4,21.43162182368273,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND DIAGNOSTIC AND HAVE_STATISTICS,0,1.0,1.0,1.0,0,0.0553338527679443
1,32.139006955147266,512,PAGESIZE = 16,PAGESIZE > 12.0 AND PAGESIZE <= 24.0,0,1.0,1.0,1.0,1,0.0483496189117431
2,30.561544748402863,128,HAVE_HASH = 1 AND PAGESIZE = 4,HAVE_HASH AND PAGESIZE <= 6.0 AND PAGESIZE > 2.5,0,1.0,1.0,1.0,1,0.057600975036621
3,28.997988623627407,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_VERIFY = 1,HAVE_HASH AND DIAGNOSTIC AND HAVE_VERIFY,0,1.0,1.0,1.0,1,0.0565214157104492
4,4.667403951574643,160,HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,NOT PAGESIZE.1 AND HAVE_REPLICATION AND HAVE_VERIFY AND PAGESIZE <= 6.0 AND PAGESIZE > 2.5 AND HAVE_SEQUENCE AND HAVE_CRYPTO,1,0.3333333333333333,1.0,0.2,1,0.0325021743774414
1,13.547933256289156,512,PAGESIZE = 32,PAGESIZE > 24.0,0,1.0,1.0,1.0,10,0.0690100193023681
2,26.34304393236325,240,HAVE_SEQUENCE = 1 AND PAGESIZE = 4,PAGESIZE <= 6.0 AND HAVE_SEQUENCE AND PAGESIZE > 2.5,0,1.0,1.0,1.0,10,0.0499465465545654
3,12.874260916410174,320,HAVE_HASH = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND HAVE_SEQUENCE,0,1.0,1.0,1.0,10,0.0550954341888427
4,27.016126469355005,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND HAVE_REPLICATION AND HAVE_VERIFY,0,1.0,1.0,1.0,10,0.0559849739074707
1,13.829716870507388,640,CACHESIZE = 32,CACHESIZE <= 48.0 AND CACHESIZE > 24.0,0,1.0,1.0,1.0,11,0.0783934593200683
2,24.263892996693063,224,HAVE_VERIFY = 1 AND PAGESIZE = 8,PAGESIZE > 6.0 AND PAGESIZE <= 12.0 AND HAVE_VERIFY,0,1.0,1.0,1.0,11,0.0581037998199462
3,8.848179873175976,160,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_HASH.1 = 1,HAVE_HASH.1 AND CACHESIZE > 48.0 AND HAVE_REPLICATION AND NOT HAVE_STATISTICS AND HAVE_VERIFY,0,0.4,1.0,0.25,11,0.0536510944366455
4,8.617898783593835,160,HAVE_HASH = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,PAGESIZE <= 24.0 AND NOT HAVE_REPLICATION.1 AND PAGESIZE > 2.5 AND HAVE_STATISTICS AND NOT HAVE_VERIFY.1 AND HAVE_HASH AND HAVE_VERIFY,0,0.7499999999999999,1.0,0.6,11,0.050236701965332
1,36.890826131004616,512,PAGESIZE = 16,PAGESIZE > 12.0 AND PAGESIZE <= 24.0,0,1.0,1.0,1.0,12,0.0358655452728271
2,3.571096954265192,128,PAGESIZE = 32 AND HAVE_HASH.1 = 1,NOT HAVE_REPLICATION.1 AND PAGESIZE > 24.0 AND HAVE_HASH.1,0,1.0,1.0,1.0,12,0.0494899749755859
3,33.53161569427367,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1,HAVE_HASH AND HAVE_VERIFY AND HAVE_REPLICATION,0,1.0,1.0,1.0,12,0.0461344718933105
4,28.84677838869277,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND HAVE_REPLICATION AND HAVE_VERIFY,0,1.0,1.0,1.0,12,0.0564446449279785
1,25.93224148117428,640,HAVE_HASH.1 = 1,HAVE_HASH.1,0,1.0,1.0,1.0,13,0.0778861045837402
2,10.860345075124254,256,PAGESIZE = 8 AND HAVE_CRYPTO = 1,PAGESIZE > 6.0 AND PAGESIZE <= 12.0 AND NOT HAVE_REPLICATION.1 AND NOT HAVE_STATISTICS AND NOT HAVE_HASH.1 AND NOT HAVE_SEQUENCE.1 AND NOT HAVE_STATISTICS.1 AND HAVE_CRYPTO,0,0.6666666666666666,1.0,0.5,13,0.0544006824493408
3,13.94263693143994,320,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND DIAGNOSTIC AND NOT HAVE_HASH.1,0,1.0,1.0,1.0,13,0.0559532642364501
4,18.2935768986806,160,HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE AND HAVE_CRYPTO AND HAVE_STATISTICS AND HAVE_REPLICATION,0,1.0,1.0,1.0,13,0.048006534576416
1,12.854068015441175,640,CACHESIZE = 512,CACHESIZE > 288.0,0,1.0,1.0,1.0,14,0.0399889945983886
2,7.905207956516417,128,CACHESIZE = 64 AND PAGESIZE = 8,NOT HAVE_STATISTICS.1,0,0.0951661631419939,0.05,0.984375,14,0.0374863147735595
3,21.73548537265825,128,HAVE_STATISTICS = 1 AND PAGESIZE = 32 AND HAVE_CRYPTO = 1,PAGESIZE > 24.0 AND HAVE_CRYPTO AND HAVE_STATISTICS,0,1.0,1.0,1.0,14,0.0571985244750976
4,7.983414062804565,160,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND DIAGNOSTIC AND PAGESIZE > 6.0 AND HAVE_CRYPTO AND HAVE_STATISTICS AND HAVE_SEQUENCE,0,0.4615384615384615,1.0,0.3,14,0.0478155612945556
1,3.827145812221002,640,HAVE_HASH = 1,HAVE_HASH,0,1.0,1.0,1.0,15,0.0760908126831054
2,9.994499651455715,640,HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,NOT HAVE_REPLICATION.1 AND HAVE_STATISTICS AND HAVE_CRYPTO,0,1.0,1.0,1.0,15,0.0531432628631591
3,22.45790165524729,160,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_HASH.1 = 1,HAVE_HASH.1 AND DIAGNOSTIC AND HAVE_REPLICATION,0,1.0,1.0,1.0,15,0.04628586769104
4,4.620549716513411,140,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_CRYPTO AND PAGESIZE > 24.0 AND HAVE_STATISTICS AND HAVE_VERIFY AND HAVE_SEQUENCE AND DIAGNOSTIC,4,0.2051282051282051,1.0,0.1142857142857142,15,0.051415205001831
1,14.87934993508607,512,PAGESIZE = 4,PAGESIZE <= 6.0 AND PAGESIZE > 2.5,0,1.0,1.0,1.0,16,0.0501267910003662
2,27.4831175213626,320,CACHESIZE = 32 AND HAVE_CRYPTO = 1,CACHESIZE <= 48.0 AND CACHESIZE > 24.0 AND HAVE_CRYPTO,0,1.0,1.0,1.0,16,0.0424473285675048
3,33.96716316961387,160,HAVE_HASH = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,HAVE_HASH AND HAVE_VERIFY AND HAVE_SEQUENCE,0,1.0,1.0,1.0,16,0.0607028007507324
4,4.970980850804629,160,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC,1,0.2253521126760563,0.1269841269841269,1.0,16,0.0515108108520507
1,24.343299653921044,640,HAVE_HASH = 1,HAVE_HASH,0,1.0,1.0,1.0,17,0.0562131404876709
2,4.8868469434705215,310,CACHESIZE = 64 AND HAVE_STATISTICS = 1,CACHESIZE > 48.0 AND CACHESIZE <= 288.0 AND HAVE_STATISTICS,0,1.0,1.0,1.0,17,0.0431129932403564
3,25.972702243812808,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1,HAVE_HASH AND HAVE_SEQUENCE AND HAVE_REPLICATION,0,1.0,1.0,1.0,17,0.0545465946197509
4,28.712998622274416,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND HAVE_REPLICATION AND DIAGNOSTIC,0,1.0,1.0,1.0,17,0.0521538257598876
1,26.291403089968917,320,HAVE_REPLICATION.1 = 1,HAVE_REPLICATION.1,0,1.0,1.0,1.0,18,0.0581226348876953
2,13.529855448924645,160,HAVE_STATISTICS = 1 AND HAVE_REPLICATION.1 = 1,HAVE_REPLICATION.1 AND HAVE_STATISTICS,0,1.0,1.0,1.0,18,0.0514223575592041
3,3.3711407135045293,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_STATISTICS = 1,DIAGNOSTIC AND NOT HAVE_REPLICATION.1 AND HAVE_HASH AND HAVE_STATISTICS,0,1.0,1.0,1.0,18,0.0507750511169433
4,17.28733467620241,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND DIAGNOSTIC AND HAVE_REPLICATION,0,1.0,1.0,1.0,18,0.05218505859375
1,32.43242274248047,640,HAVE_HASH.1 = 1,HAVE_HASH.1,0,1.0,1.0,1.0,19,0.0802011489868164
2,15.429890815882697,320,DIAGNOSTIC = 1 AND HAVE_HASH.1 = 1,HAVE_HASH.1 AND DIAGNOSTIC,0,1.0,1.0,1.0,19,0.0568928718566894
3,24.97482307803197,320,HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_VERIFY AND HAVE_STATISTICS AND HAVE_CRYPTO,0,1.0,1.0,1.0,19,0.0470600128173828
4,23.294939704786596,160,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE AND HAVE_STATISTICS AND DIAGNOSTIC AND HAVE_CRYPTO,0,1.0,1.0,1.0,19,0.0447173118591308
1,34.752169228564355,160,HAVE_VERIFY.1 = 1,HAVE_VERIFY.1,0,1.0,1.0,1.0,2,0.0608267784118652
2,1.7250825487058692,320,DIAGNOSTIC = 1 AND HAVE_HASH = 1,HAVE_HASH AND DIAGNOSTIC,0,1.0,1.0,1.0,2,0.0564525127410888
3,20.600365958587176,160,HAVE_REPLICATION = 1 AND HAVE_STATISTICS = 1 AND HAVE_HASH.1 = 1,HAVE_HASH.1 AND HAVE_REPLICATION AND HAVE_STATISTICS,0,1.0,1.0,1.0,2,0.0546348094940185
4,35.06405562285751,160,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS AND HAVE_CRYPTO AND DIAGNOSTIC AND HAVE_VERIFY,0,1.0,1.0,1.0,2,0.0515487194061279
1,27.0290382303754,160,HAVE_VERIFY.1 = 1,HAVE_VERIFY.1,0,1.0,1.0,1.0,20,0.0482151508331298
2,12.919322471419369,320,HAVE_HASH = 1 AND HAVE_STATISTICS = 1,HAVE_HASH AND HAVE_STATISTICS,0,1.0,1.0,1.0,20,0.0541207790374755
3,15.176101534583973,320,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS AND DIAGNOSTIC AND HAVE_CRYPTO,0,1.0,1.0,1.0,20,0.0546574592590332
4,4.147967534367089,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC AND HAVE_HASH AND HAVE_STATISTICS,0,1.0,1.0,1.0,20,0.0502569675445556
1,14.693975153845738,512,PAGESIZE = 1,PAGESIZE <= 2.5,0,1.0,1.0,1.0,21,0.053678274154663
2,5.767440333212976,300,CACHESIZE = 16 AND HAVE_SEQUENCE = 1,CACHESIZE <= 24.0 AND HAVE_SEQUENCE,0,1.0,1.0,1.0,21,0.0536589622497558
3,10.270659828764469,150,CACHESIZE = 512 AND HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1,CACHESIZE > 48.0 AND NOT PAGESIZE.1,2,0.2112676056338028,0.1181102362204724,1.0,21,0.0337636470794677
4,23.97871509642706,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND HAVE_HASH AND HAVE_VERIFY,0,1.0,1.0,1.0,21,0.0576670169830322
1,14.485243554619329,512,PAGESIZE = 32,PAGESIZE > 24.0,0,1.0,1.0,1.0,22,0.0792832374572753
2,2.8387286693163287,480,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1,HAVE_REPLICATION AND HAVE_VERIFY,0,1.0,1.0,1.0,22,0.0568947792053222
3,33.0396477738078,128,HAVE_VERIFY = 1 AND PAGESIZE = 4 AND HAVE_CRYPTO = 1,PAGESIZE <= 6.0 AND HAVE_VERIFY AND PAGESIZE > 2.5 AND HAVE_CRYPTO,0,1.0,1.0,1.0,22,0.0532829761505126
4,15.762233779964127,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND DIAGNOSTIC AND HAVE_SEQUENCE,0,1.0,1.0,1.0,22,0.0542793273925781
1,34.966517490731846,160,HAVE_VERIFY.1 = 1,HAVE_VERIFY.1,0,1.0,1.0,1.0,23,0.0487122535705566
2,37.04142031438052,160,HAVE_VERIFY = 1 AND HAVE_REPLICATION.1 = 1,HAVE_REPLICATION.1 AND HAVE_VERIFY,0,1.0,1.0,1.0,23,0.0529160499572753
3,26.86026519553699,128,HAVE_SEQUENCE = 1 AND PAGESIZE = 8 AND HAVE_CRYPTO = 1,HAVE_CRYPTO AND PAGESIZE > 6.0 AND PAGESIZE <= 12.0 AND HAVE_SEQUENCE,0,1.0,1.0,1.0,23,0.0570969581604003
4,5.7020937100466345,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_VERIFY AND NOT HAVE_STATISTICS AND HAVE_HASH AND HAVE_REPLICATION,0,0.6666666666666666,1.0,0.5,23,0.0516769886016845
1,12.549485983577522,160,HAVE_VERIFY.1 = 1,HAVE_VERIFY.1,0,1.0,1.0,1.0,24,0.0423629283905029
2,31.84105852020318,600,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1,HAVE_SEQUENCE AND HAVE_STATISTICS,0,1.0,1.0,1.0,24,0.047696828842163
3,20.255498570413184,160,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_HASH.1 = 1,HAVE_HASH.1 AND HAVE_REPLICATION AND HAVE_VERIFY,0,1.0,1.0,1.0,24,0.0534307956695556
4,4.872328757816042,160,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC AND HAVE_SEQUENCE AND HAVE_VERIFY AND CACHESIZE > 48.0 AND HAVE_CRYPTO,0,0.6666666666666666,1.0,0.5,24,0.0468313694000244
1,28.678341915709645,640,CACHESIZE = 16,CACHESIZE <= 24.0,0,1.0,1.0,1.0,25,0.0422241687774658
2,27.64858273413138,128,CACHESIZE = 512 AND PAGESIZE = 32,PAGESIZE > 24.0 AND CACHESIZE > 288.0,0,1.0,1.0,1.0,25,0.0453028678894043
3,9.43684933478605,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1,CACHESIZE <= 288.0,0,0.1153846153846153,0.0625,0.75,25,0.052077293395996
4,3.828898012045728,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND DIAGNOSTIC AND HAVE_VERIFY,0,1.0,1.0,1.0,25,0.0463919639587402
1,8.903982566580947,320,HAVE_REPLICATION.1 = 1,CACHESIZE <= 288.0 AND HAVE_SEQUENCE AND HAVE_REPLICATION.1,0,0.5454545454545454,1.0,0.375,26,0.0513951778411865
2,16.2494631645732,280,CACHESIZE = 64 AND HAVE_VERIFY = 1,HAVE_VERIFY AND CACHESIZE > 48.0 AND CACHESIZE <= 288.0,0,1.0,1.0,1.0,26,0.0517144203186035
3,3.6485222115186833,128,HAVE_SEQUENCE = 1 AND PAGESIZE = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE AND PAGESIZE <= 2.5 AND HAVE_CRYPTO,0,1.0,1.0,1.0,26,0.0489571094512939
4,29.23256293898492,160,HAVE_REPLICATION = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND HAVE_STATISTICS AND HAVE_VERIFY AND NOT HAVE_HASH.1,0,1.0,1.0,1.0,26,0.0463366508483886
1,5.5753578690995305,512,PAGESIZE = 1,PAGESIZE <= 2.5,0,1.0,1.0,1.0,27,0.0706653594970703
