n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,467.6940495618115,48384,TenuredGenerationSizeSupplementDecay = 8,TenuredGenerationSizeSupplementDecay > 6.0 AND TenuredGenerationSizeSupplementDecay <= 12.0,0,1.0,1.0,1.0,0,1.0898849964141846
2,481.4173951699917,24192,MinSurvivorRatio = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1,MinSurvivorRatio <= 2.5 AND UseAdaptiveSizeDecayMajorGCCost,0,1.0,1.0,1.0,0,1.2422068119049072
3,258.8190221493911,16128,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,TenuredGenerationSizeSupplement_50 AND UseAdaptiveSizePolicy AND UseAdaptiveGCBoundary,0,1.0,1.0,1.0,0,1.1254613399505615
4,437.5344725163664,12096,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,UseAdaptiveSizePolicy AND UseAdaptiveGCBoundary AND UseAdaptiveSizeDecayMajorGCCost AND DisableExplicitGC,0,1.0,1.0,1.0,0,1.154270887374878
1,201.03696832197247,32256,NewRatio = 16,NewRatio > 12.0 AND NewRatio <= 24.0,0,1.0,1.0,1.0,1,1.0982224941253662
2,349.0008403589141,24192,MinSurvivorRatio = 10 AND UseAdaptiveSizePolicy = 1,MinSurvivorRatio > 8.5 AND UseAdaptiveSizePolicy,0,1.0,1.0,1.0,1,1.2692482471466064
3,251.99186959614795,16128,DisableExplicitGC = 1 AND TenuredGenerationSizeSupplement_70 = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,TenuredGenerationSizeSupplement_70 AND DisableExplicitGC AND UseAdaptiveSizePolicyFootprintGoal,0,1.0,1.0,1.0,1,1.1163923740386963
4,455.4016823736547,12096,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizePolicyFootprintGoal AND DisableExplicitGC AND UseAdaptiveSizePolicy AND UseAdaptiveGCBoundary,0,1.0,1.0,1.0,1,1.175537347793579
1,203.7309992343452,32256,NewRatio = 16,NewRatio > 12.0 AND NewRatio <= 24.0,0,1.0,1.0,1.0,10,1.1794140338897705
2,61.66309804929263,32256,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1,TenuredGenerationSizeSupplement_50 AND UseAdaptiveSizeDecayMajorGCCost,0,1.0,1.0,1.0,10,1.297621726989746
3,288.5306811048152,16128,DisableExplicitGC = 1 AND TenuredGenerationSizeSupplement_70 = 1 AND UseAdaptiveSizePolicy = 1,TenuredGenerationSizeSupplement_70 AND UseAdaptiveSizePolicy AND DisableExplicitGC,0,1.0,1.0,1.0,10,1.2539618015289309
4,210.7981085273388,12096,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveGCBoundary AND DisableExplicitGC AND UseAdaptiveSizePolicy AND UseAdaptiveSizePolicyFootprintGoal,0,1.0,1.0,1.0,10,1.149336338043213
1,321.9474388821081,32256,NewRatio = 1,NewRatio <= 1.5,0,1.0,1.0,1.0,11,1.168849229812622
2,397.9035032810351,32256,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,TenuredGenerationSizeSupplement_50 AND UseAdaptiveSizePolicyFootprintGoal,0,1.0,1.0,1.0,11,1.322603702545166
3,461.7624657010815,16128,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,TenuredGenerationSizeSupplement_50 AND UseAdaptiveSizeDecayMajorGCCost AND UseAdaptiveSizePolicyFootprintGoal,0,1.0,1.0,1.0,11,1.2233295440673828
