n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,5.739200192014682,12000,pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1,0,1.0,1.0,1.0,0,0.5114052295684814
2,28.23656962178144,15000,polly = 1 AND polly_no_tiling = 1,polly_no_tiling AND NOT none,0,1.0,1.0,1.0,0,0.5546975135803223
3,24.53163255481762,5000,memory_based = 1 AND parallel = 1 AND polly_no_tiling = 1,parallel AND polly_no_tiling AND NOT value_based,0,1.0,1.0,1.0,0,0.5412356853485107
4,19.632424048648215,5000,min = 1 AND parallel = 1 AND polly = 1 AND polly_parallel = 1,parallel AND NOT max AND NOT none,0,1.0,1.0,1.0,0,0.555678129196167
1,28.032654064978686,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100,0,1.0,1.0,1.0,1,0.5016276836395264
2,10.116559918995408,15000,polly = 1 AND value_based = 1,polly AND value_based,0,1.0,1.0,1.0,1,0.4987087249755859
3,5.672000679650387,5000,min = 1 AND none = 1 AND parallel_force = 1,parallel_force AND NOT polly AND NOT max,0,1.0,1.0,1.0,1,0.5170302391052246
4,7.375063903357454,3750,max = 1 AND none = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,polly_opt_simplify_deps AND max AND none AND NOT memory_based,0,1.0,1.0,1.0,1,0.4839577674865722
1,16.46249835819515,12000,pollyoptmaxcoefficient_100 = 1,pollyoptmaxcoefficient_100,0,1.0,1.0,1.0,10,0.5697605609893799
2,15.748564760899608,4000,parallel = 1 AND pollydefaulttilesize = 16,parallel AND pollydefaulttilesize <= 40.0 AND pollydefaulttilesize > 10.0,0,1.0,1.0,1.0,10,0.6032633781433105
3,16.951822167728935,3000,max = 1 AND none = 1 AND pollydefaulttilesize = 256,pollydefaulttilesize > 160.0 AND pollydefaulttilesize <= 640.0 AND NOT polly AND max,0,1.0,1.0,1.0,10,0.5404973030090332
4,22.592953806199656,3750,min = 1 AND none = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1,polly_opt_simplify_deps AND NOT polly AND polly_no_tiling AND min,0,1.0,1.0,1.0,10,0.5693168640136719
1,13.081407454262228,12000,pollydefaulttilesize = 16,pollydefaulttilesize <= 40.0 AND pollydefaulttilesize > 10.0,0,1.0,1.0,1.0,11,0.4743709564208984
2,24.20993040465024,6000,polly_no_tiling = 1 AND pollyoptmaxcoefficient_10 = 1,pollyoptmaxcoefficient_10 AND polly_no_tiling,0,1.0,1.0,1.0,11,0.5431814193725586
3,27.68386847852633,3000,none = 1 AND pollyoptmaxconstantterm_10 = 1 AND value_based = 1,NOT polly AND pollyoptmaxconstantterm_10 AND NOT memory_based,0,1.0,1.0,1.0,11,0.4665377140045166
4,11.327011190861317,5000,max = 1 AND polly = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,NOT none AND NOT min AND polly_opt_simplify_deps AND polly_parallel,0,1.0,1.0,1.0,11,0.4688313007354736
1,23.67261607386581,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100,0,1.0,1.0,1.0,12,0.5524387359619141
2,5.805435363481782,6000,none = 1 AND pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1 AND NOT polly,0,1.0,1.0,1.0,12,0.5913727283477783
3,10.334021100857695,3000,none = 1 AND polly_no_tiling = 1 AND pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1 AND NOT polly AND polly_no_tiling,0,1.0,1.0,1.0,12,0.5616633892059326
4,27.921572729261936,5000,parallel_force = 1 AND polly = 1 AND polly_parallel = 1 AND value_based = 1,polly AND parallel_force AND value_based,0,1.0,1.0,1.0,12,0.5576510429382324
1,15.481301012544025,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100,0,1.0,1.0,1.0,13,0.5282151699066162
2,6.576658523132508,6000,none = 1 AND pollyoptmaxcoefficient_10000 = 1,pollyoptmaxcoefficient_10000 AND NOT polly,0,1.0,1.0,1.0,13,0.5856227874755859
3,6.124425244272772,4000,max = 1 AND polly_parallel = 1 AND pollyoptmaxcoefficient_1 = 1,pollyoptmaxcoefficient_1 AND NOT min AND polly_parallel,0,1.0,1.0,1.0,13,0.5198121070861816
4,23.40639884489337,5000,memory_based = 1 AND min = 1 AND parallel_force = 1 AND polly_parallel = 1,parallel_force AND min AND memory_based,0,1.0,1.0,1.0,13,0.5443925857543945
1,28.685480057158173,12000,pollyoptmaxconstantterm_10 = 1,pollyoptmaxconstantterm_10,0,1.0,1.0,1.0,14,0.5310075283050537
2,11.76777421661166,8000,polly_parallel = 1 AND pollyoptmaxcoefficient_10 = 1,pollyoptmaxcoefficient_10 AND polly_parallel,0,1.0,1.0,1.0,14,0.5881052017211914
3,25.25166350820605,3000,none = 1 AND pollyoptmaxconstantterm_100 = 1 AND value_based = 1,pollyoptmaxconstantterm_100 AND value_based AND NOT polly,0,1.0,1.0,1.0,14,0.5252957344055176
4,21.48424518716481,5000,max = 1 AND parallel = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,parallel AND max AND polly_no_tiling,0,1.0,1.0,1.0,14,0.5614228248596191
1,29.641490108946986,12000,pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1,0,1.0,1.0,1.0,15,0.5299897193908691
2,11.142107459422355,6000,pollyoptmaxconstantterm_10 = 1 AND value_based = 1,pollyoptmaxconstantterm_10 AND NOT memory_based,0,1.0,1.0,1.0,15,0.5964298248291016
3,11.193916195467445,3000,min = 1 AND polly = 1 AND pollyrtcmaxparameters = 2,pollyrtcmaxparameters <= 3.0 AND NOT max AND polly AND pollyrtcmaxparameters > 1.5,0,1.0,1.0,1.0,15,0.5167236328125
4,27.47188038886112,3750,max = 1 AND polly = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,polly_opt_simplify_deps AND polly AND pollydefaulttilesize > 640.0 AND NOT pollyoptmaxcoefficient_10 AND NOT min AND value_based,0,0.2758620689655173,1.0,0.16,15,0.5526602268218994
1,15.786790016443934,12000,pollyoptmaxcoefficient_10000 = 1,pollyoptmaxcoefficient_10000,0,1.0,1.0,1.0,16,0.5313060283660889
2,29.74724054778351,6000,polly_no_tiling = 1 AND pollyoptmaxcoefficient_1000 = 1,pollyoptmaxcoefficient_1000 AND polly_no_tiling,0,1.0,1.0,1.0,16,0.5785012245178223
3,29.678756062729992,3000,min = 1 AND polly = 1 AND pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100 AND NOT max AND polly,0,1.0,1.0,1.0,16,0.5178327560424805
4,23.2341056330776,5000,none = 1 AND parallel = 1 AND polly_parallel = 1 AND value_based = 1,parallel AND NOT memory_based AND NOT polly,0,1.0,1.0,1.0,16,0.553626298904419
1,9.521553205569022,12000,pollyoptmaxcoefficient_1 = 1,pollyoptmaxcoefficient_1,0,1.0,1.0,1.0,17,0.5262331962585449
2,11.630466759023683,6000,max = 1 AND pollyoptmaxcoefficient_1000 = 1,pollyoptmaxcoefficient_1000 AND NOT min,0,1.0,1.0,1.0,17,0.5946261882781982
3,24.756154692189657,4000,none = 1 AND polly_parallel = 1 AND pollyoptmaxcoefficient_10000 = 1,pollyoptmaxcoefficient_10000 AND none AND polly_parallel,0,1.0,1.0,1.0,17,0.516207218170166
4,5.770711873136925,5000,none = 1 AND parallel = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,parallel AND polly_no_tiling AND none,0,1.0,1.0,1.0,17,0.5493783950805664
1,20.513005865787807,12000,pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1,0,1.0,1.0,1.0,18,0.5133275985717773
2,27.79836761667064,6000,polly = 1 AND pollyoptmaxcoefficient_1000 = 1,pollyoptmaxcoefficient_1000 AND NOT none,0,1.0,1.0,1.0,18,0.5751745700836182
3,7.824122567621869,3000,min = 1 AND polly_no_tiling = 1 AND pollyoptmaxcoefficient_1 = 1,pollyoptmaxcoefficient_1 AND polly_no_tiling AND NOT max,0,1.0,1.0,1.0,18,0.5242786407470703
4,15.67706178313546,5000,max = 1 AND polly_no_tiling = 1 AND polly_parallel = 1 AND value_based = 1,NOT memory_based AND polly_no_tiling AND max AND polly_parallel,0,1.0,1.0,1.0,18,0.5368671417236328
1,21.925719071876927,12000,pollyoptmaxconstantterm_10 = 1,pollyoptmaxconstantterm_10,0,1.0,1.0,1.0,19,0.5213515758514404
2,15.299434865695796,6000,pollyoptmaxcoefficient_1000 = 1 AND value_based = 1,pollyoptmaxcoefficient_1000 AND NOT memory_based,0,1.0,1.0,1.0,19,0.5898222923278809
3,21.19386720310401,5000,none = 1 AND parallel = 1 AND polly_no_tiling = 1,parallel AND NOT polly AND polly_no_tiling,0,1.0,1.0,1.0,19,0.5265078544616699
4,15.42613697571105,5000,none = 1 AND polly_no_tiling = 1 AND polly_parallel = 1 AND value_based = 1,polly_no_tiling AND value_based AND NOT polly AND polly_parallel,0,1.0,1.0,1.0,19,0.5463588237762451
1,25.76028921108991,12000,pollyoptmaxcoefficient_10000 = 1,pollyoptmaxcoefficient_10000,0,1.0,1.0,1.0,2,0.4942746162414551
2,12.055950927642565,15000,max = 1 AND polly_opt_simplify_deps = 1,polly_opt_simplify_deps AND max,0,1.0,1.0,1.0,2,0.5379319190979004
3,10.158008929409206,3000,max = 1 AND polly_opt_simplify_deps = 1 AND pollyoptmaxconstantterm_10000 = 1,pollyoptmaxconstantterm_10000 AND NOT min AND polly_opt_simplify_deps,0,1.0,1.0,1.0,2,0.5343694686889648
4,10.747822398600226,3750,polly = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,polly_opt_simplify_deps AND value_based AND polly_no_tiling AND NOT none,0,1.0,1.0,1.0,2,0.5555498600006104
1,14.153647077838231,12000,pollyoptmaxcoefficient_100 = 1,pollyoptmaxcoefficient_100,0,1.0,1.0,1.0,20,0.5320351123809814
2,7.228270336569838,10000,memory_based = 1 AND parallel_force = 1,parallel_force AND NOT value_based,0,1.0,1.0,1.0,20,0.5855090618133545
3,11.80401112714179,3000,min = 1 AND none = 1 AND pollydefaulttilesize = 256,pollydefaulttilesize > 160.0 AND pollydefaulttilesize <= 640.0 AND NOT max AND NOT polly,0,1.0,1.0,1.0,20,0.5202767848968506
4,29.37794612139777,5000,memory_based = 1 AND parallel_force = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel_force AND NOT value_based AND polly_opt_simplify_deps,0,1.0,1.0,1.0,20,0.5387985706329346
1,13.292513501891689,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100,0,1.0,1.0,1.0,21,0.5175983905792236
2,26.4482722280614,10000,max = 1 AND parallel_force = 1,parallel_force AND max,0,1.0,1.0,1.0,21,0.5911023616790771
3,9.225029668926886,4000,polly_parallel = 1 AND pollyoptmaxconstantterm_10 = 1 AND value_based = 1,pollyoptmaxconstantterm_10 AND value_based AND polly_parallel,0,1.0,1.0,1.0,21,0.5252974033355713
4,6.114134576834415,5000,max = 1 AND parallel_force = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel_force AND max AND polly_opt_simplify_deps,0,1.0,1.0,1.0,21,0.5411009788513184
1,25.853537800792274,12000,pollyoptmaxconstantterm_10000 = 1,pollyoptmaxconstantterm_10000,0,1.0,1.0,1.0,22,0.5316638946533203
2,6.879322266511692,6000,memory_based = 1 AND pollyrtcmaxparameters = 16,pollyrtcmaxparameters > 12.0 AND NOT value_based,0,1.0,1.0,1.0,22,0.5905306339263916
3,17.824196775942646,3000,memory_based = 1 AND min = 1 AND pollydefaulttilesize = 1024,pollydefaulttilesize > 640.0 AND min AND memory_based,0,1.0,1.0,1.0,22,0.522059440612793
4,17.430628053443165,5000,min = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,NOT max AND polly_opt_simplify_deps AND polly_no_tiling AND polly_parallel,0,1.0,1.0,1.0,22,0.5568516254425049
