n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,5917244.485129629,54000,cyclicRefresh = 1,cyclicRefresh,0,1.0,1.0,1.0,0,1.3033456802368164
2,2286291.425037037,27000,cyclicRefresh = 1 AND FrameBoost = 1,cyclicRefresh AND FrameBoost,0,1.0,1.0,1.0,0,1.3594138622283936
3,5420216.147583334,12000,constantBitrate = 1 AND lossless = 1 AND TileColumns = 3,constantBitrate AND lossless AND TileColumns > 1.5 AND TileColumns <= 4.5,0,1.0,1.0,1.0,0,1.3395745754241943
4,4757593.573185185,13500,realtime = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,lossless AND AutoAltRef AND FrameBoost AND realtime,0,1.0,1.0,1.0,0,1.2981693744659424
1,1517158.2328333333,54000,off = 1,off,0,1.0,1.0,1.0,1,1.4719395637512207
2,2495843.6652777777,10800,complexity = 1 AND cpuUsed = 2,complexity AND cpuUsed <= 3.0 AND cpuUsed > 1.0,0,1.0,1.0,1.0,1,1.415553092956543
3,7457072.576296296,10800,AutoAltRef = 1 AND lossless = 1 AND Threads = 6,AutoAltRef AND lossless AND Threads > 5.0 AND Threads <= 7.0,0,1.0,1.0,1.0,1,1.356476068496704
4,4865291.339481481,13500,good = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,good AND FrameBoost AND AutoAltRef AND lossless,0,1.0,1.0,1.0,1,1.312973976135254
1,5834629.120416666,43200,Threads = 2,Threads <= 3.0,0,1.0,1.0,1.0,10,1.4331936836242676
2,5373578.733981482,10800,cyclicRefresh = 1 AND cpuUsed = 8,cpuUsed > 7.0 AND cyclicRefresh,0,1.0,1.0,1.0,10,1.4102773666381836
3,1502999.9074444445,18000,good = 1 AND constrainedQuality = 1 AND FrameBoost = 1,constrainedQuality AND FrameBoost AND good,0,1.0,1.0,1.0,10,1.363647222518921
4,4435455.57362963,13500,good = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,good AND FrameBoost AND AutoAltRef AND lossless,0,1.0,1.0,1.0,10,1.3147203922271729
1,5578964.916814815,54000,off = 1,off,0,1.0,1.0,1.0,11,1.377392292022705
2,6230265.140208334,14400,variableBitrate = 1 AND Threads = 6,variableBitrate AND Threads <= 7.0 AND Threads > 5.0,0,1.0,1.0,1.0,11,1.3721301555633545
3,1137820.6664444443,18000,realtime = 1 AND variableBitrate = 1 AND lossless = 1,variableBitrate AND realtime AND lossless,0,1.0,1.0,1.0,11,1.3215632438659668
4,1834368.096296296,13500,realtime = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,lossless AND realtime AND FrameBoost AND AutoAltRef,0,1.0,1.0,1.0,11,1.3828821182250977
1,800629.690925926,54000,off = 1,off,0,1.0,1.0,1.0,12,1.353653907775879
2,6284175.635703703,27000,AutoAltRef = 1 AND variance = 1,variance AND AutoAltRef,0,1.0,1.0,1.0,12,1.4046273231506348
3,6524016.9366666665,18000,variableBitrate = 1 AND lossless = 1 AND FrameBoost = 1,variableBitrate AND FrameBoost AND lossless,0,1.0,1.0,1.0,12,1.3315308094024658
4,4320890.066962963,13500,good = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,bitRate <= 1050.0 AND AutoAltRef AND lagInFrames <= 4.0 AND NOT realtime AND FrameBoost AND lossless,0,0.3333333333333333,1.0,0.2,12,1.3581125736236572
1,6399227.251180556,43200,Threads = 6,Threads <= 7.0 AND Threads > 5.0,0,1.0,1.0,1.0,13,1.4472553730010986
2,6696642.867444444,27000,cyclicRefresh = 1 AND lossless = 1,cyclicRefresh AND lossless,0,1.0,1.0,1.0,13,1.3927209377288818
3,8043726.501851852,13500,realtime = 1 AND AutoAltRef = 1 AND cyclicRefresh = 1,cyclicRefresh AND AutoAltRef AND realtime,0,1.0,1.0,1.0,13,1.319319248199463
4,7265393.374962963,13500,realtime = 1 AND AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,AutoAltRef AND NOT good AND lossless AND FrameBoost,0,1.0,1.0,1.0,13,1.3219194412231443
