n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,599.8498083947104,288,no_cabac = 1 AND no_mbtree = 1,no_cabac AND no_mbtree,0,1.0,1.0,1.0,0,0.0501322746276855
3,703.4068310452537,144,no_cabac = 1 AND no_deblock = 1 AND no_weightb = 1,no_cabac AND no_deblock AND no_weightb,0,1.0,1.0,1.0,0,0.0490071773529052
4,476.0814712608604,72,no_8x8dct = 1 AND no_cabac = 1 AND no_fast_pskip = 1 AND no_mbtree = 1,no_cabac AND no_mbtree AND no_weightb AND no_8x8dct AND no_deblock AND no_fast_pskip,0,0.4,1.0,0.25,0,0.0482683181762695
2,625.3763305131895,192,no_mixed_refs = 1 AND rc_lookahead = 20,rc_lookahead <= 30.0 AND no_mixed_refs,0,1.0,1.0,1.0,1,0.0498137474060058
3,341.46892290006406,144,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_deblock AND no_mbtree AND no_cabac,0,1.0,1.0,1.0,1,0.0476834774017334
4,490.9676505256217,72,no_8x8dct = 1 AND no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_mixed_refs,0,0.1111111111111111,0.0625,0.5,1,0.0473954677581787
2,691.9514572191806,128,rc_lookahead = 20 AND ref = 9,ref > 7.0 AND rc_lookahead <= 30.0,0,1.0,1.0,1.0,10,0.0506436824798584
3,588.7180959715383,96,no_mbtree = 1 AND no_mixed_refs = 1 AND ref = 1,ref <= 3.0 AND no_mbtree AND no_mixed_refs,0,1.0,1.0,1.0,10,0.0486121177673339
4,573.2735660265138,72,no_8x8dct = 1 AND no_deblock = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_mbtree AND no_mixed_refs AND no_8x8dct AND no_deblock,0,1.0,1.0,1.0,10,0.0478966236114501
2,352.2325357988523,288,no_8x8dct = 1 AND no_fast_pskip = 1,no_8x8dct AND no_fast_pskip,0,1.0,1.0,1.0,11,0.0501127243041992
3,405.06765384167664,96,no_mixed_refs = 1 AND no_weightb = 1 AND ref = 5,rc_lookahead <= 50.0 AND no_cabac AND no_mbtree AND ref > 3.0 AND ref <= 7.0 AND no_mixed_refs AND no_fast_pskip AND no_weightb,2,0.1538461538461538,1.0,0.0833333333333333,11,0.0485262870788574
4,770.1745975740434,72,no_8x8dct = 1 AND no_cabac = 1 AND no_fast_pskip = 1 AND no_weightb = 1,no_8x8dct AND no_cabac AND no_fast_pskip AND no_weightb,0,1.0,1.0,1.0,11,0.0482330322265625
2,740.8677137373041,192,no_mbtree = 1 AND rc_lookahead = 20,rc_lookahead <= 30.0 AND no_mbtree,0,1.0,1.0,1.0,12,0.0552263259887695
3,552.5846358788672,144,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_cabac AND no_mixed_refs AND no_deblock,0,1.0,1.0,1.0,12,0.0531427860260009
4,360.6760692156161,72,no_8x8dct = 1 AND no_deblock = 1 AND no_mbtree = 1 AND no_weightb = 1,no_weightb AND no_8x8dct AND no_deblock AND no_mbtree,0,1.0,1.0,1.0,12,0.0529634952545166
2,388.23305089594334,288,no_deblock = 1 AND no_mbtree = 1,no_deblock AND no_mbtree,0,1.0,1.0,1.0,13,0.0501866340637207
3,424.3809757318463,96,no_fast_pskip = 1 AND no_mixed_refs = 1 AND rc_lookahead = 20,ref <= 7.0 AND NOT no_8x8dct AND no_mixed_refs AND no_fast_pskip AND rc_lookahead <= 50.0 AND rc_lookahead <= 30.0,0,0.5,1.0,0.3333333333333333,13,0.0483593940734863
4,560.877647085372,72,no_8x8dct = 1 AND no_cabac = 1 AND no_deblock = 1 AND no_weightb = 1,no_fast_pskip AND no_deblock AND no_weightb AND ref > 3.0 AND no_cabac AND rc_lookahead <= 50.0 AND no_8x8dct,2,0.3636363636363636,1.0,0.2222222222222222,13,0.0475828647613525
2,611.7691573193651,288,no_cabac = 1 AND no_weightb = 1,no_cabac AND no_weightb,0,1.0,1.0,1.0,14,0.0563650131225585
3,423.4368556926783,144,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,NOT no_8x8dct AND no_deblock AND no_mbtree AND NOT no_mixed_refs AND no_cabac,0,0.4,1.0,0.25,14,0.0536980628967285
4,393.1587912076627,72,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1 AND no_weightb = 1,rc_lookahead > 30.0,0,0.1142857142857142,0.0625,0.6666666666666666,14,0.0534713268280029
2,407.1599578847967,288,no_mbtree = 1 AND no_weightb = 1,no_mbtree AND no_weightb,0,1.0,1.0,1.0,15,0.0522563457489013
3,347.4512979258946,96,no_8x8dct = 1 AND no_cabac = 1 AND ref = 5,ref > 3.0 AND ref <= 7.0 AND no_cabac AND no_8x8dct,0,1.0,1.0,1.0,15,0.0505857467651367
4,604.9129239814129,72,no_cabac = 1 AND no_deblock = 1 AND no_fast_pskip = 1 AND no_mbtree = 1,no_deblock AND no_cabac AND no_fast_pskip AND no_mbtree,0,1.0,1.0,1.0,15,0.0500404834747314
2,588.9921830265095,128,rc_lookahead = 60 AND ref = 9,ref > 7.0 AND rc_lookahead > 50.0,0,1.0,1.0,1.0,16,0.0512349605560302
3,755.7640459454714,96,no_cabac = 1 AND no_deblock = 1 AND rc_lookahead = 60,no_deblock AND rc_lookahead > 50.0 AND no_cabac,0,1.0,1.0,1.0,16,0.0487828254699707
4,652.3796885419691,72,no_8x8dct = 1 AND no_cabac = 1 AND no_mbtree = 1 AND no_weightb = 1,NOT no_deblock AND no_8x8dct AND no_mbtree AND no_weightb AND no_cabac,1,0.6666666666666666,1.0,0.5,16,0.0483906269073486
2,524.8227996797775,288,no_fast_pskip = 1 AND no_mixed_refs = 1,no_fast_pskip AND no_mixed_refs,0,1.0,1.0,1.0,17,0.0494561195373535
3,339.5081702782728,96,no_8x8dct = 1 AND no_weightb = 1 AND ref = 9,no_8x8dct AND ref > 7.0 AND no_weightb,0,1.0,1.0,1.0,17,0.0483863353729248
4,776.1322220616105,72,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1 AND no_weightb = 1,no_cabac AND no_weightb AND no_mbtree AND no_deblock,0,1.0,1.0,1.0,17,0.047372817993164
2,580.1324121064875,192,no_weightb = 1 AND rc_lookahead = 40,no_weightb AND rc_lookahead > 30.0 AND rc_lookahead <= 50.0,0,1.0,1.0,1.0,18,0.0508551597595214
3,320.7024905879857,144,no_cabac = 1 AND no_mixed_refs = 1 AND no_weightb = 1,no_cabac AND no_weightb AND no_mixed_refs,0,1.0,1.0,1.0,18,0.048262596130371
4,458.0800534290902,72,no_cabac = 1 AND no_deblock = 1 AND no_fast_pskip = 1 AND no_mbtree = 1,no_cabac,1,0.2222222222222222,0.125,1.0,18,0.048325777053833
2,446.3685751615165,192,no_fast_pskip = 1 AND rc_lookahead = 60,ref > 3.0 AND rc_lookahead > 30.0 AND no_fast_pskip AND no_weightb AND rc_lookahead > 50.0,0,0.5,1.0,0.3333333333333333,19,0.0508394241333007
3,691.0025315669559,96,no_deblock = 1 AND no_weightb = 1 AND rc_lookahead = 40,no_deblock AND no_weightb AND rc_lookahead <= 50.0 AND rc_lookahead > 30.0,0,1.0,1.0,1.0,19,0.0492942333221435
4,499.299170653034,72,no_cabac = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1 AND no_weightb = 1,no_cabac,3,0.2222222222222222,0.125,1.0,19,0.0477662086486816
2,781.8981324452178,128,rc_lookahead = 60 AND ref = 1,rc_lookahead > 50.0 AND ref <= 3.0,0,1.0,1.0,1.0,2,0.0533263683319091
3,365.3925022551064,96,no_cabac = 1 AND no_weightb = 1 AND ref = 1,no_weightb AND ref <= 3.0 AND no_cabac,0,1.0,1.0,1.0,2,0.0509254932403564
4,523.5632875024812,72,no_8x8dct = 1 AND no_deblock = 1 AND no_fast_pskip = 1 AND no_weightb = 1,no_8x8dct AND NOT no_mbtree AND rc_lookahead <= 50.0 AND no_fast_pskip AND no_weightb AND no_deblock,0,0.5,1.0,0.3333333333333333,2,0.0507593154907226
2,450.7824550010971,288,no_8x8dct = 1 AND no_mixed_refs = 1,ref > 3.0 AND no_cabac AND no_mixed_refs AND no_deblock AND no_8x8dct,0,0.2857142857142857,1.0,0.1666666666666666,20,0.0497651100158691
3,308.2079196750285,96,no_8x8dct = 1 AND no_mixed_refs = 1 AND ref = 1,ref <= 3.0 AND no_8x8dct AND no_mixed_refs,0,1.0,1.0,1.0,20,0.0476870536804199
4,427.5487325407678,72,no_cabac = 1 AND no_mbtree = 1 AND no_mixed_refs = 1 AND no_weightb = 1,no_8x8dct AND no_weightb AND no_cabac AND no_fast_pskip AND no_mbtree AND ref > 3.0 AND no_mixed_refs,1,0.2857142857142857,1.0,0.1666666666666666,20,0.0471014976501464
2,781.2103268697982,288,no_mbtree = 1 AND no_weightb = 1,no_weightb AND no_mbtree,0,1.0,1.0,1.0,21,0.0500013828277587
3,714.4259433608655,96,no_8x8dct = 1 AND no_mbtree = 1 AND rc_lookahead = 20,rc_lookahead <= 30.0 AND no_mbtree AND no_8x8dct,0,1.0,1.0,1.0,21,0.0482678413391113
4,461.35909957625455,72,no_cabac = 1 AND no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,ref <= 3.0 AND no_fast_pskip AND no_cabac AND no_mbtree AND NOT no_8x8dct AND no_mixed_refs,2,0.2857142857142857,1.0,0.1666666666666666,21,0.0485174655914306
2,670.8654034387779,192,no_mixed_refs = 1 AND ref = 9,ref > 7.0 AND no_mixed_refs,0,1.0,1.0,1.0,22,0.0508162975311279
3,702.1887315319897,96,no_8x8dct = 1 AND no_weightb = 1 AND ref = 9,ref > 7.0 AND no_weightb AND no_8x8dct,0,1.0,1.0,1.0,22,0.0485098361968994
4,529.664145384372,72,no_8x8dct = 1 AND no_mbtree = 1 AND no_mixed_refs = 1 AND no_weightb = 1,no_fast_pskip AND no_mixed_refs AND no_mbtree AND ref <= 7.0 AND no_weightb AND no_8x8dct,0,0.5,1.0,0.3333333333333333,22,0.0483324527740478
2,647.9609036445124,288,no_fast_pskip = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_fast_pskip,0,1.0,1.0,1.0,23,0.0517845153808593
3,521.4621514327474,144,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mbtree = 1,NOT no_deblock AND ref > 7.0 AND no_8x8dct AND no_fast_pskip AND no_mbtree,0,0.2857142857142857,1.0,0.1666666666666666,23,0.0504376888275146
4,569.7879290719915,72,no_8x8dct = 1 AND no_mbtree = 1 AND no_mixed_refs = 1 AND no_weightb = 1,no_mbtree AND ref > 3.0 AND no_mixed_refs AND no_8x8dct AND no_weightb,0,0.8,1.0,0.6666666666666666,23,0.0500812530517578
2,716.0629575295957,288,no_mixed_refs = 1 AND no_weightb = 1,no_mixed_refs AND no_weightb,0,1.0,1.0,1.0,24,0.052950382232666
