n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,11.70399145117719,480,dpi = 400.0,resolution <= 5184000.0 AND dpi > 300.0,0,0.8,1.0,0.6666666666666666,0,0.0590753555297851
2,9.380655722195566,240,anyScriptOrigin = 1 AND indexed = 4.0,indexed <= 6.0 AND indexed > 3.0 AND anyScriptOrigin,0,1.0,1.0,1.0,0,0.0547499656677246
3,12.412627310528189,96,tiff = 1 AND dpi = 50.0 AND quality = 0.1,dpi <= 300.0 AND indexed <= 3.0 AND indexed <= 1.5 AND dpi <= 75.0 AND resolution <= 5184000.0 AND tiff,1,0.2857142857142857,1.0,0.1666666666666666,0,0.056351900100708
4,12.750584070579706,96,anyScriptOrigin = 1 AND onload = 1 AND quality = 0.1 AND indexed = 8.0,indexed > 6.0 AND anyScriptOrigin AND resolution <= 5184000.0 AND dpi <= 300.0 AND onload AND dpi <= 150.0 AND NOT quality,0,0.5,1.0,0.3333333333333333,0,0.0559115409851074
1,12.34646324690353,480,indexed = 1.0,png AND indexed <= 1.5,0,0.3333333333333333,1.0,0.2,1,0.0567803382873535
2,19.258218869028724,160,dpi = 50.0 AND resolution = 8294400.0,dpi <= 75.0 AND resolution > 5184000.0,0,1.0,1.0,1.0,1,0.055342674255371
3,12.34340376272361,128,jpg = 1 AND resolution = 8294400.0 AND quality = 0.9,NOT pdf AND indexed <= 6.0 AND dpi > 75.0 AND dpi <= 300.0 AND quality AND dpi <= 150.0 AND anyScriptOrigin AND resolution > 5184000.0,1,0.1714285714285714,1.0,0.09375,1,0.0550739765167236
4,9.419453621966207,96,anyScriptOrigin = 1 AND validate = 1 AND dpi = 400.0 AND quality = 0.1,anyScriptOrigin AND dpi > 300.0 AND validate AND NOT quality,0,1.0,1.0,1.0,1,0.0546057224273681
1,13.241677313199212,480,dpi = 50.0,dpi <= 75.0,0,1.0,1.0,1.0,10,0.0567569732666015
2,9.42989986518728,160,dpi = 50.0 AND resolution = 307200.0,dpi <= 75.0 AND resolution <= 1190400.0,0,1.0,1.0,1.0,10,0.0539472103118896
