n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,38.90954221401543,830,win = 1,win,0,1.0,1.0,1.0,0,0.0829958915710449
2,28.639775700005067,1044,androidIncludeLdpiTvdpi = 1 AND threads = 90,androidIncludeLdpiTvdpi AND threads > 50.0,0,1.0,1.0,1.0,0,0.0870132446289062
3,25.382404637128,528,android = 1 AND floor = 1 AND threads = 10,floor AND threads <= 50.0 AND android,0,1.0,1.0,1.0,0,0.1442368030548095
4,20.25078119844409,471,scaleIsHeightDp = 1 AND antiAliasing = 1 AND skipUpscaling = 1 AND threads = 90,threads > 50.0 AND skipUpscaling AND antiAliasing AND scaleIsHeightDp,0,1.0,1.0,1.0,0,0.0893099308013916
1,31.62018187964905,830,win = 1,win,0,1.0,1.0,1.0,1,0.0854082107543945
2,55.41701158705251,757,androidMipmapInsteadOfDrawable = 1 AND threads = 10,androidMipmapInsteadOfDrawable AND threads <= 50.0,0,1.0,1.0,1.0,1,0.0885276794433593
3,45.31787923119015,509,scaleIsHeightDp = 1 AND floor = 1 AND threads = 10,floor AND threads <= 50.0 AND scaleIsHeightDp,0,1.0,1.0,1.0,1,0.1430585384368896
4,23.525330779773725,409,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND antiAliasing = 1 AND threads = 10,androidMipmapInsteadOfDrawable AND threads <= 50.0 AND antiAliasing,0,1.0,1.0,1.0,1,0.0902125835418701
1,45.70279557098409,752,web = 1,web,0,1.0,1.0,1.0,10,0.0807366371154785
2,55.51697761760106,1802,android = 1 AND androidMipmapInsteadOfDrawable = 1,androidMipmapInsteadOfDrawable,0,1.0,1.0,1.0,10,0.0839934349060058
3,40.8647215908794,699,android = 1 AND ceil = 1 AND threads = 90,ceil AND threads > 50.0 AND android,0,1.0,1.0,1.0,10,0.1419169902801513
4,33.82799384778639,373,scaleIsHeightDp = 1 AND antiAliasing = 1 AND skipUpscaling = 1 AND threads = 10,NOT gif AND NOT iosCreateImagesetFolders AND antiAliasing AND skipUpscaling AND threads <= 50.0 AND scaleIsHeightDp,0,0.8781954887218044,1.0,0.7828418230563002,10,0.0860905647277832
1,52.79812480434995,1802,androidMipmapInsteadOfDrawable = 1,androidMipmapInsteadOfDrawable,0,1.0,1.0,1.0,11,0.0870430469512939
2,19.224640204414037,933,scaleIsHeightDp = 1 AND androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi AND scaleIsHeightDp,0,1.0,1.0,1.0,11,0.0853445529937744
3,30.546035909394185,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,android AND skipUpscaling AND antiAliasing,0,1.0,1.0,1.0,11,0.1433594226837158
4,24.80985879634644,346,android = 1 AND scaleIsHeightDp = 1 AND jpeg = 1 AND threads = 90,jpeg AND android AND scaleIsHeightDp AND threads > 50.0,0,1.0,1.0,1.0,11,0.0898981094360351
1,31.65131490735092,1777,androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi,0,1.0,1.0,1.0,12,0.0845851898193359
2,38.61324014673342,649,ios = 1 AND threads = 10,ios AND threads <= 50.0,0,1.0,1.0,1.0,12,0.0816066265106201
3,23.599192112471208,485,scaleIsHeightDp = 1 AND skipUpscaling = 1 AND androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi AND skipUpscaling AND scaleIsHeightDp,0,1.0,1.0,1.0,12,0.1406173706054687
4,23.22207609688833,394,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND scaleIsHeightDp = 1 AND threads = 10,androidMipmapInsteadOfDrawable AND threads <= 50.0 AND scaleIsHeightDp,0,1.0,1.0,1.0,12,0.0876107215881347
1,37.32276499708502,1079,bmp = 1,bmp,0,1.0,1.0,1.0,13,0.0846891403198242
2,57.38815747240927,622,floor = 1 AND androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi AND floor,0,1.0,1.0,1.0,13,0.0848410129547119
3,34.47792539806531,615,android = 1 AND scaleIsHeightDp = 1 AND floor = 1,androidIncludeLdpiTvdpi AND NOT round AND NOT gif AND scaleIsHeightDp AND NOT androidMipmapInsteadOfDrawable AND NOT ceil,0,0.340080971659919,1.0,0.2048780487804878,13,0.1424107551574707
4,29.83157802682364,482,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND scaleIsHeightDp = 1 AND antiAliasing = 1,androidMipmapInsteadOfDrawable AND antiAliasing AND scaleIsHeightDp,0,1.0,1.0,1.0,13,0.0898365974426269
1,24.11258045522668,1802,androidMipmapInsteadOfDrawable = 1,androidMipmapInsteadOfDrawable,0,1.0,1.0,1.0,14,0.0875241756439209
2,31.66527159954755,355,bmp = 1 AND ceil = 1,bmp AND ceil,0,1.0,1.0,1.0,14,0.0866875648498535
3,29.14511776678896,371,jpeg = 1 AND antiAliasing = 1 AND ceil = 1,NOT bmp AND antiAliasing AND jpeg AND ceil,0,1.0,1.0,1.0,14,0.1455795764923095
4,42.44873923461982,491,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND antiAliasing = 1 AND skipUpscaling = 1,androidMipmapInsteadOfDrawable AND skipUpscaling AND antiAliasing,0,1.0,1.0,1.0,14,0.0846266746520996
1,26.444063686714745,1777,androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi,0,1.0,1.0,1.0,15,0.0839369297027587
2,51.2462793221972,402,floor = 1 AND png = 1,png AND floor,0,1.0,1.0,1.0,15,0.0779962539672851
3,44.29841644866552,345,androidMipmapInsteadOfDrawable = 1 AND scaleIsHeightDp = 1 AND jpeg = 1,androidMipmapInsteadOfDrawable AND jpeg AND scaleIsHeightDp,0,1.0,1.0,1.0,15,0.1427910327911377
4,28.303777009914803,392,android = 1 AND scaleIsHeightDp = 1 AND androidIncludeLdpiTvdpi = 1 AND threads = 10,androidIncludeLdpiTvdpi AND threads <= 50.0 AND scaleIsHeightDp,0,1.0,1.0,1.0,15,0.0869557857513427
1,28.39849225893411,752,web = 1,web,0,1.0,1.0,1.0,16,0.0814709663391113
2,57.20823782289459,571,androidMipmapInsteadOfDrawable = 1 AND ceil = 1,androidMipmapInsteadOfDrawable AND ceil,0,1.0,1.0,1.0,16,0.0869216918945312
3,42.571192387618,504,android = 1 AND round = 1 AND threads = 10,round AND threads <= 50.0 AND android,0,1.0,1.0,1.0,16,0.1448299884796142
4,56.34996320857972,400,android = 1 AND antiAliasing = 1 AND androidIncludeLdpiTvdpi = 1 AND threads = 10,androidIncludeLdpiTvdpi AND threads <= 50.0 AND antiAliasing,0,1.0,1.0,1.0,16,0.0858881473541259
1,52.62906275278339,1777,androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi,0,1.0,1.0,1.0,17,0.0878069400787353
2,18.19412349829544,649,ios = 1 AND threads = 10,ios AND threads <= 50.0,0,1.0,1.0,1.0,17,0.087918996810913
3,31.470918440608266,665,jpeg = 1 AND antiAliasing = 1 AND threads = 90,jpeg AND antiAliasing AND threads > 50.0,0,1.0,1.0,1.0,17,0.1424436569213867
4,34.704724141680856,339,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND jpeg = 1 AND skipUpscaling = 1,androidMipmapInsteadOfDrawable AND androidIncludeLdpiTvdpi AND skipUpscaling AND antiAliasing AND NOT gif AND threads > 50.0 AND jpeg,1,0.2435233160621761,1.0,0.1386430678466076,17,0.0868124961853027
1,37.24500282112919,1648,ios = 1,NOT win AND NOT jpeg AND NOT png AND ios,0,0.6546938775510205,1.0,0.4866504854368932,18,0.0833663940429687
2,32.04807356420263,1029,skipUpscaling = 1 AND round = 1,round AND skipUpscaling,0,1.0,1.0,1.0,18,0.0878193378448486
3,40.69500929259919,631,scaleIsHeightDp = 1 AND jpeg = 1 AND antiAliasing = 1,scaleIsHeightDp AND jpeg AND antiAliasing,0,1.0,1.0,1.0,18,0.1416919231414795
4,24.806608236539024,508,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1 AND threads = 90,antiAliasing AND skipUpscaling AND android AND threads > 50.0,0,1.0,1.0,1.0,18,0.0907907485961914
1,21.923606017124165,752,web = 1,web,0,1.0,1.0,1.0,19,0.0794622898101806
2,48.20282846913321,1281,skipUpscaling = 1 AND threads = 10,threads <= 50.0 AND skipUpscaling,0,1.0,1.0,1.0,19,0.0841481685638427
3,22.37223596255368,373,scaleIsHeightDp = 1 AND jpeg = 1 AND ceil = 1,ceil AND jpeg AND scaleIsHeightDp,0,1.0,1.0,1.0,19,0.1431198120117187
4,22.5446847852809,493,android = 1 AND scaleIsHeightDp = 1 AND antiAliasing = 1 AND androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi AND antiAliasing AND scaleIsHeightDp,0,1.0,1.0,1.0,19,0.0889742374420166
1,37.36792578581424,1648,ios = 1,ios,0,1.0,1.0,1.0,2,0.0860764980316162
2,43.382573087170215,378,bmp = 1 AND floor = 1,bmp AND floor,0,1.0,1.0,1.0,2,0.0830802917480468
3,39.472996119828366,922,antiAliasing = 1 AND skipUpscaling = 1 AND threads = 90,antiAliasing AND skipUpscaling AND threads > 50.0,0,1.0,1.0,1.0,2,0.1389946937561035
4,21.330403111898505,354,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND jpeg = 1 AND threads = 90,androidMipmapInsteadOfDrawable AND jpeg AND threads > 50.0,0,1.0,1.0,1.0,2,0.0854701995849609
1,30.625146307687366,1079,bmp = 1,bmp,0,1.0,1.0,1.0,20,0.0784876346588134
2,22.57880269320116,1302,round = 1 AND threads = 90,round AND threads > 50.0,0,1.0,1.0,1.0,20,0.078057050704956
3,50.2267096703594,405,ios = 1 AND scaleIsHeightDp = 1 AND antiAliasing = 1,ios AND scaleIsHeightDp AND antiAliasing,0,1.0,1.0,1.0,20,0.1408338546752929
4,35.16565183759701,471,scaleIsHeightDp = 1 AND antiAliasing = 1 AND skipUpscaling = 1 AND threads = 90,antiAliasing,0,0.2462745098039215,0.1404293381037567,1.0,20,0.0850253105163574
1,46.89478332924693,752,web = 1,web,0,1.0,1.0,1.0,21,0.080906867980957
2,53.18049630204589,558,bmp = 1 AND android = 1,bmp AND android,0,1.0,1.0,1.0,21,0.0846672058105468
3,26.791448690176694,733,android = 1 AND androidIncludeLdpiTvdpi = 1 AND threads = 10,androidIncludeLdpiTvdpi AND threads <= 50.0,0,1.0,1.0,1.0,21,0.1438016891479492
4,23.146270090059204,526,android = 1 AND scaleIsHeightDp = 1 AND antiAliasing = 1 AND threads = 90,android AND scaleIsHeightDp AND antiAliasing AND threads > 50.0,0,1.0,1.0,1.0,21,0.0885908603668212
1,23.641002024051964,752,web = 1,web,0,1.0,1.0,1.0,22,0.0807445049285888
2,50.20271892438325,1322,ceil = 1 AND threads = 90,ceil AND threads > 50.0,0,1.0,1.0,1.0,22,0.0799074172973632
3,54.53770553607045,363,android = 1 AND png = 1 AND threads = 90,png AND android AND threads > 50.0,0,1.0,1.0,1.0,22,0.142371654510498
4,37.545702309462285,523,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND androidIncludeLdpiTvdpi = 1 AND threads = 90,androidIncludeLdpiTvdpi AND NOT ceil AND NOT scaleIsHeightDp AND androidMipmapInsteadOfDrawable AND NOT jpeg AND NOT png AND threads > 50.0,0,0.2682119205298013,1.0,0.1548757170172084,22,0.0844612121582031
1,48.99215400878057,832,iosCreateImagesetFolders = 1,iosCreateImagesetFolders,0,1.0,1.0,1.0,23,0.0846962928771972
2,33.1037117056424,1813,android = 1 AND antiAliasing = 1,android AND antiAliasing,0,1.0,1.0,1.0,23,0.0903277397155761
