n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,20.123088825368267,572,VBRRange = 1,VBRRange > 0.5 AND VBRRange <= 1.5,0,1.0,1.0,1.0,0,0.0618410110473632
2,19.90941814320604,1146,Freeformat = 1 AND SwapBytes = 1,Freeformat AND SwapBytes,0,1.0,1.0,1.0,0,0.0586042404174804
3,8.854335620949666,415,NoRes = 1 AND NoReplayGain = 1 AND CBR = 8,NoReplayGain AND NoRes AND CBR <= 84.0,0,1.0,1.0,1.0,0,0.1131708621978759
4,22.665421976916583,210,NoRes = 1 AND CRC = 1 AND ReplayGainAccurate = 1 AND CBR = 320,CBR > 240.0 AND ReplayGainAccurate AND NoRes AND CRC,0,1.0,1.0,1.0,0,0.0572197437286376
5,28.242920039964684,324,Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,JointStereo AND Freeformat AND CRC AND SwapBytes,0,1.0,1.0,1.0,0,0.0642204284667968
6,20.00068761023575,309,NoRes = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,JointStereo AND Freeformat AND NoRes AND CRC AND SwapBytes,0,1.0,1.0,1.0,0,0.0965716838836669
7,14.73455925792041,377,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND ReplayGainAccurate = 1 AND VBRRange = 0,Freeformat AND ReplayGainAccurate AND NoRes AND CRC AND SwapBytes AND Downmix,0,1.0,1.0,1.0,0,0.087285041809082
1,17.77423517861404,1061,Resampling = 8,Resampling <= 15.0,0,1.0,1.0,1.0,1,0.0602893829345703
2,16.252297438665767,259,ReplayGainFast = 1 AND Stereo = 1,Stereo AND ReplayGainFast,0,1.0,1.0,1.0,1,0.059281587600708
3,27.09654204990978,304,NoRes = 1 AND MidSideStereo = 1 AND Freeformat = 1,MidSideStereo AND Freeformat AND NoRes,0,1.0,1.0,1.0,1,0.1106925010681152
4,22.664427945771195,589,NoRes = 1 AND Downmix = 1 AND CRC = 1 AND ReplayGainAccurate = 1,ReplayGainAccurate AND Downmix AND NoRes AND CRC,0,1.0,1.0,1.0,1,0.0592036247253418
5,22.364168729769105,321,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND Resampling = 22 AND VBRRange = 0,Freeformat AND Resampling <= 33.0 AND Resampling > 15.0 AND NoRes AND Downmix,0,1.0,1.0,1.0,1,0.0616176128387451
6,4.913450478184746,305,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND VBRRange = 0,NOT ReplayGainFast AND Freeformat,3,0.3504340962904499,0.2307692307692307,0.7278688524590164,1,0.1111457347869873
7,4.96715817476241,337,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND Resampling = 8 AND VBRRange = 0,NOT ReplayGainAccurate,0,0.1619546247818499,0.0917721518987341,0.6884272997032641,1,0.0887095928192138
1,25.371613112462164,1162,NoReplayGain = 1,NoReplayGain,0,1.0,1.0,1.0,10,0.0620656013488769
2,10.442206851707748,991,ReplayGainFast = 1 AND CBR = 8,ReplayGainFast AND CBR <= 84.0,0,1.0,1.0,1.0,10,0.056974172592163
3,18.337607721975974,395,ReplayGainAccurate = 1 AND Resampling = 22 AND CBR = 8,ReplayGainAccurate AND Resampling <= 33.0 AND Resampling > 15.0 AND CBR <= 84.0,0,1.0,1.0,1.0,10,0.1203827857971191
4,3.918749895988436,575,Downmix = 1 AND CRC = 1 AND ReplayGainAccurate = 1 AND VBRRange = 0,ReplayGainAccurate AND Downmix AND VBRRange <= 0.5 AND CRC,0,1.0,1.0,1.0,10,0.0633237361907959
5,2.673229749235128,268,NoRes = 1 AND Downmix = 1 AND SwapBytes = 1 AND Resampling = 22 AND CBR = 8,CBR <= 84.0 AND Downmix AND Resampling <= 33.0 AND Resampling > 15.0 AND NoRes AND SwapBytes,0,1.0,1.0,1.0,10,0.0656180381774902
6,18.274453840789256,274,NoRes = 1 AND Downmix = 1 AND ReplayGainFast = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1,Freeformat AND ReplayGainFast AND NoRes AND CRC AND SwapBytes AND Downmix,0,1.0,1.0,1.0,10,0.1030218601226806
7,10.509818938775844,304,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND CBR = 160 AND VBRRange = 0,CBR > 84.0 AND CBR <= 240.0 AND NoRes AND SwapBytes AND Downmix AND CRC AND Freeformat,0,1.0,1.0,1.0,10,0.0901706218719482
1,11.599980658658852,999,JointStereo = 1,JointStereo,0,1.0,1.0,1.0,11,0.0598678588867187
2,22.51729181649452,442,Downmix = 1 AND Resampling = 44,Resampling > 33.0 AND Downmix AND Resampling <= 46.0,0,1.0,1.0,1.0,11,0.0622377395629882
3,10.542938319718749,220,Downmix = 1 AND JointStereo = 1 AND CBR = 8,JointStereo AND CBR <= 84.0 AND Downmix,0,1.0,1.0,1.0,11,0.1125941276550293
4,5.299833954906766,348,NoRes = 1 AND Freeformat = 1 AND CRC = 1 AND CBR = 160,NOT Stereo AND ReplayGainAccurate,4,0.1665682220909627,0.1048327137546468,0.4051724137931034,11,0.0599896907806396
5,13.112215170862097,312,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CBR = 8 AND VBRRange = 0,Freeformat AND CBR <= 84.0 AND NoRes AND Downmix,0,1.0,1.0,1.0,11,0.0570049285888671
