n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,190.53837367694072,356,TPAQ = 1,TPAQ,0,1.0,1.0,1.0,0,0.0595870018005371
2,87.7141644599217,670,SRT = 1 AND BWT = 1,BWT AND SRT,0,1.0,1.0,1.0,0,0.0620942115783691
3,211.0572749402375,299,RANK = 1 AND TEXT = 1 AND skip = 1,RANK AND TEXT AND skip,0,1.0,1.0,1.0,0,0.1158990859985351
4,207.77331076179848,209,TEXT = 1 AND BWTS = 1 AND RLT = 1 AND BWT = 1,TEXT AND BWT AND BWTS AND RLT,0,1.0,1.0,1.0,0,0.0722520351409912
5,65.67427484864896,257,LZP = 1 AND skip = 1 AND X86 = 1 AND checksum = 1 AND RLT = 1,LZP AND RLT AND X86 AND skip AND checksum,0,1.0,1.0,1.0,0,0.0684535503387451
6,143.75714536422603,232,LZP = 1 AND checksum = 1 AND RLT = 1 AND Huffman = 1 AND jobs = 8 AND blocksize = 1000000,Huffman AND RLT AND jobs > 6.0 AND LZP AND blocksize > 500500.0 AND blocksize <= 500500000.0,0,1.0,1.0,1.0,0,0.0619847774505615
1,24.18981942286043,570,ANS1 = 1,NOT ZRLT AND NOT Range,1,0.2911051212938005,0.1801501251042535,0.7578947368421053,1,0.0656630992889404
2,103.24186618389204,655,jobs = 8 AND blocksize = 1000000,jobs > 6.0 AND blocksize <= 500500000.0 AND blocksize > 500500.0,0,1.0,1.0,1.0,1,0.0654182434082031
3,12.915725248841673,223,LZ = 1 AND checksum = 1 AND Huffman = 1,Huffman AND LZ AND BWTS,2,0.9051724137931036,0.8713692946058091,0.9417040358744396,1,0.1211824417114257
4,19.23711439739052,228,RLT = 1 AND BWT = 1 AND ROLZ = 1 AND blocksize = 1000000,NOT BWTS AND BWT,4,0.2851674641148325,0.1823745410036719,0.6535087719298246,1,0.0727112293243408
5,197.7753487050386,298,BWTS = 1 AND LZ = 1 AND SRT = 1 AND checksum = 1 AND RLT = 1,SRT AND checksum AND LZ AND RLT AND BWTS,0,1.0,1.0,1.0,1,0.067352294921875
6,104.8037392133512,242,LZP = 1 AND BWTS = 1 AND checksum = 1 AND RLT = 1 AND Huffman = 1 AND jobs = 8,Huffman AND RLT AND jobs > 6.0 AND LZP AND BWTS,0,1.0,1.0,1.0,1,0.0637409687042236
1,90.15158494693716,356,TPAQ = 1,TPAQ,0,1.0,1.0,1.0,10,0.0648179054260253
2,79.12671289230916,959,skip = 1 AND X86 = 1,skip AND X86,0,1.0,1.0,1.0,10,0.0604834556579589
3,14.73563035854289,438,LZP = 1 AND SRT = 1 AND X86 = 1,LZP AND SRT AND X86,0,1.0,1.0,1.0,10,0.1207752227783203
4,138.53902502556798,266,RANK = 1 AND BWT = 1 AND jobs = 1 AND blocksize = 1000000,RANK AND jobs <= 2.5 AND blocksize <= 500500000.0 AND blocksize > 500500.0 AND BWT,0,1.0,1.0,1.0,10,0.065859317779541
5,220.74259850144028,225,RANK = 1 AND skip = 1 AND MTFT = 1 AND checksum = 1 AND ROLZ = 1,RANK AND ROLZ AND MTFT AND skip AND checksum,0,1.0,1.0,1.0,10,0.0629596710205078
6,207.96295470227628,242,LZP = 1 AND BWTS = 1 AND checksum = 1 AND RLT = 1 AND Huffman = 1 AND jobs = 8,Huffman AND RLT AND jobs > 6.0 AND LZP AND BWTS,0,1.0,1.0,1.0,10,0.0574009418487548
1,44.7130197767914,662,TPAQX = 1,TPAQX,0,1.0,1.0,1.0,11,0.0667915344238281
2,128.2029588778329,212,BWTS = 1 AND Range = 1,Range AND BWTS,0,1.0,1.0,1.0,11,0.070608377456665
3,65.97749725452903,390,LZP = 1 AND RLT = 1 AND jobs = 8,LZP AND RLT AND jobs > 6.0,0,1.0,1.0,1.0,11,0.1200692653656005
4,18.43800106024141,241,ROLZX = 1 AND skip = 1 AND MTFT = 1 AND X86 = 1,LZ,2,0.1519845111326234,0.0860273972602739,0.6514522821576764,11,0.0679636001586914
5,39.0308189975139,207,LZP = 1 AND LZ = 1 AND checksum = 1 AND RLT = 1 AND blocksize = 1000000,LZP AND NOT TPAQX,4,0.2851093860268172,0.1669421487603306,0.9758454106280192,11,0.0678691864013671
6,23.414023477416105,240,LZP = 1 AND BWTS = 1 AND checksum = 1 AND Huffman = 1 AND jobs = 8 AND blocksize = 1000000,blocksize <= 500500000.0 AND MTFT AND NOT ROLZX AND jobs > 2.5 AND ZRLT AND NOT ANS0 AND Huffman,2,0.2463768115942029,0.9444444444444444,0.1416666666666666,11,0.0695366859436035
1,151.03413547651624,662,TPAQX = 1,TPAQX,0,1.0,1.0,1.0,12,0.0632226467132568
2,74.85714926267208,393,Huffman = 1 AND jobs = 8,Huffman AND jobs > 6.0,0,1.0,1.0,1.0,12,0.0610978603363037
3,194.36030700819967,527,LZP = 1 AND BWTS = 1 AND X86 = 1,LZP AND X86 AND BWTS,0,1.0,1.0,1.0,12,0.1182658672332763
4,53.464740887632594,269,skip = 1 AND SRT = 1 AND checksum = 1 AND jobs = 8,skip AND jobs > 6.0 AND SRT AND checksum,0,1.0,1.0,1.0,12,0.0649971961975097
5,197.41376708688952,239,BWTS = 1 AND SRT = 1 AND checksum = 1 AND RLT = 1 AND blocksize = 1000000,SRT AND Huffman AND RLT AND blocksize <= 500500000.0 AND blocksize > 500500.0 AND checksum AND BWTS,0,0.7219251336898396,1.0,0.5648535564853556,12,0.064002513885498
6,46.04843595185367,211,LZP = 1 AND skip = 1 AND BWTS = 1 AND LZ = 1 AND checksum = 1 AND RLT = 1,BWTS AND skip AND LZ AND RLT AND LZP AND checksum,0,1.0,1.0,1.0,12,0.0657551288604736
1,95.66970252174951,570,ANS1 = 1,ANS1,0,1.0,1.0,1.0,13,0.0639188289642334
2,83.42594738969869,285,SRT = 1 AND Range = 1,Range AND SRT,0,1.0,1.0,1.0,13,0.0670955181121826
3,167.65501877768125,265,ROLZX = 1 AND skip = 1 AND blocksize = 1000000,ROLZX AND skip AND blocksize <= 500500000.0 AND blocksize > 500500.0,0,1.0,1.0,1.0,13,0.1212284564971923
4,115.89937795792544,213,RANK = 1 AND skip = 1 AND BWT = 1 AND blocksize = 1000000,RANK AND BWT AND blocksize <= 500500000.0 AND blocksize > 500500.0 AND skip,0,1.0,1.0,1.0,13,0.0670809745788574
5,137.53250464553443,217,LZP = 1 AND skip = 1 AND checksum = 1 AND RLT = 1 AND blocksize = 1000000,LZP AND RLT AND skip AND blocksize <= 500500000.0 AND blocksize > 500500.0 AND checksum,0,1.0,1.0,1.0,13,0.0685181617736816
6,146.3788538754429,266,LZP = 1 AND BWTS = 1 AND checksum = 1 AND RLT = 1 AND jobs = 8 AND blocksize = 1000000,Huffman AND RLT AND LZP AND jobs > 6.0 AND blocksize <= 500500000.0 AND blocksize > 500500.0 AND BWTS,0,0.9295774647887324,1.0,0.868421052631579,13,0.0614645481109619
1,161.90013801596896,1167,RANK = 1,RANK,0,1.0,1.0,1.0,14,0.0641007423400878
2,100.05209354406198,540,TEXT = 1 AND MTFT = 1,MTFT AND TEXT,0,1.0,1.0,1.0,14,0.0669922828674316
3,13.024386031029223,351,skip = 1 AND X86 = 1 AND jobs = 8,jobs > 6.0 AND skip AND X86,0,1.0,1.0,1.0,14,0.1200547218322753
4,207.02158178464637,353,BWTS = 1 AND SRT = 1 AND X86 = 1 AND RLT = 1,RLT AND SRT AND X86 AND BWTS,0,1.0,1.0,1.0,14,0.0699744224548339
5,183.6451572742792,251,BWTS = 1 AND X86 = 1 AND checksum = 1 AND RLT = 1 AND jobs = 8,jobs > 6.0 AND RLT AND X86 AND BWTS AND checksum,0,1.0,1.0,1.0,14,0.0686349868774414
6,32.53436242740478,240,LZP = 1 AND BWTS = 1 AND checksum = 1 AND Huffman = 1 AND jobs = 8 AND blocksize = 1000000,NOT CM AND LZP AND Huffman AND jobs > 6.0 AND BWTS AND blocksize > 500500.0 AND NOT RANK AND blocksize <= 500500000.0,0,0.9979123173277662,1.0,0.9958333333333332,14,0.0650599002838134
1,52.19430917826494,365,CM = 1,CM,0,1.0,1.0,1.0,15,0.0627772808074951
2,82.34049271713718,343,LZP = 1 AND Huffman = 1,Huffman AND LZP,0,1.0,1.0,1.0,15,0.0612244606018066
3,141.41502953201143,325,LZ = 1 AND ROLZ = 1 AND blocksize = 1000000,ROLZ AND LZ AND blocksize <= 500500000.0 AND blocksize > 500500.0,0,1.0,1.0,1.0,15,0.1198244094848632
4,152.07709440645962,219,BWTS = 1 AND LZ = 1 AND RLT = 1 AND ROLZ = 1,ROLZ AND RLT AND LZ AND BWTS,0,1.0,1.0,1.0,15,0.066840648651123
5,112.78529811690574,281,BWTS = 1 AND LZ = 1 AND X86 = 1 AND checksum = 1 AND RLT = 1,RLT AND X86 AND LZ AND BWTS AND checksum,0,1.0,1.0,1.0,15,0.0663971900939941
6,43.95213585685534,266,LZP = 1 AND BWTS = 1 AND checksum = 1 AND RLT = 1 AND jobs = 8 AND blocksize = 1000000,Huffman AND RLT AND jobs > 6.0 AND blocksize > 500500.0 AND checksum AND BWTS AND blocksize <= 500500000.0 AND NOT RANK,0,0.9126984126984128,0.9663865546218487,0.8646616541353384,15,0.0608930587768554
1,124.0091545460156,350,FPAQ = 1,FPAQ,0,1.0,1.0,1.0,16,0.061664342880249
2,215.94444472309465,473,MTFT = 1 AND blocksize = 1000000000,blocksize > 500500000.0 AND MTFT,0,1.0,1.0,1.0,16,0.0638136863708496
3,133.9753348273662,414,LZP = 1 AND BWTS = 1 AND MTFT = 1,LZP AND MTFT AND BWTS,0,1.0,1.0,1.0,16,0.1185905933380127
4,153.12095049224388,250,MTFT = 1 AND X86 = 1 AND checksum = 1 AND BWT = 1,MTFT AND BWT AND X86 AND checksum,0,1.0,1.0,1.0,16,0.0673329830169677
5,34.86604361551765,261,LZP = 1 AND BWTS = 1 AND checksum = 1 AND Huffman = 1 AND jobs = 8,SRT,4,0.1435257410296412,0.0830324909747292,0.5287356321839081,16,0.065481424331665
6,116.91171706778424,238,LZP = 1 AND BWTS = 1 AND checksum = 1 AND RLT = 1 AND Huffman = 1 AND blocksize = 1000000,Huffman AND RLT AND LZP AND jobs > 6.0 AND blocksize > 500500.0 AND blocksize <= 500500000.0 AND BWTS,0,0.9850746268656716,1.0,0.9705882352941176,16,0.0588936805725097
1,157.0942838595921,850,Range = 1,Range,0,1.0,1.0,1.0,17,0.0641541481018066
2,139.00176951772568,450,RANK = 1 AND BWTS = 1,RANK AND BWTS,0,1.0,1.0,1.0,17,0.0646553039550781
