n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,23.928835043048284,31,disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting,2,1.0,1.0,1.0,0,0.0185465812683105
2,6.42206265515615,47,encryption = 1 AND nice = 1,disableLzoCompressibilityTesting AND NOT encryption AND multithreading AND NOT unlimitedWindowSize AND nice,0,0.0,0.0,0.0,0,0.0177428722381591
3,15.44485714372082,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND multithreading AND integrityCheck,1,1.0,1.0,1.0,0,0.0176551342010498
4,16.443828885643278,12,integrityCheck = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,multithreading AND NOT gzip AND integrityCheck AND unlimitedWindowSize AND nice AND NOT disableLzoCompressibilityTesting AND NOT bzip2,2,0.6666666666666666,1.0,0.5,0,0.0179007053375244
1,17.14388132695109,32,bzip2 = 1,bzip2,1,1.0,1.0,1.0,1,0.0183486938476562
2,7.200999670784867,16,gzip = 1 AND nice = 1,NOT disableLzoCompressibilityTesting AND NOT nice AND NOT zpaq AND encryption AND unlimitedWindowSize AND NOT lzo AND NOT multithreading AND NOT gzip,0,0.0,0.0,0.0,1,0.017289400100708
3,13.50256547747886,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,multithreading AND integrityCheck AND unlimitedWindowSize,0,1.0,1.0,1.0,1,0.017885684967041
4,22.84361642746198,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND unlimitedWindowSize = 1,encryption AND nice AND unlimitedWindowSize AND integrityCheck,2,1.0,1.0,1.0,1,0.0186071395874023
1,8.371778929454319,32,bzip2 = 1,NOT encryption AND NOT gzip AND unlimitedWindowSize AND bzip2,1,0.4,1.0,0.25,10,0.0206215381622314
2,24.04903634680356,31,encryption = 1 AND lzo = 1,lzo AND encryption,1,1.0,1.0,1.0,10,0.0224955081939697
3,24.771539629987902,16,integrityCheck = 1 AND lzo = 1 AND multithreading = 1,lzo AND multithreading AND integrityCheck,0,1.0,1.0,1.0,10,0.0225777626037597
4,18.389097805983653,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT integrityCheck AND NOT lzo AND nice AND NOT noBackend AND encryption AND unlimitedWindowSize AND multithreading AND NOT zpaq,3,0.2857142857142857,1.0,0.1666666666666666,10,0.0216541290283203
1,22.04579671185249,32,zpaq = 1,zpaq,0,1.0,1.0,1.0,11,0.0198378562927246
2,4.732152636912214,16,noBackend = 1 AND multithreading = 1,NOT bzip2 AND NOT noBackend AND NOT encryption AND NOT gzip AND NOT multithreading AND nice AND disableLzoCompressibilityTesting AND NOT unlimitedWindowSize,0,0.0,0.0,0.0,11,0.0174469947814941
3,17.576608760342772,16,integrityCheck = 1 AND lzo = 1 AND multithreading = 1,lzo AND multithreading AND integrityCheck,3,1.0,1.0,1.0,11,0.0206480026245117
4,26.223247136915592,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,nice AND unlimitedWindowSize AND encryption AND multithreading,1,1.0,1.0,1.0,11,0.018932819366455
1,20.47247081356132,31,disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting,0,1.0,1.0,1.0,12,0.0183475017547607
2,10.197421853707556,16,multithreading = 1 AND disableLzoCompressibilityTesting = 1,nice AND noBackend AND NOT unlimitedWindowSize AND NOT integrityCheck AND NOT encryption,0,0.0,0.0,0.0,12,0.0175490379333496
3,17.55515984361282,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,encryption AND integrityCheck AND nice,3,1.0,1.0,1.0,12,0.0186192989349365
4,11.65993827548465,12,integrityCheck = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND unlimitedWindowSize AND multithreading AND nice AND NOT gzip AND NOT zpaq AND NOT encryption AND NOT lzo,4,0.2857142857142857,1.0,0.1666666666666666,12,0.0186796188354492
1,10.866285758685652,32,gzip = 1,gzip,1,1.0,1.0,1.0,13,0.0192148685455322
2,26.708682606745867,16,encryption = 1 AND noBackend = 1,noBackend AND encryption,0,1.0,1.0,1.0,13,0.0184285640716552
3,20.33779458686693,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND integrityCheck AND multithreading,1,1.0,1.0,1.0,13,0.0195991992950439
4,5.454127074938143,12,encryption = 1 AND integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,disableLzoCompressibilityTesting AND NOT integrityCheck AND unlimitedWindowSize AND NOT nice AND encryption,0,0.0,0.0,0.0,13,0.0179090499877929
1,11.197758527891834,32,gzip = 1,NOT gzip AND NOT integrityCheck AND NOT multithreading AND NOT lzo AND NOT noBackend AND NOT nice AND NOT unlimitedWindowSize AND NOT zpaq,0,0.0,0.0,0.0,14,0.0216412544250488
2,6.097609357390571,47,encryption = 1 AND nice = 1,encryption AND multithreading AND nice,3,0.676056338028169,1.0,0.5106382978723404,14,0.0212476253509521
3,10.033465436986257,16,lzo = 1 AND nice = 1 AND unlimitedWindowSize = 1,NOT multithreading AND NOT encryption AND gzip AND NOT unlimitedWindowSize AND NOT integrityCheck,0,0.0,0.0,0.0,14,0.0206208229064941
4,21.24159868538452,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND unlimitedWindowSize AND multithreading AND nice,2,1.0,1.0,1.0,14,0.0207414627075195
1,6.742353332180005,32,bzip2 = 1,integrityCheck AND encryption AND unlimitedWindowSize AND nice AND NOT multithreading AND NOT gzip AND NOT bzip2 AND NOT lzo,0,0.0,0.0,0.0,15,0.0206344127655029
2,4.082801895947778,31,lzo = 1 AND nice = 1,NOT bzip2 AND NOT gzip AND lzo AND nice,2,1.0,1.0,1.0,15,0.0199401378631591
3,20.24214326546714,15,integrityCheck = 1 AND lzo = 1 AND disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting AND integrityCheck,1,1.0,1.0,1.0,15,0.0183484554290771
4,18.557191164624445,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND unlimitedWindowSize = 1,encryption AND nice AND unlimitedWindowSize AND integrityCheck AND NOT lzo AND NOT gzip AND NOT multithreading AND NOT noBackend,4,0.2857142857142857,1.0,0.1666666666666666,15,0.0199091434478759
