n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,170.7161746813652,161,Lc4Lp0 = 1,Lc4Lp0,0,1.0,1.0,1.0,0,0.0364773273468017
2,40.89523445786644,421,Dict = 1 AND FlushTimeout = 1,FlushTimeout AND Dict,0,1.0,1.0,1.0,0,0.0356364250183105
3,87.881683671427,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout AND Depth AND BlockSize,0,1.0,1.0,1.0,0,0.0349979400634765
4,175.7810552868676,140,hc4 = 1 AND Nice = 1 AND Depth = 1 AND Dist = 1,hc4 AND Depth AND Dist AND Nice,0,1.0,1.0,1.0,0,0.0391523838043212
5,80.78372219071495,303,MemoryLimit = 1 AND Nice = 1 AND Dict = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout AND Nice AND BlockSize AND MemoryLimit AND Dict,0,1.0,1.0,1.0,0,0.0321953296661376
6,73.69447047508798,141,crc32 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND BlockSize = 1,Dict,0,0.2359832635983264,0.1337760910815939,1.0,0,0.0355405807495117
1,177.09152658428053,190,Lc3Lp0 = 1,Lc3Lp0,0,1.0,1.0,1.0,1,0.0363483428955078
2,74.24960600257157,216,hc4 = 1 AND MemoryLimit = 1,hc4 AND MemoryLimit,0,1.0,1.0,1.0,1,0.0338103771209716
3,55.71458791104968,141,bt4 = 1 AND Dict = 1 AND FlushTimeout = 1,NOT Lc1Lp1 AND NOT Lc2Lp0 AND NOT bt3,2,0.1602002503128911,0.0878517501715854,0.9078014184397164,1,0.0347070693969726
4,93.08802075784372,106,Lc0Lp1 = 1 AND MemoryLimit = 1 AND Nice = 1 AND BlockSize = 1,Lc0Lp1 AND Nice AND MemoryLimit AND BlockSize,0,1.0,1.0,1.0,1,0.0392472743988037
5,197.53427692248624,278,Nice = 1 AND Depth = 1 AND Dist = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout AND Depth AND Dist AND Nice AND BlockSize,0,1.0,1.0,1.0,1,0.0362210273742675
6,71.76146093461861,127,crc32 = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND Dist = 1 AND BlockSize = 1,NOT bt3 AND NOT Lc3Lp0 AND NOT PositionBits,4,0.1341463414634146,0.0754162585700293,0.6062992125984252,1,0.0374491214752197
1,107.28572214329049,367,bt3 = 1,bt3,0,1.0,1.0,1.0,10,0.0350568294525146
2,149.24834532443822,144,FlushTimeout = 1 AND PositionBits = 1,FlushTimeout AND PositionBits,0,1.0,1.0,1.0,10,0.0336987972259521
3,138.34462154516268,193,crc64 = 1 AND Nice = 1 AND Depth = 1,crc64 AND Nice AND Depth,0,1.0,1.0,1.0,10,0.0321714878082275
