n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,2.208052039434128,269,model_validate = 1 AND unsat_core = 1,unsat_core AND model_validate,0,1.0,1.0,1.0,0,0.0482428073883056
3,4.108212910769648,142,dump_models = 1 AND smtlib2_compliant = 1 AND unsat_core = 1,smtlib2_compliant AND dump_models AND unsat_core,0,1.0,1.0,1.0,0,0.0460877418518066
4,3.517283643082916,106,model = 1 AND model_validate = 1 AND stats = 1 AND unsat_core = 1,NOT model AND model_validate AND auto_config AND NOT well_sorted_check AND debug_ref_count AND NOT unsat_core AND dump_models AND NOT type_check,0,0.0,0.0,0.0,0,0.0457417964935302
5,3.6929318549450656,66,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND trace = 1,NOT well_sorted_check AND NOT auto_config AND NOT proof AND smtlib2_compliant AND debug_ref_count AND NOT model AND trace AND dump_models,0,0.0,0.0,0.0,0,0.0448436737060546
6,4.53336422989852,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND proof = 1 AND stats = 1 AND type_check = 1,dump_models AND auto_config AND stats AND proof AND model AND type_check,3,1.0,1.0,1.0,0,0.0454223155975341
2,3.134771938771626,276,proof = 1 AND stats = 1,NOT model_validate AND dump_models AND stats AND proof,1,0.4362606232294617,1.0,0.2789855072463768,1,0.0449199676513671
3,2.1242796555143397,196,debug_ref_count = 1 AND stats = 1 AND type_check = 1,type_check AND debug_ref_count AND stats,0,1.0,1.0,1.0,1,0.0441844463348388
4,4.067832749481585,71,auto_config = 1 AND model = 1 AND type_check = 1 AND well_sorted_check = 1,type_check AND well_sorted_check AND auto_config AND model,1,1.0,1.0,1.0,1,0.042954683303833
5,2.1290670676144647,66,auto_config = 1 AND debug_ref_count = 1 AND dump_models = 1 AND model_validate = 1 AND proof = 1,auto_config AND model_validate AND proof AND debug_ref_count AND dump_models,1,1.0,1.0,1.0,1,0.0443141460418701
6,2.2511191075428605,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND proof = 1 AND stats = 1 AND type_check = 1,dump_models AND proof AND NOT model AND NOT well_sorted_check AND auto_config AND NOT stats AND NOT debug_ref_count,0,0.0,0.0,0.0,1,0.0437996387481689
2,2.784330077679612,295,auto_config = 1 AND model = 1,model AND auto_config,0,1.0,1.0,1.0,10,0.0487384796142578
3,4.061639289796334,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate AND proof AND type_check,0,1.0,1.0,1.0,10,0.0501308441162109
4,4.045596505176476,112,debug_ref_count = 1 AND stats = 1 AND trace = 1 AND type_check = 1,trace AND type_check AND debug_ref_count AND stats,0,1.0,1.0,1.0,10,0.0505781173706054
