n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5489838123321533
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.4764292240142822
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.4813778400421142
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5535874366760254
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.4894540309906006
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.4901766777038574
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5642292499542236
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.4872605800628662
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0.4905211925506592
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5592164993286133
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.4747128486633301
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,0.4748530387878418
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.5197241306304932
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.4615366458892822
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0.4579019546508789
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.5268878936767578
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.4730985164642334
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13,0.4769444465637207
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.546252965927124
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.467329740524292
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.4743738174438476
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.535677433013916
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.4708516597747803
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.4716742038726806
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.5306813716888428
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.4751543998718261
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.4652585983276367
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.5171604156494141
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.4691159725189209
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,0.4592571258544922
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.5342981815338135
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.4661839008331299
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18,0.473367691040039
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.5340380668640137
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.4616293907165527
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.4665174484252929
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5322959423065186
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.500075101852417
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.4958527088165283
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.5325326919555664
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.4652183055877685
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,0.4695508480072021
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.5247030258178711
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,0.4639286994934082
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,0.4681673049926758
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.5354292392730713
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22,0.4619085788726806
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,0.4744160175323486
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.5459835529327393
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,0.482398509979248
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,0.4797120094299316
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.5469436645507812
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,0.4832618236541748
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0.4757468700408935
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.5356194972991943
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,0.4843766689300537
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25,0.4602131843566894
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.5444917678833008
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,26,0.4745688438415527
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26,0.501978874206543
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.5483636856079102
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,27,0.5053939819335938
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,0.4948873519897461
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.5447065830230713
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,28,0.4733326435089111
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,28,0.4655194282531738
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.5349416732788086
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29,0.4759979248046875
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,0.4549460411071777
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5469839572906494
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,0.4833722114562988
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.4891688823699951
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.5543310642242432
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,30,0.4719915390014648
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30,0.4723432064056396
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.5464386940002441
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,31,0.4940094947814941
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31,0.4940218925476074
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.5563082695007324
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,0.4836490154266357
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,32,0.480682373046875
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.5241868495941162
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33,0.4661879539489746
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33,0.470428466796875
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.5440216064453125
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,34,0.4810059070587158
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34,0.4747238159179687
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.5579392910003662
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,35,0.4961156845092773
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35,0.4863073825836181
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.5565097332000732
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,36,0.4781534671783447
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36,0.4813919067382812
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.5297729969024658
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,37,0.4826002120971679
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,0.4767007827758789
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.542330265045166
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,38,0.4790558815002441
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38,0.4817473888397217
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0.5486629009246826
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,39,0.4808249473571777
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39,0.4871461391448974
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5544114112854004
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,0.472963809967041
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0.4737725257873535
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.5470156669616699
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,40,0.4693315029144287
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40,0.4769697189331054
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.5316495895385742
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,41,0.4757485389709472
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41,0.484468936920166
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.5536782741546631
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,42,0.4827940464019775
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42,0.4788980484008789
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0.5616137981414795
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,43,0.4789590835571289
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,43,0.465919017791748
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0.5313577651977539
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,44,0.4744546413421631
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,44,0.4722383022308349
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.5325472354888916
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,45,0.4716250896453857
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,45,0.479151964187622
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.5441217422485352
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,46,0.4875800609588623
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46,0.4756889343261719
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.5373523235321045
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,47,0.4700934886932373
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,0.4789104461669922
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.5422573089599609
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,48,0.4667177200317383
