n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.3,0.1875,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0536057949066162
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0601937770843505
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.058345079421997
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0507371425628662
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0474205017089843
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0506894588470459
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0611257553100585
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.0592243671417236
3,0.0,0.0,0.0,0.6875000000000001,1.0,0.5238095238095238,1.0,1.0,1.0,10,0.0587437152862548
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0494773387908935
2,0.6875000000000001,1.0,0.5238095238095238,1.0,1.0,1.0,0.0,0.0,0.0,11,0.0466024875640869
3,0.0,0.0,0.0,0.6956521739130436,1.0,0.5333333333333333,1.0,1.0,1.0,11,0.0505061149597168
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0476617813110351
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.0536732673645019
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0.0455093383789062
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0530812740325927
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.0495963096618652
3,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,13,0.0504994392395019
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0559182167053222
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.0586147308349609
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.0544164180755615
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0583217144012451
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.0564348697662353
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.0428636074066162
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0414381027221679
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.0483889579772949
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0468542575836181
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0537662506103515
2,0.5714285714285715,1.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,17,0.0516908168792724
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,17,0.0527052879333496
