n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0516350269317626
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0.0520355701446533
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0516743659973144
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0,0,0,1,0.0478174686431884
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,10,0.0439906120300293
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,10,0.0412547588348388
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,11,0.0531175136566162
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,11,0.0510852336883544
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,12,0.0528461933135986
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,12,0.0470466613769531
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,13,0.0488777160644531
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0,0,0,13,0.0448193550109863
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,14,0.0508222579956054
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,14,0.0482633113861084
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,15,0.049941062927246
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,15,0.0456156730651855
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,16,0.0484945774078369
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0,0,0,16,0.0479497909545898
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,17,0.0490756034851074
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,17,0.0509593486785888
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,18,0.0506408214569091
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,18,0.051687479019165
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,19,0.0564911365509033
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,19,0.0543842315673828
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,2,0.0570588111877441
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0,0,0,2,0.0555055141448974
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,20,0.0523691177368164
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,20,0.0516326427459716
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,21,0.0509371757507324
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,21,0.0505118370056152
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,22,0.0435380935668945
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,22,0.0442628860473632
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,23,0.0541160106658935
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0,0,0,23,0.0522191524505615
1,0.21875,0.125,0.875,0.0,0.0,0.0,0,0,0,24,0.0482058525085449
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0,0,0,24,0.0495824813842773
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,25,0.0512354373931884
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,25,0.05015230178833
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,26,0.0515878200531005
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,26,0.0508477687835693
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,27,0.051760196685791
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0,0,0,27,0.047572374343872
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,28,0.0511744022369384
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0,0,0,28,0.0491631031036376
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,29,0.0477375984191894
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,29,0.0488989353179931
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,3,0.0505609512329101
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,3,0.0469820499420166
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,30,0.0501999855041503
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,30,0.0519161224365234
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,31,0.0422542095184326
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,31,0.0432357788085937
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,32,0.0476408004760742
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,32,0.0454297065734863
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,33,0.0495975017547607
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,33,0.0527553558349609
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,34,0.0499241352081298
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0,0,0,34,0.0524463653564453
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,35,0.0555050373077392
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,35,0.0524461269378662
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,36,0.0467381477355957
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,36,0.0452766418457031
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,37,0.0497925281524658
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,37,0.0521101951599121
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,38,0.0504992008209228
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0,0,0,38,0.0526573657989501
1,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,0,0,0,39,0.0526137351989746
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0,0,0,39,0.0488622188568115
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,4,0.0431709289550781
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,4,0.0414166450500488
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,40,0.0515205860137939
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,40,0.0476100444793701
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,41,0.053849458694458
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0,0,0,41,0.0534555912017822
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,42,0.0463907718658447
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,42,0.0483162403106689
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,43,0.0477528572082519
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,43,0.0476799011230468
