n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2002730369567871
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.1279613971710205
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.1220908164978027
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.196378469467163
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.1238017082214355
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.1350948810577392
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.1772418022155761
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.125206708908081
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.1308293342590332
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.2042605876922607
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.1302628517150879
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.11208176612854
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.182358980178833
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.1338081359863281
3,0.0,0.0,0.0,0.7368421052631579,1.0,0.5833333333333334,1.0,1.0,1.0,12,0.1195447444915771
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.1875038146972656
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.1254186630249023
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.1289191246032714
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.1989021301269531
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.1327035427093505
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.128972053527832
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.1889824867248535
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.1389977931976318
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.1292712688446045
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.197751760482788
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.1470017433166504
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.1429271697998047
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.1894006729125976
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.1347839832305908
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,0.1211931705474853
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.194563627243042
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.1359498500823974
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,0.1321344375610351
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.1945664882659912
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.1250021457672119
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.1237516403198242
1,0.2219541616405307,0.1290322580645161,0.7931034482758621,0.0,0.0,0.0,0.0,0.0,0.0,2,0.1859610080718994
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.1333246231079101
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,0.1366083621978759
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.1808388233184814
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.1341049671173095
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.1390197277069091
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.1976041793823242
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,0.1294786930084228
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21,0.1258788108825683
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.1973054409027099
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,0.1358242034912109
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,22,0.1371312141418457
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.2007563114166259
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,0.1252024173736572
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23,0.1361124515533447
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2000794410705566
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,0.1405947208404541
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.1240303516387939
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.196953535079956
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,0.1355535984039306
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,0.1266317367553711
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.181643009185791
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,26,0.1303799152374267
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26,0.1277909278869629
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.1854007244110107
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,27,0.1294629573822021
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27,0.1336643695831298
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.1869175434112548
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28,0.1341090202331543
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28,0.1318128108978271
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.189030647277832
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29,0.1318545341491699
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29,0.1294677257537841
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.1815104484558105
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,0.1193673610687255
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3,0.1233768463134765
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.2004547119140625
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,30,0.1377079486846923
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30,0.1315035820007324
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.1903920173645019
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,31,0.1383845806121826
3,0.0,0.0,0.0,0.859504132231405,1.0,0.7536231884057971,1.0,1.0,1.0,31,0.1398136615753173
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.2038295269012451
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,0.1401031017303466
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,32,0.1252720355987548
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.1878013610839843
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33,0.1268796920776367
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,33,0.1309101581573486
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.1733119487762451
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,34,0.1351344585418701
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,34,0.1289877891540527
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.1858701705932617
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,35,0.1298239231109619
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35,0.1391117572784423
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.2017033100128173
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,36,0.1259727478027343
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36,0.1408095359802246
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.1911780834197998
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,37,0.1248364448547363
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,37,0.1169803142547607
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.182288646697998
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,38,0.1259186267852783
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,38,0.1305413246154785
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0.1959953308105468
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,39,0.1371090412139892
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,39,0.1328790187835693
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.1850624084472656
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4,0.1255509853363037
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4,0.1297640800476074
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.2051849365234375
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,40,0.1385927200317382
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,40,0.1465957164764404
