n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2511234283447266
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1.2224724292755127
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.1605701446533203
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2195403575897217
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.130115032196045
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.12978196144104
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.240691900253296
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,1.176070213317871
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,1.144453048706055
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1.259695529937744
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,1.1999115943908691
3,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,11,1.1187138557434082
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.2562987804412842
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,1.1341137886047363
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,1.1054391860961914
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.265749454498291
2,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,13,1.1780564785003662
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13,1.1522133350372314
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1.246333122253418
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,1.1577765941619873
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,14,1.1271166801452637
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.3179810047149658
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,1.1399049758911133
3,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,15,1.126124382019043
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.238290548324585
2,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,16,1.1564960479736328
3,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,16,1.1588847637176514
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.2476859092712402
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,1.202385425567627
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,1.1362481117248535
