n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,0.0264489650726318
1,1.0,1.0,1.0,0,0,0,0,0,0,1,0.0264065265655517
1,1.0,1.0,1.0,0,0,0,0,0,0,10,0.0285789966583251
1,1.0,1.0,1.0,0,0,0,0,0,0,11,0.0313565731048584
1,1.0,1.0,1.0,0,0,0,0,0,0,12,0.0262441635131835
1,1.0,1.0,1.0,0,0,0,0,0,0,13,0.026350975036621
1,0.054054054054054,1.0,0.0277777777777777,0,0,0,0,0,0,14,0.0260589122772216
1,1.0,1.0,1.0,0,0,0,0,0,0,15,0.0239923000335693
1,1.0,1.0,1.0,0,0,0,0,0,0,16,0.0230193138122558
1,1.0,1.0,1.0,0,0,0,0,0,0,17,0.0264976024627685
1,1.0,1.0,1.0,0,0,0,0,0,0,18,0.0303349494934082
1,1.0,1.0,1.0,0,0,0,0,0,0,19,0.0269191265106201
1,0.5,1.0,0.3333333333333333,0,0,0,0,0,0,2,0.0266003608703613
1,1.0,1.0,1.0,0,0,0,0,0,0,20,0.0258288383483886
1,1.0,1.0,1.0,0,0,0,0,0,0,21,0.0279340744018554
1,1.0,1.0,1.0,0,0,0,0,0,0,22,0.0273089408874511
1,1.0,1.0,1.0,0,0,0,0,0,0,23,0.0262033939361572
1,1.0,1.0,1.0,0,0,0,0,0,0,24,0.0249590873718261
1,1.0,1.0,1.0,0,0,0,0,0,0,25,0.0227229595184326
1,1.0,1.0,1.0,0,0,0,0,0,0,26,0.0270085334777832
1,1.0,1.0,1.0,0,0,0,0,0,0,27,0.0239379405975341
1,1.0,1.0,1.0,0,0,0,0,0,0,28,0.0284702777862548
1,1.0,1.0,1.0,0,0,0,0,0,0,29,0.0237975120544433
1,0.6666666666666666,1.0,0.5,0,0,0,0,0,0,3,0.0294642448425292
1,1.0,1.0,1.0,0,0,0,0,0,0,30,0.0235335826873779
1,1.0,1.0,1.0,0,0,0,0,0,0,31,0.0275778770446777
1,1.0,1.0,1.0,0,0,0,0,0,0,32,0.025141954421997
1,1.0,1.0,1.0,0,0,0,0,0,0,33,0.0257568359375
1,1.0,1.0,1.0,0,0,0,0,0,0,34,0.0298800468444824
1,1.0,1.0,1.0,0,0,0,0,0,0,35,0.0293464660644531
1,1.0,1.0,1.0,0,0,0,0,0,0,36,0.0238556861877441
1,1.0,1.0,1.0,0,0,0,0,0,0,37,0.0232079029083251
1,1.0,1.0,1.0,0,0,0,0,0,0,38,0.0286877155303955
1,1.0,1.0,1.0,0,0,0,0,0,0,39,0.0259091854095459
1,1.0,1.0,1.0,0,0,0,0,0,0,4,0.0240204334259033
1,1.0,1.0,1.0,0,0,0,0,0,0,40,0.0296652317047119
1,1.0,1.0,1.0,0,0,0,0,0,0,41,0.0277285575866699
1,1.0,1.0,1.0,0,0,0,0,0,0,42,0.0240771770477294
1,1.0,1.0,1.0,0,0,0,0,0,0,43,0.0265798568725585
1,1.0,1.0,1.0,0,0,0,0,0,0,44,0.0293326377868652
1,1.0,1.0,1.0,0,0,0,0,0,0,45,0.0262181758880615
1,0.0,0.0,0.0,0,0,0,0,0,0,46,0.0378763675689697
1,1.0,1.0,1.0,0,0,0,0,0,0,47,0.0225553512573242
1,1.0,1.0,1.0,0,0,0,0,0,0,48,0.0292963981628417
1,1.0,1.0,1.0,0,0,0,0,0,0,49,0.0300121307373046
1,1.0,1.0,1.0,0,0,0,0,0,0,5,0.0284299850463867
1,1.0,1.0,1.0,0,0,0,0,0,0,50,0.0258927345275878
1,1.0,1.0,1.0,0,0,0,0,0,0,51,0.0255317687988281
1,1.0,1.0,1.0,0,0,0,0,0,0,52,0.0288927555084228
1,1.0,1.0,1.0,0,0,0,0,0,0,53,0.0291862487792968
1,1.0,1.0,1.0,0,0,0,0,0,0,54,0.02657151222229
1,1.0,1.0,1.0,0,0,0,0,0,0,55,0.0245985984802246
1,1.0,1.0,1.0,0,0,0,0,0,0,56,0.0261845588684082
1,1.0,1.0,1.0,0,0,0,0,0,0,57,0.0318572521209716
1,1.0,1.0,1.0,0,0,0,0,0,0,58,0.0275332927703857
1,1.0,1.0,1.0,0,0,0,0,0,0,59,0.0294578075408935
1,1.0,1.0,1.0,0,0,0,0,0,0,6,0.0306124687194824
1,1.0,1.0,1.0,0,0,0,0,0,0,60,0.0275733470916748
1,1.0,1.0,1.0,0,0,0,0,0,0,61,0.0326685905456543
1,1.0,1.0,1.0,0,0,0,0,0,0,62,0.0305948257446289
1,0.9411764705882352,1.0,0.8888888888888888,0,0,0,0,0,0,63,0.0222933292388916
1,1.0,1.0,1.0,0,0,0,0,0,0,64,0.027003526687622
1,1.0,1.0,1.0,0,0,0,0,0,0,65,0.0289385318756103
1,1.0,1.0,1.0,0,0,0,0,0,0,66,0.0252318382263183
1,1.0,1.0,1.0,0,0,0,0,0,0,67,0.0260729789733886
1,1.0,1.0,1.0,0,0,0,0,0,0,68,0.0278213024139404
1,1.0,1.0,1.0,0,0,0,0,0,0,69,0.0255658626556396
1,1.0,1.0,1.0,0,0,0,0,0,0,7,0.0261862277984619
1,1.0,1.0,1.0,0,0,0,0,0,0,70,0.0260891914367675
1,1.0,1.0,1.0,0,0,0,0,0,0,71,0.0287580490112304
1,0.1538461538461538,0.25,0.1111111111111111,0,0,0,0,0,0,72,0.0278739929199218
1,1.0,1.0,1.0,0,0,0,0,0,0,73,0.0303511619567871
1,1.0,1.0,1.0,0,0,0,0,0,0,74,0.0265893936157226
1,1.0,1.0,1.0,0,0,0,0,0,0,75,0.0275051593780517
1,1.0,1.0,1.0,0,0,0,0,0,0,76,0.0246882438659667
1,1.0,1.0,1.0,0,0,0,0,0,0,77,0.0241248607635498
1,1.0,1.0,1.0,0,0,0,0,0,0,78,0.0280680656433105
1,1.0,1.0,1.0,0,0,0,0,0,0,79,0.0297987461090087
1,1.0,1.0,1.0,0,0,0,0,0,0,8,0.031041145324707
1,1.0,1.0,1.0,0,0,0,0,0,0,80,0.0250656604766845
1,0.6153846153846153,1.0,0.4444444444444444,0,0,0,0,0,0,81,0.0326037406921386
1,1.0,1.0,1.0,0,0,0,0,0,0,82,0.0296180248260498
1,1.0,1.0,1.0,0,0,0,0,0,0,83,0.0267064571380615
