n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.2758620689655172,0.1666666666666666,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6032750606536865
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.5429153442382812
3,0.888888888888889,1.0,0.8,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0,0.5307159423828125
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.610022783279419
2,1.0,1.0,1.0,0.888888888888889,1.0,0.8,0.0,0.0,0.0,1,0.5293745994567871
3,1.0,1.0,1.0,0.7499999999999999,1.0,0.6,0.0,0.0,0.0,1,0.5448465347290039
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.584191083908081
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.52414870262146
3,0.888888888888889,1.0,0.8,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,10,0.5147879123687744
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6262805461883545
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.5662763118743896
3,0.888888888888889,1.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,11,0.5715973377227783
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.5796442031860352
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.5443456172943115
3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.5323131084442139
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.5525500774383545
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.4609050750732422
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,0.5044474601745605
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.543914794921875
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.4859588146209717
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.4968588352203369
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.5573642253875732
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.4784603118896484
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.4864814281463623
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.597357988357544
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.524221658706665
3,1.0,1.0,1.0,0.888888888888889,1.0,0.8,0.0,0.0,0.0,16,0.5342056751251221
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.5383415222167969
2,1.0,1.0,1.0,0.8,1.0,0.6666666666666666,0.0,0.0,0.0,17,0.4849677085876465
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,0.476259708404541
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.5992660522460938
2,1.0,1.0,1.0,0.888888888888889,1.0,0.8,0.0,0.0,0.0,18,0.529078483581543
