n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.391181707382202
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1.3243677616119385
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.347926378250122
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5780067443847656
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.5217516422271729
3,1.0,1.0,1.0,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1,1.430948257446289
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.3933899402618408
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,1.3267419338226318
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,10,1.3728156089782717
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1.5870013236999512
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,1.4374666213989258
3,0.6666666666666666,1.0,0.5,0.5714285714285715,1.0,0.4,0.8,1.0,0.6666666666666666,11,1.4041812419891355
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.4447526931762695
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,1.2634944915771484
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,1.3737998008728027
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.5651395320892334
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,1.4557912349700928
3,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.8571428571428571,1.0,0.75,13,1.4540157318115234
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1.6563143730163574
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,1.604731559753418
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,1.5817983150482178
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.6353068351745603
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,1.5403499603271484
3,1.0,1.0,1.0,0.1111111111111111,0.125,0.1,1.0,1.0,1.0,15,1.4566950798034668
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.611912965774536
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,1.5764787197113037
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,1.522218942642212
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.4644932746887207
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,1.3945670127868652
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,1.3393170833587646
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1.435771942138672
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,1.369222640991211
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,1.3351857662200928
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1.452986717224121
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,1.3559064865112305
3,0.8571428571428571,1.0,0.75,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,19,1.2896757125854492
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.3945298194885254
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,1.220426321029663
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.3354201316833496
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1.433372974395752
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,1.3688206672668457
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,1.3384449481964111
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.4334697723388672
2,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,21,1.3486220836639404
3,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,21,1.3367798328399658
