n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0507478713989257
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0484352111816406
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0487256050109863
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0572638511657714
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0550899505615234
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0552926063537597
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0476891994476318
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.045760154724121
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.0452973842620849
1,0.1538461538461538,1.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0451233386993408
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.0438129901885986
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,0.0440149307250976
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0545358657836914
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.0526759624481201
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.0524163246154785
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0485873222351074
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.0457441806793212
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.0462338924407959
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.052478551864624
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.0517895221710205
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,14,0.0506975650787353
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0487699508666992
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.048328161239624
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.0483498573303222
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0485777854919433
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.0468776226043701
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.0463767051696777
1,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0471282005310058
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.0454332828521728
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,0.0452418327331543
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0474052429199218
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.0462470054626464
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18,0.0451400279998779
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0463497638702392
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.0444087982177734
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.0435957908630371
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0498697757720947
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.0482468605041503
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.0475194454193115
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0552568435668945
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.0534307956695556
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,0.0526807308197021
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.051053762435913
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,0.0497188568115234
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,21,0.0491089820861816
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0502526760101318
2,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,22,0.0479943752288818
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,22,0.0483613014221191
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.05184006690979
