n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0570025444030761
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0522623062133789
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0546715259552001
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0554680824279785
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0545401573181152
3,1.0,1.0,1.0,0.6678260869565218,1.0,0.5013054830287206,0.6666666666666666,1.0,0.5,1,0.0535087585449218
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0537660121917724
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.0544126033782959
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0.0506644248962402
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0599966049194335
2,0.5437262357414449,1.0,0.3733681462140992,1.0,1.0,1.0,0.0,0.0,0.0,11,0.0558915138244628
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,0.0557224750518798
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0600025653839111
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.0556058883666992
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.057574987411499
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0567138195037841
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.0557930469512939
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.0553414821624755
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0545530319213867
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.0541512966156005
3,1.0,1.0,1.0,0.7519582245430809,1.0,0.602510460251046,1.0,1.0,1.0,14,0.0560948848724365
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0542576313018798
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.0535376071929931
3,1.0,1.0,1.0,0.7499999999999999,1.0,0.6,1.0,1.0,1.0,15,0.0546977519989013
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0551414489746093
2,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,16,0.0546600818634033
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.0525777339935302
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.055307388305664
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.0558335781097412
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,0.0545308589935302
1,0.2222222222222222,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0580737590789794
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.0584480762481689
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,18,0.0577254295349121
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0651419162750244
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.0635766983032226
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.0642266273498535
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0627474784851074
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.0653629302978515
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.0624332427978515
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0631000995635986
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.0617618560791015
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.0581333637237548
1,0.6956521739130436,1.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0546574592590332
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,0.0517168045043945
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,21,0.0545222759246826
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0544221401214599
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22,0.0524272918701171
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,22,0.0536487102508544
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.057676076889038
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,0.0561463832855224
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,0.0578448772430419
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0573875904083251
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,0.0555536746978759
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.0551891326904296
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0577938556671142
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,0.0588119029998779
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,25,0.0587167739868164
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0540590286254882
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26,0.0541131496429443
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26,0.0516998767852783
1,0.2352941176470588,1.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0562167167663574
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,27,0.0524041652679443
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,27,0.0524499416351318
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0562903881072998
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28,0.0535905361175537
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,28,0.0547049045562744
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0548417568206787
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29,0.0532236099243164
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,29,0.055629014968872
1,0.8883720930232559,1.0,0.799163179916318,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0572822093963623
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,0.0574285984039306
3,0.7519582245430809,1.0,0.602510460251046,0.7499999999999999,1.0,0.6,1.0,1.0,1.0,3,0.0591416358947753
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0560286045074462
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,30,0.0539641380310058
3,0.7499999999999999,1.0,0.6,0.7499999999999999,1.0,0.6,1.0,1.0,1.0,30,0.0571732521057128
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0584578514099121
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,31,0.0574071407318115
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,31,0.059178352355957
