n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.050234317779541
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.055591344833374
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0517053604125976
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,0.045516014099121
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,10,0.054983377456665
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,10,0.0486087799072265
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,11,0.0495572090148925
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,11,0.0533652305603027
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,12,0.0538930892944335
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,12,0.0457391738891601
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,13,0.0546939373016357
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,13,0.0471630096435546
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,14,0.0548377037048339
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,14,0.0578489303588867
1,0.7031802120141344,1.0,0.5422343324250681,0.0,0.0,0.0,0,0,0,15,0.0488989353179931
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,15,0.0452136993408203
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,16,0.0555689334869384
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,16,0.0500500202178955
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,17,0.0473582744598388
2,0.8065173116089613,1.0,0.6757679180887372,1.0,1.0,1.0,0,0,0,17,0.0504624843597412
1,0.4885496183206107,1.0,0.3232323232323232,0.0,0.0,0.0,0,0,0,18,0.0514078140258789
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,18,0.0490150451660156
1,0.1227621483375958,1.0,0.0653950953678474,0.0,0.0,0.0,0,0,0,19,0.0575485229492187
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,19,0.054549217224121
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,2,0.0551955699920654
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,2,0.0500392913818359
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,20,0.0524487495422363
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,20,0.0439300537109375
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,21,0.0534770488739013
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,21,0.0464615821838378
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,22,0.0632205009460449
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,22,0.0552732944488525
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,23,0.0590176582336425
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,23,0.0579872131347656
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,24,0.0488717555999755
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,24,0.0514037609100341
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,25,0.0538711547851562
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,25,0.0483558177947998
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,26,0.053328514099121
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,26,0.05678391456604
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,27,0.0562376976013183
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,27,0.0596425533294677
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,28,0.0541892051696777
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,28,0.0575201511383056
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,29,0.0491049289703369
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,29,0.0468494892120361
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,3,0.0529885292053222
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,3,0.0456671714782714
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,30,0.0631980895996093
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,30,0.0537116527557373
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,31,0.0525968074798584
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,31,0.0462419986724853
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,32,0.0492229461669921
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,32,0.045994758605957
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,33,0.0522897243499755
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,33,0.0467345714569091
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,34,0.0532562732696533
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,34,0.0455935001373291
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,35,0.046764850616455
2,0.6858407079646017,1.0,0.5218855218855218,1.0,1.0,1.0,0,0,0,35,0.0507915019989013
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,36,0.0521163940429687
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,36,0.0467200279235839
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,37,0.0474421977996826
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,37,0.0512721538543701
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,38,0.0537216663360595
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,38,0.0470952987670898
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,39,0.0488142967224121
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,39,0.0523138046264648
