n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.057793378829956
2,0.8483018867924528,1.0,0.7365661861074705,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0577924251556396
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0529603958129882
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.061194896697998
2,0.2180046165683508,0.1223373632700057,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0657033920288086
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.062349796295166
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0685391426086425
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.0686538219451904
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0.0678882598876953
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0559577941894531
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.0565395355224609
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,0.0577704906463623
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0561897754669189
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.0577669143676757
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0.0563328266143798
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0592823028564453
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.0532574653625488
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.0587940216064453
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0627908706665039
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.0573272705078125
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.0605039596557617
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0583734512329101
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.0602636337280273
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.0580756664276123
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0600802898406982
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.0583846569061279
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.0642645359039306
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0633430480957031
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.0655009746551513
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,0.0589144229888916
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0545437335968017
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.0583095550537109
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18,0.055934190750122
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.061150312423706
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.0575945377349853
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0637261867523193
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0667760372161865
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.0667955875396728
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2,0.0636463165283203
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0583205223083496
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.0560896396636962
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.0578062534332275
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0584089756011962
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,0.0530564785003662
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,0.0580620765686035
