n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0666122436523437
2,0.9306409130816506,1.0,0.8702791461412152,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0662705898284912
3,0.0794281175536139,0.0769230769230769,0.0821018062397372,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0674841403961181
1,0.2669722142652535,0.1681703356189101,0.6472222222222223,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0623450279235839
2,0.9427312775330398,1.0,0.8916666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0643143653869628
3,0.7919463087248323,1.0,0.6555555555555556,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0633935928344726
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0675709247589111
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.0663297176361084
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.064573049545288
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.073491096496582
2,0.0430622009569377,0.0428571428571428,0.0432692307692307,1.0,1.0,1.0,0.0,0.0,0.0,11,0.0683605670928955
3,0.0,0.0,0.0,0.8176211453744494,1.0,0.6915052160953801,1.0,1.0,1.0,11,0.0749776363372802
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0697383880615234
2,0.9440715883668904,1.0,0.8940677966101694,1.0,1.0,1.0,0.0,0.0,0.0,12,0.068328857421875
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.0680794715881347
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0703029632568359
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.0684864521026611
3,1.0,1.0,1.0,0.6755852842809364,1.0,0.51010101010101,1.0,1.0,1.0,13,0.0698626041412353
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0646860599517822
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.063739538192749
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,0.0624451637268066
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0670757293701171
2,0.9375866851595008,1.0,0.8825065274151436,1.0,1.0,1.0,0.0,0.0,0.0,15,0.0634496212005615
3,0.9375866851595008,1.0,0.8825065274151436,0.0611045828437132,0.0603248259860788,0.0619047619047619,1.0,1.0,1.0,15,0.0645179748535156
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0661394596099853
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.0626211166381836
3,0.0,0.0,0.0,0.7442424242424243,1.0,0.5926640926640927,1.0,1.0,1.0,16,0.0632169246673584
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0644190311431884
2,0.8912429378531074,1.0,0.8038216560509555,1.0,1.0,1.0,0.0,0.0,0.0,17,0.0659289360046386
3,0.0,0.0,0.0,0.679162072767365,1.0,0.5141903171953256,0.7194444444444444,1.0,0.561822125813449,17,0.0671408176422119
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0640304088592529
2,0.9302325581395348,1.0,0.8695652173913043,1.0,1.0,1.0,0.0,0.0,0.0,18,0.0638043880462646
3,0.0855614973262032,0.0932400932400932,0.0790513833992094,0.0,0.0,0.0,1.0,1.0,1.0,18,0.0668418407440185
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0653259754180908
2,0.8155970755483347,1.0,0.6886145404663924,1.0,1.0,1.0,0.0,0.0,0.0,19,0.0633106231689453
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0610637664794921
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0689795017242431
2,0.0474137931034482,0.059299191374663,0.0394973070017953,1.0,1.0,1.0,0.0,0.0,0.0,2,0.0649936199188232
3,0.0,0.0,0.0,0.7887596899224806,1.0,0.6512,1.0,1.0,1.0,2,0.0667393207550048
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0678548812866211
2,0.8157635467980296,1.0,0.6888519134775375,1.0,1.0,1.0,0.0,0.0,0.0,20,0.0668690204620361
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.0645174980163574
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0751020908355712
2,0.890728476821192,1.0,0.8029850746268656,1.0,1.0,1.0,0.0,0.0,0.0,21,0.073096752166748
3,0.088939566704675,0.1238095238095238,0.0693950177935943,0.0,0.0,0.0,1.0,1.0,1.0,21,0.0733730792999267
1,0.2827868852459017,1.0,0.1646778042959427,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0626418590545654
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,0.0614638328552246
3,0.0,0.0,0.0,0.8198198198198199,1.0,0.6946564885496184,1.0,1.0,1.0,22,0.063333511352539
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0637338161468505
2,0.9685314685314684,1.0,0.9389830508474576,1.0,1.0,1.0,0.0,0.0,0.0,23,0.0631892681121826
3,0.0741989881956155,0.0738255033557047,0.0745762711864406,1.0,1.0,1.0,1.0,1.0,1.0,23,0.0634698867797851
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0688741207122802
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,0.0691845417022705
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.0692827701568603
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0621111392974853
2,0.9774545454545456,1.0,0.9559032716927454,1.0,1.0,1.0,0.0,0.0,0.0,25,0.0614309310913085
3,0.8341625207296849,1.0,0.7155049786628734,0.0,0.0,0.0,1.0,1.0,1.0,25,0.061664342880249
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0664539337158203
2,0.6909090909090909,1.0,0.5277777777777778,1.0,1.0,1.0,0.0,0.0,0.0,26,0.065359354019165
