n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0332798957824707
2,0.9704641350210972,1.0,0.9426229508196722,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0385363101959228
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0370142459869384
1,0.3187603763143332,0.1913621262458471,0.9536423841059604,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0354340076446533
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0319492816925048
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0331284999847412
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0392160415649414
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.0367500782012939
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.0379223823547363
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0332388877868652
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.0331373214721679
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.034672737121582
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0365641117095947
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.0376636981964111
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0.0356481075286865
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0366814136505126
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.0368096828460693
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13,0.0374166965484619
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0366430282592773
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.0325434207916259
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.0372920036315918
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.039335012435913
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.0381741523742675
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0367794036865234
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0373873710632324
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.0359477996826171
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.0354218482971191
1,0.9710391822827938,1.0,0.9437086092715232,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0328905582427978
2,0.8646616541353382,1.0,0.7615894039735099,1.0,1.0,1.0,0.0,0.0,0.0,17,0.035083532333374
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,17,0.0359621047973632
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0399861335754394
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.0365288257598876
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,18,0.0371363162994384
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0429754257202148
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.0420215129852294
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.0469534397125244
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0339622497558593
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.0375678539276123
3,1.0,1.0,1.0,0.7929824561403509,1.0,0.6569767441860465,0.9268292682926828,1.0,0.8636363636363636,2,0.0361454486846923
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0376949310302734
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.0351686477661132
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20,0.0365135669708251
1,0.6654740608228981,1.0,0.4986595174262734,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0367519855499267
2,0.8398133748055988,1.0,0.7238605898123325,1.0,1.0,1.0,0.0,0.0,0.0,21,0.0382544994354248
3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21,0.0364360809326171
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0349340438842773
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,0.0347483158111572
3,0.0,0.0,0.0,0.8641975308641976,1.0,0.7608695652173914,1.0,1.0,1.0,22,0.0389285087585449
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0349118709564209
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,0.036245584487915
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,0.0355141162872314
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0380294322967529
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,0.0343406200408935
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.0397853851318359
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0350563526153564
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,0.0366415977478027
