sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,128,instcombine = 1 AND ipsccp = 1 AND jump_threading = 1,gvn==0 AND inline==0 AND jump_threading==0 AND print_used_types==1,0,0.0,0.0,0.0,0
uniform,128,jump_threading = 1 AND licm = 1 AND simplifycfg = 1,gvn==1 AND inline==0 AND instcombine==0 AND simplifycfg==0,0,0.0,0.0,0.0,0
bi_modal_split,128,jump_threading = 1 AND print_used_types = 1 AND simplifycfg = 1,instcombine==0 AND jump_threading==0,0,0.0,0.0,0.0,0
tri_modal_split,128,ipsccp = 1 AND iv_users = 1 AND licm = 1,instcombine==0 AND jump_threading==1 AND licm==0 AND sccp==1,0,0.0,0.0,0.0,0
power_law,128,gvn = 1 AND jump_threading = 1 AND simplifycfg = 1,jump_threading==0,0,0.0,0.0,0.0,0
normal,128,inline = 1 AND ipsccp = 1 AND licm = 1,inline==0 AND ipsccp==1 AND licm==0 AND sccp==0,0,0.0,0.0,0.0,10
uniform,128,inline = 1 AND ipsccp = 1 AND licm = 1,ipsccp==0 AND sccp==0 AND simplifycfg==1,0,0.0,0.0,0.0,10
bi_modal_split,128,inline = 1 AND ipsccp = 1 AND licm = 1,inline==1 AND instcombine==1 AND licm==0 AND print_used_types==1,0,0.0,0.0,0.0,10
tri_modal_split,128,inline = 1 AND ipsccp = 1 AND licm = 1,ipsccp==0 AND iv_users==1 AND print_used_types==0,0,0.0,0.0,0.0,10
power_law,128,inline = 1 AND ipsccp = 1 AND licm = 1,inline==0 AND print_used_types==1,0,0.0,0.0,0.0,10
normal,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,jump_threading==1 AND licm==0 AND sccp==1 AND simplifycfg==0,0,0.0,0.0,0.0,11
uniform,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,ipsccp==1 AND licm==1 AND print_used_types==1,0,1.0,1.0,1.0,11
bi_modal_split,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,inline==1 AND sccp==1 AND simplifycfg==0,2,0.125,0.125,0.125,11
tri_modal_split,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,ipsccp==1 AND licm==1 AND print_used_types==1,4,1.0,1.0,1.0,11
power_law,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,licm==0,0,0.0,0.0,0.0,11
normal,128,gvn = 1 AND licm = 1 AND sccp = 1,gvn==1 AND licm==1 AND sccp==1,0,1.0,1.0,1.0,12
uniform,128,gvn = 1 AND licm = 1 AND sccp = 1,gvn==1 AND licm==1 AND sccp==1,2,1.0,1.0,1.0,12
bi_modal_split,128,gvn = 1 AND licm = 1 AND sccp = 1,inline==0 AND iv_users==0 AND licm==0 AND simplifycfg==1,0,0.0,0.0,0.0,12
tri_modal_split,128,gvn = 1 AND licm = 1 AND sccp = 1,ipsccp==0 AND jump_threading==1 AND print_used_types==1 AND sccp==1,1,0.1666666666666666,0.25,0.125,12
power_law,128,gvn = 1 AND licm = 1 AND sccp = 1,licm==0,0,0.0,0.0,0.0,12
normal,128,inline = 1 AND iv_users = 1 AND simplifycfg = 1,inline==1 AND iv_users==1 AND simplifycfg==1,1,1.0,1.0,1.0,13
uniform,128,inline = 1 AND iv_users = 1 AND simplifycfg = 1,inline==0 AND iv_users==1 AND jump_threading==0 AND print_used_types==1,0,0.0,0.0,0.0,13
bi_modal_split,128,inline = 1 AND iv_users = 1 AND simplifycfg = 1,inline==1 AND iv_users==1 AND simplifycfg==1,0,1.0,1.0,1.0,13
tri_modal_split,128,inline = 1 AND iv_users = 1 AND simplifycfg = 1,inline==1 AND iv_users==1 AND simplifycfg==1,0,1.0,1.0,1.0,13
power_law,128,inline = 1 AND iv_users = 1 AND simplifycfg = 1,iv_users==0,0,0.0,0.0,0.0,13
normal,128,gvn = 1 AND inline = 1 AND simplifycfg = 1,inline==0 AND iv_users==0 AND jump_threading==1 AND print_used_types==0,0,0.0,0.0,0.0,14
uniform,128,gvn = 1 AND inline = 1 AND simplifycfg = 1,inline==0 AND instcombine==0 AND print_used_types==1 AND sccp==1,0,0.0,0.0,0.0,14
bi_modal_split,128,gvn = 1 AND inline = 1 AND simplifycfg = 1,instcombine==0 AND jump_threading==0 AND licm==1 AND print_used_types==0,2,0.0833333333333333,0.125,0.0625,14
tri_modal_split,128,gvn = 1 AND inline = 1 AND simplifycfg = 1,gvn==1 AND inline==1 AND simplifycfg==1,1,1.0,1.0,1.0,14
power_law,128,gvn = 1 AND inline = 1 AND simplifycfg = 1,gvn==0,0,0.0,0.0,0.0,14
normal,128,iv_users = 1 AND jump_threading = 1 AND sccp = 1,iv_users==1 AND jump_threading==1 AND sccp==1,0,1.0,1.0,1.0,15
uniform,128,iv_users = 1 AND jump_threading = 1 AND sccp = 1,iv_users==1 AND jump_threading==1 AND sccp==1,0,1.0,1.0,1.0,15
bi_modal_split,128,iv_users = 1 AND jump_threading = 1 AND sccp = 1,iv_users==0 AND licm==0 AND print_used_types==0,0,0.0,0.0,0.0,15
tri_modal_split,128,iv_users = 1 AND jump_threading = 1 AND sccp = 1,inline==0 AND print_used_types==1 AND simplifycfg==1,1,0.125,0.125,0.125,15
power_law,128,iv_users = 1 AND jump_threading = 1 AND sccp = 1,sccp==0,0,0.0,0.0,0.0,15
normal,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,gvn==1 AND inline==0 AND ipsccp==1 AND print_used_types==0,0,0.0,0.0,0.0,16
uniform,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,ipsccp==1 AND licm==1 AND print_used_types==1,1,1.0,1.0,1.0,16
bi_modal_split,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,ipsccp==0,0,0.0,0.0,0.0,16
