sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,10000,memory_based = 1 AND min = 1 AND polly_parallel = 1,value_based==1,0,0.0,0.0,0.0,0
uniform,10000,parallel_force = 1 AND polly_parallel = 1 AND value_based = 1,parallel_force==0,0,0.0,0.0,0.0,0
bi_modal_split,7500,polly = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1,polly_no_tiling==0,0,0.0,0.0,0.0,0
tri_modal_split,7500,memory_based = 1 AND min = 1 AND polly_no_tiling = 1,polly_no_tiling==0,0,0.0,0.0,0.0,0
power_law,7500,memory_based = 1 AND polly = 1 AND polly_no_tiling = 1,polly_no_tiling==0,0,0.0,0.0,0.0,0
normal,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,polly_no_tiling==0,0,0.0,0.0,0.0,10
uniform,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,polly_no_tiling==0,0,0.0,0.0,0.0,10
bi_modal_split,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollydefaulttilesize==64 AND pollyoptmaxcoefficient_1000==1 AND polly_no_tiling==0 AND polly_parallel==1,0,0.0,0.0,0.0,10
tri_modal_split,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,polly==1,0,0.0,0.0,0.0,10
power_law,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,value_based==0,0,0.0,0.0,0.0,10
normal,7500,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,min==0,0,0.0,0.0,0.0,11
uniform,7500,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,polly_opt_simplify_deps==0,0,0.0,0.0,0.0,11
bi_modal_split,7500,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,value_based==0,0,0.0,0.0,0.0,11
tri_modal_split,7500,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,min==0,0,0.0,0.0,0.0,11
power_law,7500,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,value_based==0,0,0.0,0.0,0.0,11
normal,10000,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel==0,0,0.0,0.0,0.0,12
uniform,10000,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel==0,0,0.0,0.0,0.0,12
bi_modal_split,10000,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel==0,0,0.0,0.0,0.0,12
tri_modal_split,10000,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel==0,0,0.0,0.0,0.0,12
