sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,436,JointStereo = 1 AND CBR = 8 AND VBRRange = 0,JointStereo==1 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,0
uniform,664,Downmix = 1 AND SwapBytes = 1 AND ReplayGainAccurate = 1,SwapBytes==1 AND NoReplayGain==0 AND Downmix==1 AND ReplayGainFast==0,0,1.0,1.0,1.0,0
bi_modal_split,570,Downmix = 1 AND Resampling = 22 AND VBRRange = 0,Resampling==22 AND VBRRange==0 AND Downmix==1,0,1.0,1.0,1.0,0
tri_modal_split,498,Freeformat = 1 AND CRC = 1 AND ReplayGainAccurate = 1,NoReplayGain==0 AND ReplayGainFast==0 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,0
power_law,562,Downmix = 1 AND SwapBytes = 1 AND Resampling = 22,SwapBytes==1 AND Resampling==22 AND Downmix==1,0,1.0,1.0,1.0,0
normal,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoRes==1 AND NoReplayGain==1 AND CRC==1,0,1.0,1.0,1.0,10
uniform,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoRes==1 AND NoReplayGain==1 AND CRC==1,0,1.0,1.0,1.0,10
bi_modal_split,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoRes==1 AND NoReplayGain==1 AND CRC==1,0,1.0,1.0,1.0,10
tri_modal_split,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoRes==1 AND NoReplayGain==1 AND CRC==1,0,1.0,1.0,1.0,10
power_law,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoRes==1 AND NoReplayGain==1 AND CRC==1,0,1.0,1.0,1.0,10
normal,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,0,1.0,1.0,1.0,11
uniform,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,0,1.0,1.0,1.0,11
bi_modal_split,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,0,1.0,1.0,1.0,11
tri_modal_split,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,0,1.0,1.0,1.0,11
power_law,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,0,1.0,1.0,1.0,11
normal,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,JointStereo==0 AND SwapBytes==0 AND VBRRange==0 AND NoReplayGain==0,0,0.0,0.0,0.0,12
uniform,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,NoRes==1 AND JointStereo==1 AND Downmix==1,0,1.0,1.0,1.0,12
bi_modal_split,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,NoRes==1 AND JointStereo==1 AND Downmix==1,0,1.0,1.0,1.0,12
tri_modal_split,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,NoRes==1 AND JointStereo==1 AND Downmix==1,0,1.0,1.0,1.0,12
power_law,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,NoRes==1 AND JointStereo==1 AND Downmix==1,0,1.0,1.0,1.0,12
normal,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR==320 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,13
uniform,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR==320 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,13
bi_modal_split,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR==320 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,13
tri_modal_split,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR==320 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,13
power_law,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CBR==320 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,13
normal,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoRes==1 AND SwapBytes==1 AND NoReplayGain==1,0,1.0,1.0,1.0,14
uniform,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoRes==1 AND SwapBytes==1 AND NoReplayGain==1,0,1.0,1.0,1.0,14
bi_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoRes==1 AND SwapBytes==1 AND NoReplayGain==1,0,1.0,1.0,1.0,14
tri_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoRes==1 AND SwapBytes==1 AND NoReplayGain==1,0,1.0,1.0,1.0,14
power_law,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoRes==1 AND SwapBytes==1 AND NoReplayGain==1,0,1.0,1.0,1.0,14
normal,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,ReplayGainAccurate==0 AND Resampling==8 AND Mono==0 AND DualChannels==0,0,0.0,0.0,0.0,15
uniform,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling==22 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,15
bi_modal_split,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling==22 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,15
tri_modal_split,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling==22 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,15
power_law,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,Resampling==22 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,15
normal,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,SwapBytes==0 AND VBRRange==1 AND ReplayGainFast==0 AND Mono==0,0,0.0,0.0,0.0,16
uniform,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR==160 AND Downmix==1,0,1.0,1.0,1.0,16
bi_modal_split,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR==160 AND Downmix==1,0,1.0,1.0,1.0,16
tri_modal_split,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR==160 AND Downmix==1,0,1.0,1.0,1.0,16
power_law,475,Downmix = 1 AND CBR = 160 AND VBRRange = 0,CBR==160 AND Downmix==1,0,1.0,1.0,1.0,16
normal,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,SwapBytes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,17
uniform,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,SwapBytes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,17
bi_modal_split,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,SwapBytes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,17
tri_modal_split,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,SwapBytes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,17
power_law,520,NoReplayGain = 1 AND SwapBytes = 1 AND VBRRange = 0,SwapBytes==1 AND VBRRange==0 AND NoReplayGain==1,1,1.0,1.0,1.0,17
normal,428,Downmix = 1 AND MidSideStereo = 1 AND SwapBytes = 1,SwapBytes==1 AND Downmix==1 AND MidSideStereo==1,0,1.0,1.0,1.0,18
uniform,428,Downmix = 1 AND MidSideStereo = 1 AND SwapBytes = 1,SwapBytes==1 AND Downmix==1 AND MidSideStereo==1,0,1.0,1.0,1.0,18
bi_modal_split,428,Downmix = 1 AND MidSideStereo = 1 AND SwapBytes = 1,Resampling==22 AND VBRRange==2 AND ReplayGainFast==0 AND Mono==1,0,0.0,0.0,0.0,18
tri_modal_split,428,Downmix = 1 AND MidSideStereo = 1 AND SwapBytes = 1,SwapBytes==1 AND Downmix==1 AND MidSideStereo==1,0,1.0,1.0,1.0,18
power_law,428,Downmix = 1 AND MidSideStereo = 1 AND SwapBytes = 1,SwapBytes==1 AND Downmix==1 AND MidSideStereo==1,0,1.0,1.0,1.0,18
normal,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoRes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,19
uniform,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoRes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,19
bi_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoRes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,19
tri_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoRes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,19
power_law,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoRes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,19
normal,482,Freeformat = 1 AND CBR = 160 AND VBRRange = 0,CBR==160 AND Freeformat==1,0,1.0,1.0,1.0,1
uniform,482,Freeformat = 1 AND CBR = 160 AND VBRRange = 0,CBR==160 AND Freeformat==1,0,1.0,1.0,1.0,1
bi_modal_split,482,Freeformat = 1 AND CBR = 160 AND VBRRange = 0,CBR==160 AND Freeformat==1,0,1.0,1.0,1.0,1
tri_modal_split,482,Freeformat = 1 AND CBR = 160 AND VBRRange = 0,CBR==160 AND Freeformat==1,0,1.0,1.0,1.0,1
power_law,482,Freeformat = 1 AND CBR = 160 AND VBRRange = 0,CBR==160 AND Freeformat==1,0,1.0,1.0,1.0,1
normal,534,Resampling = 8 AND CBR = 8 AND VBRRange = 0,Resampling==8 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,20
uniform,534,Resampling = 8 AND CBR = 8 AND VBRRange = 0,Resampling==8 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,20
bi_modal_split,534,Resampling = 8 AND CBR = 8 AND VBRRange = 0,Resampling==8 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,20
tri_modal_split,534,Resampling = 8 AND CBR = 8 AND VBRRange = 0,Resampling==8 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,20
power_law,534,Resampling = 8 AND CBR = 8 AND VBRRange = 0,Resampling==8 AND CBR==8 AND VBRRange==0,0,1.0,1.0,1.0,20
normal,457,CRC = 1 AND Resampling = 22 AND CBR = 8,Resampling==22 AND CBR==8 AND CRC==1,0,1.0,1.0,1.0,21
uniform,457,CRC = 1 AND Resampling = 22 AND CBR = 8,Resampling==22 AND CBR==8 AND CRC==1,0,1.0,1.0,1.0,21
bi_modal_split,457,CRC = 1 AND Resampling = 22 AND CBR = 8,Resampling==22 AND CBR==8 AND CRC==1,0,1.0,1.0,1.0,21
tri_modal_split,457,CRC = 1 AND Resampling = 22 AND CBR = 8,Resampling==22 AND CBR==8 AND CRC==1,0,1.0,1.0,1.0,21
power_law,457,CRC = 1 AND Resampling = 22 AND CBR = 8,Resampling==22 AND CBR==8 AND CRC==1,0,1.0,1.0,1.0,21
normal,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,0,1.0,1.0,1.0,22
uniform,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,0,1.0,1.0,1.0,22
bi_modal_split,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,0,1.0,1.0,1.0,22
tri_modal_split,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,0,1.0,1.0,1.0,22
power_law,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo==1 AND SwapBytes==1 AND CRC==1,0,1.0,1.0,1.0,22
normal,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoRes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,23
uniform,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoRes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,23
bi_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoRes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,23
tri_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoRes==1 AND VBRRange==0 AND NoReplayGain==1,2,1.0,1.0,1.0,23
power_law,518,NoRes = 1 AND NoReplayGain = 1 AND VBRRange = 0,NoRes==1 AND VBRRange==0 AND NoReplayGain==1,0,1.0,1.0,1.0,23
normal,695,ReplayGainAccurate = 1 AND CBR = 8 AND VBRRange = 0,CBR==8 AND VBRRange==0 AND NoReplayGain==0 AND ReplayGainFast==0,0,1.0,1.0,1.0,24
uniform,695,ReplayGainAccurate = 1 AND CBR = 8 AND VBRRange = 0,CBR==8 AND VBRRange==0 AND NoReplayGain==0 AND ReplayGainFast==0,0,1.0,1.0,1.0,24
bi_modal_split,695,ReplayGainAccurate = 1 AND CBR = 8 AND VBRRange = 0,CBR==8 AND VBRRange==0 AND NoReplayGain==0 AND ReplayGainFast==0,1,1.0,1.0,1.0,24
tri_modal_split,695,ReplayGainAccurate = 1 AND CBR = 8 AND VBRRange = 0,CBR==8 AND VBRRange==0 AND NoReplayGain==0 AND ReplayGainFast==0,0,1.0,1.0,1.0,24
power_law,695,ReplayGainAccurate = 1 AND CBR = 8 AND VBRRange = 0,CBR==8 AND VBRRange==0 AND NoReplayGain==0 AND ReplayGainFast==0,0,1.0,1.0,1.0,24
normal,568,NoRes = 1 AND SwapBytes = 1 AND Resampling = 22,NoRes==1 AND SwapBytes==1 AND Resampling==22,0,1.0,1.0,1.0,25
uniform,568,NoRes = 1 AND SwapBytes = 1 AND Resampling = 22,NoRes==1 AND SwapBytes==1 AND Resampling==22,0,1.0,1.0,1.0,25
bi_modal_split,568,NoRes = 1 AND SwapBytes = 1 AND Resampling = 22,NoRes==1 AND SwapBytes==1 AND Resampling==22,0,1.0,1.0,1.0,25
tri_modal_split,568,NoRes = 1 AND SwapBytes = 1 AND Resampling = 22,NoRes==1 AND SwapBytes==1 AND Resampling==22,0,1.0,1.0,1.0,25
power_law,568,NoRes = 1 AND SwapBytes = 1 AND Resampling = 22,NoRes==1 AND SwapBytes==1 AND Resampling==22,0,1.0,1.0,1.0,25
normal,557,Downmix = 1 AND SwapBytes = 1 AND Resampling = 8,SwapBytes==1 AND Resampling==8 AND Downmix==1,0,1.0,1.0,1.0,26
uniform,557,Downmix = 1 AND SwapBytes = 1 AND Resampling = 8,SwapBytes==1 AND Resampling==8 AND Downmix==1,0,1.0,1.0,1.0,26
bi_modal_split,557,Downmix = 1 AND SwapBytes = 1 AND Resampling = 8,SwapBytes==1 AND Resampling==8 AND Downmix==1,0,1.0,1.0,1.0,26
tri_modal_split,557,Downmix = 1 AND SwapBytes = 1 AND Resampling = 8,SwapBytes==1 AND Resampling==8 AND Downmix==1,0,1.0,1.0,1.0,26
power_law,557,Downmix = 1 AND SwapBytes = 1 AND Resampling = 8,SwapBytes==1 AND Resampling==8 AND Downmix==1,0,1.0,1.0,1.0,26
normal,471,ReplayGainFast = 1 AND CRC = 1 AND CBR = 8,CBR==8 AND ReplayGainFast==1 AND CRC==1,0,1.0,1.0,1.0,27
uniform,471,ReplayGainFast = 1 AND CRC = 1 AND CBR = 8,CBR==8 AND ReplayGainFast==1 AND CRC==1,0,1.0,1.0,1.0,27
bi_modal_split,471,ReplayGainFast = 1 AND CRC = 1 AND CBR = 8,NoRes==1 AND ReplayGainAccurate==1 AND VBRRange==1 AND CRC==1,0,0.0,0.0,0.0,27
tri_modal_split,471,ReplayGainFast = 1 AND CRC = 1 AND CBR = 8,CBR==8 AND ReplayGainFast==1 AND CRC==1,0,1.0,1.0,1.0,27
power_law,471,ReplayGainFast = 1 AND CRC = 1 AND CBR = 8,CBR==8 AND ReplayGainFast==1 AND CRC==1,0,1.0,1.0,1.0,27
normal,471,CRC = 1 AND JointStereo = 1 AND VBRRange = 0,JointStereo==1 AND VBRRange==0 AND CRC==1,0,1.0,1.0,1.0,28
uniform,471,CRC = 1 AND JointStereo = 1 AND VBRRange = 0,JointStereo==1 AND VBRRange==0 AND CRC==1,0,1.0,1.0,1.0,28
bi_modal_split,471,CRC = 1 AND JointStereo = 1 AND VBRRange = 0,JointStereo==1 AND VBRRange==0 AND CRC==1,0,1.0,1.0,1.0,28
