sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,246,bt4 = 1 AND Dist = 1 AND BlockSize = 1,Dist==1 AND BlockSize==1 AND bt4==1,0,1.0,1.0,1.0,0
uniform,232,MemoryLimit = 1 AND Dist = 1 AND PositionBits = 1,Lc2Lp0==1 AND crc64==1 AND BlockSize==0 AND bt4==1,0,0.0,0.0,0.0,0
bi_modal_split,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,0
tri_modal_split,207,sha256 = 1 AND Dist = 1 AND BlockSize = 1,Dist==1 AND sha256==1 AND BlockSize==1 AND none==0,2,1.0,1.0,1.0,0
power_law,367,MemoryLimit = 1 AND Dict = 1 AND FlushTimeout = 1,MemoryLimit==1 AND Dict==1 AND FlushTimeout==1,3,1.0,1.0,1.0,0
normal,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,MemoryLimit==1 AND Depth==1 AND PositionBits==1,0,1.0,1.0,1.0,10
uniform,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,MemoryLimit==1 AND Depth==1 AND PositionBits==1,0,1.0,1.0,1.0,10
bi_modal_split,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,MemoryLimit==1 AND Depth==1 AND PositionBits==1,0,1.0,1.0,1.0,10
tri_modal_split,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,MemoryLimit==1 AND Depth==1 AND PositionBits==1,3,1.0,1.0,1.0,10
power_law,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,Nice==0 AND Depth==1 AND Dist==0 AND hc4==1,2,0.0160642570281124,0.2857142857142857,0.0082644628099173,10
normal,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,Nice==1 AND BlockSize==1 AND bt4==1,0,1.0,1.0,1.0,11
uniform,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,Nice==1 AND BlockSize==1 AND bt3==0 AND bt4==1,1,1.0,1.0,1.0,11
bi_modal_split,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,crc32==1 AND Lc1Lp0==1 AND Depth==1 AND bt3==0,1,0.0079051383399209,0.1428571428571428,0.0040650406504065,11
tri_modal_split,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,Lc0Lp4==0 AND Nice==1 AND BlockSize==1 AND bt4==1,3,0.9663865546218486,1.0,0.934959349593496,11
power_law,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,Lc0Lp1==1 AND Depth==1 AND sha256==1 AND hc3==0,3,0.1071428571428571,0.4411764705882353,0.0609756097560975,11
normal,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,12
uniform,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,12
bi_modal_split,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,12
tri_modal_split,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,12
power_law,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,12
normal,205,none = 1 AND Dict = 1 AND BlockSize = 1,Dict==1 AND BlockSize==1 AND none==1,0,1.0,1.0,1.0,13
