sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,164,dump_models = 1 AND model_validate = 1 AND unsat_core = 1,auto_config==0 AND unsat_core==0 AND dump_models==1 AND model==1,0,0.0,0.0,0.0,0
uniform,115,auto_config = 1 AND model = 1 AND well_sorted_check = 1,unsat_core==1 AND debug_ref_count==1 AND proof==1 AND trace==0,2,0.1325966850828729,0.1818181818181818,0.1043478260869565,0
bi_modal_split,174,dump_models = 1 AND model_validate = 1 AND stats = 1,well_sorted_check==0 AND dump_models==1 AND model==1 AND proof==0,2,0.2256809338521401,0.3493975903614458,0.1666666666666666,0
tri_modal_split,143,auto_config = 1 AND smtlib2_compliant = 1 AND trace = 1,dump_models==0 AND model_validate==0 AND proof==0 AND smtlib2_compliant==0,0,0.0,0.0,0.0,0
power_law,156,auto_config = 1 AND proof = 1 AND unsat_core = 1,auto_config==1 AND unsat_core==1 AND proof==1,0,1.0,1.0,1.0,0
normal,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate==1 AND proof==1 AND type_check==1,0,1.0,1.0,1.0,10
uniform,153,model_validate = 1 AND proof = 1 AND type_check = 1,well_sorted_check==0 AND debug_ref_count==0 AND proof==1 AND smtlib2_compliant==0,2,0.1403508771929824,0.2133333333333333,0.1045751633986928,10
bi_modal_split,153,model_validate = 1 AND proof = 1 AND type_check = 1,debug_ref_count==1 AND model==1 AND stats==1 AND trace==0,2,0.1209302325581395,0.2096774193548387,0.0849673202614379,10
tri_modal_split,153,model_validate = 1 AND proof = 1 AND type_check = 1,well_sorted_check==1 AND model==0 AND smtlib2_compliant==0,4,0.0341880341880341,0.0493827160493827,0.0261437908496732,10
power_law,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate==1 AND proof==1 AND type_check==1,0,1.0,1.0,1.0,10
normal,160,model_validate = 1 AND proof = 1 AND trace = 1,auto_config==0 AND unsat_core==1 AND smtlib2_compliant==1 AND trace==0,0,0.0,0.0,0.0,11
uniform,160,model_validate = 1 AND proof = 1 AND trace = 1,model==0 AND stats==1 AND trace==1 AND type_check==1,3,0.1847389558232931,0.2584269662921348,0.14375,11
bi_modal_split,160,model_validate = 1 AND proof = 1 AND trace = 1,auto_config==1 AND debug_ref_count==0 AND model==0 AND type_check==1,1,0.0538116591928251,0.0952380952380952,0.0375,11
tri_modal_split,160,model_validate = 1 AND proof = 1 AND trace = 1,model_validate==1 AND proof==1 AND stats==1 AND trace==1,4,0.7596899224806202,1.0,0.6125,11
power_law,160,model_validate = 1 AND proof = 1 AND trace = 1,model_validate==1 AND proof==1 AND trace==1,0,1.0,1.0,1.0,11
normal,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,well_sorted_check==0 AND model_validate==0 AND stats==1 AND trace==1,0,0.0,0.0,0.0,12
uniform,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,unsat_core==1 AND debug_ref_count==1 AND model_validate==1,0,1.0,1.0,1.0,12
bi_modal_split,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,unsat_core==1 AND debug_ref_count==1 AND model_validate==1,0,1.0,1.0,1.0,12
tri_modal_split,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,auto_config==0 AND unsat_core==1 AND well_sorted_check==0 AND type_check==1,4,0.2014388489208633,0.2916666666666667,0.1538461538461538,12
power_law,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,unsat_core==1 AND debug_ref_count==1 AND model_validate==1,0,1.0,1.0,1.0,12
normal,188,model = 1 AND trace = 1 AND type_check = 1,model==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,13
uniform,188,model = 1 AND trace = 1 AND type_check = 1,dump_models==0 AND model==1 AND trace==0,0,0.0,0.0,0.0,13
bi_modal_split,188,model = 1 AND trace = 1 AND type_check = 1,model==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,13
tri_modal_split,188,model = 1 AND trace = 1 AND type_check = 1,model==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,13
power_law,188,model = 1 AND trace = 1 AND type_check = 1,debug_ref_count==0 AND proof==1 AND trace==1 AND type_check==1,4,0.3245283018867925,0.5584415584415584,0.2287234042553191,13
normal,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,well_sorted_check==1 AND debug_ref_count==0 AND model_validate==0 AND stats==0,1,0.0099502487562189,0.0192307692307692,0.0067114093959731,14
uniform,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,auto_config==1 AND debug_ref_count==0 AND model==0 AND type_check==1,3,0.1037735849056603,0.1746031746031746,0.0738255033557047,14
bi_modal_split,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,dump_models==1 AND smtlib2_compliant==1 AND trace==1,0,1.0,1.0,1.0,14
tri_modal_split,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,dump_models==1 AND smtlib2_compliant==1 AND trace==1,0,1.0,1.0,1.0,14
power_law,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,dump_models==1 AND smtlib2_compliant==1 AND trace==1,0,1.0,1.0,1.0,14
normal,172,proof = 1 AND stats = 1 AND trace = 1,auto_config==1 AND unsat_core==1 AND model==1 AND trace==0,0,0.0,0.0,0.0,15
uniform,172,proof = 1 AND stats = 1 AND trace = 1,unsat_core==0 AND dump_models==0 AND model==0 AND type_check==0,0,0.0728744939271255,0.12,0.0523255813953488,15
bi_modal_split,172,proof = 1 AND stats = 1 AND trace = 1,well_sorted_check==1 AND dump_models==0 AND smtlib2_compliant==1,2,0.0683760683760683,0.1290322580645161,0.0465116279069767,15
tri_modal_split,172,proof = 1 AND stats = 1 AND trace = 1,proof==1 AND stats==1 AND trace==1,0,1.0,1.0,1.0,15
power_law,172,proof = 1 AND stats = 1 AND trace = 1,proof==1 AND stats==1 AND trace==1,0,1.0,1.0,1.0,15
