n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,57172.593713162845,13728,BZip2 = 1,BZip2==1,0,1.0,1.0,1.0,0,109.9551420211792
2,46809.4572806119,6864,HeaderCompressionOff = 1 AND LZMA2 = 1,BZip2==0 AND Deflate==0 AND HeaderCompressionOff==1 AND LZMA2==1,0,1.0,1.0,1.0,0,2.427551031112671
3,8676.945115876662,3432,LZMA = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND x==10 AND BlockSize==2 AND Deflate==0 AND Files==80 AND filterOff==0 AND mtOff==0,0,0.0,0.0,0.0,0,301.1163046360016
4,38466.86204065976,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1 AND mtOff==1,0,1.0,1.0,1.0,0,8.887078762054443
1,42168.07850954649,6240,Files = 80,Files==80,0,1.0,1.0,1.0,1,3.7672197818756095
2,32122.35627471416,6864,Deflate = 1 AND tmOff = 1,BZip2==0 AND tmOff==1 AND Deflate==1 AND LZMA2==0 AND PPMd==0,0,1.0,1.0,1.0,1,7.118069171905518
3,50872.43686410627,3432,BZip2 = 1 AND filterOff = 1 AND mtOff = 1,BZip2==1 AND Deflate==0 AND LZMA2==0 AND PPMd==0 AND filterOff==1 AND mtOff==1,0,1.0,1.0,1.0,1,111.2652838230133
4,14865.90492212144,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1 AND mtOff==1,0,1.0,1.0,1.0,1,177.9501190185547
1,23041.58745345992,13728,LZMA = 1,BZip2==0 AND Deflate==0 AND LZMA2==0 AND PPMd==0,0,1.0,1.0,1.0,10,6.685088872909546
2,64132.55812287603,17160,HeaderCompressionOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1,0,1.0,1.0,1.0,10,1.5281732082366943
3,58768.36147637136,3432,PPMd = 1 AND filterOff = 1 AND tmOff = 1,BZip2==0 AND tmOff==1 AND Deflate==0 AND PPMd==1 AND filterOff==1,0,1.0,1.0,1.0,10,3.232111692428589
