n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,47.7814647109009,2635,Linear2D = 1,Array2D==0 AND CUDA==1 AND Ldg==0 AND Linear1D==0 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,1,4322.965787410736
2,65.39570558412142,697,Linear1D = 1 AND pixelPerThread = 2,Array2D==0 AND CUDA==1 AND Ldg==0 AND pixelPerThread==2 AND Linear1D==1 AND OpenCL==0,0,1.0,1.0,1.0,1,3323.900114059448
3,97.43425634504251,1060,LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND LocalMemory==1 AND TextureMemory==1,0,1.0,1.0,1.0,1,510.2087924480438
4,106.12361499529368,780,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 4,CUDA==1 AND bs_64x16==0 AND pixelPerThread==4 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==1 AND bs_1024x1==0,0,1.0,1.0,1.0,1,453.35400009155273
1,73.35062868643115,775,padding = 288,padding==288,0,1.0,1.0,1.0,10,2299.936782836914
2,77.71000120200516,1908,TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND TextureMemory==1,0,1.0,1.0,1.0,10,1197.3368349075315
3,91.06246875954793,714,CUDA = 1 AND Linear2D = 1 AND pixelPerThread = 1,Array2D==0 AND CUDA==1 AND Ldg==0 AND pixelPerThread==1 AND Linear1D==0 AND TextureMemory==1,0,1.0,1.0,1.0,10,1858.95871925354
4,45.60620234916878,1092,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,10,5663.147101402283
1,71.94340034507839,775,padding = 320,padding==320,0,1.0,1.0,1.0,11,2396.130759477616
2,76.94948281100204,1908,TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND TextureMemory==1,0,1.0,1.0,1.0,11,1183.7510979175568
3,95.21534554628656,697,Linear2D = 1 AND TextureMemory = 1 AND pixelPerThread = 2,Array2D==0 AND CUDA==1 AND Ldg==0 AND pixelPerThread==2 AND Linear1D==0 AND TextureMemory==1,0,1.0,1.0,1.0,11,1731.2155430316925
4,78.23474939062044,780,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 3,CUDA==1 AND bs_64x16==0 AND pixelPerThread==3 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==1 AND bs_1024x1==0,0,1.0,1.0,1.0,11,2171.185112953186
1,53.002248500899725,775,padding = 384,padding==384,0,1.0,1.0,1.0,12,4693.114687681198
2,84.47424611562103,775,TextureMemory = 1 AND padding = 0,padding==0 AND TextureMemory==1,0,1.0,1.0,1.0,12,2328.501360654831
3,81.869092498325,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,12,597.77450299263
4,83.41135574211206,714,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Array2D==0 AND CUDA==1 AND Ldg==1 AND pixelPerThread==1 AND Linear1D==0 AND OpenCL==0,0,1.0,1.0,1.0,12,1924.377867937088
1,77.54063128379127,775,padding = 288,padding==288,0,1.0,1.0,1.0,13,2074.980309724808
1,74.75596127538263,3132,pixelPerThread = 3,pixelPerThread==3,0,1.0,1.0,1.0,14,514.2615430355072
2,108.17658830254214,1207,Ldg = 1 AND LocalMemory = 1,Array2D==0 AND CUDA==1 AND Ldg==1 AND Linear1D==0 AND LocalMemory==1,0,1.0,1.0,1.0,14,236.03922986984253
3,115.33471919266772,697,CUDA = 1 AND Linear2D = 1 AND pixelPerThread = 2,Array2D==0 AND CUDA==1 AND Ldg==0 AND pixelPerThread==2 AND Linear1D==0 AND TextureMemory==1,0,1.0,1.0,1.0,14,222.2960922718048
4,78.11852978554131,714,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Array2D==0 AND CUDA==1 AND Ldg==0 AND pixelPerThread==1 AND Linear1D==0 AND TextureMemory==1,0,1.0,1.0,1.0,14,1952.725695371628
1,69.62855459474324,2635,Linear2D = 1,Array2D==0 AND CUDA==1 AND Ldg==0 AND Linear1D==0 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,15,1778.7027723789215
2,99.25813541257908,2898,CUDA = 1 AND pixelPerThread = 1,pixelPerThread==1 AND OpenCL==0,0,1.0,1.0,1.0,15,174.80409622192383
3,93.482844970239,714,Ldg = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Array2D==0 AND CUDA==1 AND Ldg==1 AND pixelPerThread==1 AND Linear1D==0 AND OpenCL==0,0,1.0,1.0,1.0,15,1994.06817150116
