n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,4719706.5,72,compressionZpaq = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==0 AND compressionZpaq==1,0,1.0,1.0,1.0,0,0.1303694248199463
2,4065668.4583333335,24,level = 2 AND unlimitedWindowSize = 1,level==2 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,0,0.2767941951751709
3,961932.7777777778,36,compression = 1 AND compressionLzo = 1 AND unlimitedWindowSize = 1,compression==0 AND compressionBzip2==0 AND compressionLrzip==0 AND compressionLzo==0 AND disableCompressibilityTesting==0 AND encryption==0 AND level==6,0,0.0,0.0,0.0,0,0.3138666152954101
4,5059391.866666666,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression==1 AND disableCompressibilityTesting==1 AND encryption==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,0,0.2106857299804687
1,4951750.902777778,72,compressionGzip = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==1,0,1.0,1.0,1.0,1,0.1551003456115722
2,2292662.7916666665,24,disableCompressibilityTesting = 1 AND level = 8,disableCompressibilityTesting==1 AND level==8,0,1.0,1.0,1.0,1,0.5029821395874023
3,5198348.972222222,36,compression = 1 AND compressionGzip = 1 AND unlimitedWindowSize = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==1 AND compressionLzo==0 AND compressionZpaq==0 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,1,0.1834104061126709
4,2093238.955555556,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression==1 AND disableCompressibilityTesting==1 AND encryption==1 AND unlimitedWindowSize==1,1,1.0,1.0,1.0,1,0.3283970355987549
1,5411047.722222222,72,compressionGzip = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==1,0,1.0,1.0,1.0,10,0.1755998134613037
2,520410.1111111111,36,compressionGzip = 1 AND disableCompressibilityTesting = 1,compression==1 AND compressionLrzip==1 AND disableCompressibilityTesting==0 AND encryption==0 AND level==7 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,10,0.5980536937713623
3,3365424.333333333,36,compression = 1 AND compressionLrzip = 1 AND unlimitedWindowSize = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==0 AND compressionLzo==0 AND compressionZpaq==0 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,10,0.2112870216369629
4,1009964.1777777778,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression==1 AND compressionGzip==0 AND compressionLrzip==0 AND compressionZpaq==1 AND disableCompressibilityTesting==0 AND encryption==1 AND level==8,0,0.0,0.0,0.0,10,0.3818237781524658
1,3983802.736111111,72,compressionLrzip = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==0 AND compressionLzo==0 AND compressionZpaq==0,0,1.0,1.0,1.0,11,0.1412246227264404
2,3593450.8055555555,36,compressionZpaq = 1 AND unlimitedWindowSize = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==0 AND compressionZpaq==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,11,0.15360689163208
3,2182168.611111111,36,compression = 1 AND compressionZpaq = 1 AND disableCompressibilityTesting = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==0 AND compressionZpaq==1 AND disableCompressibilityTesting==1,0,1.0,1.0,1.0,11,0.3091678619384765
4,3265544.311111111,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression==1 AND disableCompressibilityTesting==1 AND encryption==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,11,0.2732031345367431
1,1984838.9722222225,72,compressionZpaq = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==0 AND compressionZpaq==1,0,1.0,1.0,1.0,12,0.301971435546875
2,2619567.1666666665,24,disableCompressibilityTesting = 1 AND level = 7,disableCompressibilityTesting==1 AND level==7,0,1.0,1.0,1.0,12,0.4909303188323974
3,2983912.75,36,compression = 1 AND compressionLzo = 1 AND encryption = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==0 AND compressionLzo==1 AND encryption==1,0,1.0,1.0,1.0,12,0.2346582412719726
4,4327340.066666666,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression==1 AND disableCompressibilityTesting==1 AND encryption==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,12,0.2262609004974365
1,439027.4305555556,72,compressionLrzip = 1,compression==1 AND compressionBzip2==0 AND compressionLrzip==0 AND compressionZpaq==0 AND disableCompressibilityTesting==0 AND level==5 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,13,0.4762170314788818
2,4982405.916666667,36,compressionLzo = 1 AND disableCompressibilityTesting = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==0 AND compressionLzo==1 AND disableCompressibilityTesting==1,0,1.0,1.0,1.0,13,0.152308702468872
3,2922671.75,36,compression = 1 AND compressionGzip = 1 AND disableCompressibilityTesting = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==1 AND compressionLzo==0 AND compressionZpaq==0 AND disableCompressibilityTesting==1,0,1.0,1.0,1.0,13,0.2396650314331054
4,545352.4,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression==1 AND compressionGzip==0 AND compressionLrzip==0 AND compressionLzo==1 AND encryption==0 AND level==9 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,13,0.5208992958068848
1,3692839.347222222,72,compressionLrzip = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==0 AND compressionLzo==0 AND compressionZpaq==0,0,1.0,1.0,1.0,14,0.1529321670532226
2,5180097.25,36,compressionLrzip = 1 AND unlimitedWindowSize = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==0 AND compressionLzo==0 AND compressionZpaq==0 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,14,0.1391289234161377
3,5067127.222222222,36,compression = 1 AND compressionLrzip = 1 AND unlimitedWindowSize = 1,compression==1 AND compressionBzip2==0 AND compressionGzip==0 AND compressionLzo==0 AND compressionZpaq==0 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,14,0.1678633689880371
4,4044376.533333333,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression==1 AND disableCompressibilityTesting==1 AND encryption==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,14,0.1966617107391357
