n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,5.7392001920146845,12000,pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1==0,0,0.0,0.0,0.0,0,65.4902024269104
2,28.23656962178144,15000,polly = 1 AND polly_no_tiling = 1,polly==1 AND polly_no_tiling==1,0,1.0,1.0,1.0,0,1770.3524088859558
3,24.53163255481762,5000,memory_based = 1 AND parallel = 1 AND polly_no_tiling = 1,pollyoptmaxconstantterm_10000==0 AND parallel==0 AND polly_no_tiling==1 AND polly_opt_simplify_deps==0,0,0.0,0.0,0.0,0,7429.211749792099
4,19.63242404864822,5000,min = 1 AND parallel = 1 AND polly = 1 AND polly_parallel = 1,parallel==0,0,0.0,0.0,0.0,0,3368.580899715424
1,28.032654064978686,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_1==0 AND pollyoptmaxconstantterm_10==0 AND pollyoptmaxconstantterm_1000==0 AND pollyoptmaxconstantterm_10000==0,0,1.0,1.0,1.0,1,3374.906986951828
2,10.116559918995408,15000,polly = 1 AND value_based = 1,polly==0,0,0.0,0.0,0.0,1,79.77360081672668
3,5.672000679650387,5000,min = 1 AND none = 1 AND parallel_force = 1,parallel_force==0,0,0.0,0.0,0.0,1,486.143018245697
4,7.375063903357454,3750,max = 1 AND none = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,polly_opt_simplify_deps==0,0,0.0,0.0,0.0,1,956.9521503448486
1,16.46249835819515,12000,pollyoptmaxcoefficient_100 = 1,pollyoptmaxcoefficient_100==0,0,0.0,0.0,0.0,10,306.0339980125427
2,15.748564760899606,4000,parallel = 1 AND pollydefaulttilesize = 16,parallel==0,0,0.0,0.0,0.0,10,2910.702444076538
3,16.951822167728935,3000,max = 1 AND none = 1 AND pollydefaulttilesize = 256,min==1,0,0.0,0.0,0.0,10,3718.520085334778
4,22.592953806199656,3750,min = 1 AND none = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1,polly_opt_simplify_deps==0,0,0.0,0.0,0.0,10,6974.291209697723
1,13.081407454262228,12000,pollydefaulttilesize = 16,pollydefaulttilesize==64,0,0.0,0.0,0.0,11,1482.3627421855929
2,24.20993040465024,6000,polly_no_tiling = 1 AND pollyoptmaxcoefficient_10 = 1,pollyoptmaxcoefficient_10==0,0,0.0,0.0,0.0,11,6176.955156087875
1,23.67261607386581,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100==0,0,0.0,0.0,0.0,12,2761.971696138382
2,5.805435363481782,6000,none = 1 AND pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1==0,0,0.0,0.0,0.0,12,386.0730640888214
3,10.334021100857695,3000,none = 1 AND polly_no_tiling = 1 AND pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1==0,0,0.0,0.0,0.0,12,2262.373592376709
4,27.921572729261936,5000,parallel_force = 1 AND polly = 1 AND polly_parallel = 1 AND value_based = 1,memory_based==0 AND none==0 AND parallel==0 AND parallel_force==1,0,1.0,1.0,1.0,12,5166.523103475571
1,15.481301012544025,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100==0,0,0.0,0.0,0.0,13,238.94619417190552
2,6.576658523132508,6000,none = 1 AND pollyoptmaxcoefficient_10000 = 1,pollyoptmaxcoefficient_10000==0,0,0.0,0.0,0.0,13,407.2905926704407
