n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,599.8498083947104,288,no_cabac = 1 AND no_mbtree = 1,no_cabac==1 AND no_mbtree==1,0,1.0,1.0,1.0,0,0.265984296798706
3,703.4068310452537,144,no_cabac = 1 AND no_deblock = 1 AND no_weightb = 1,no_cabac==1 AND no_deblock==1 AND no_weightb==1,0,1.0,1.0,1.0,0,0.2416596412658691
4,476.0814712608604,72,no_8x8dct = 1 AND no_cabac = 1 AND no_fast_pskip = 1 AND no_mbtree = 1,no_8x8dct==0 AND no_cabac==1 AND no_deblock==1 AND no_mbtree==0 AND no_weightb==1 AND rc_lookahead==60 AND ref==5,0,0.0,0.0,0.0,0,0.7756328582763672
2,625.3763305131895,192,no_mixed_refs = 1 AND rc_lookahead = 20,no_mixed_refs==1 AND rc_lookahead==20,0,1.0,1.0,1.0,1,0.3074336051940918
3,341.46892290006406,144,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_deblock==0 AND no_fast_pskip==0,0,0.0,0.0,0.0,1,0.7221977710723877
4,490.9676505256217,72,no_8x8dct = 1 AND no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_cabac==1 AND no_deblock==0 AND no_fast_pskip==0 AND no_mbtree==1 AND no_weightb==0 AND rc_lookahead==40,0,0.0,0.0,0.0,1,0.8939285278320312
2,691.9514572191806,128,rc_lookahead = 20 AND ref = 9,rc_lookahead==20 AND ref==9,0,1.0,1.0,1.0,10,0.2609360218048095
3,588.7180959715383,96,no_mbtree = 1 AND no_mixed_refs = 1 AND ref = 1,no_mbtree==1 AND no_mixed_refs==1 AND ref==1,0,1.0,1.0,1.0,10,0.7252426147460938
4,573.2735660265138,72,no_8x8dct = 1 AND no_deblock = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_8x8dct==1 AND no_deblock==1 AND no_mbtree==1 AND no_mixed_refs==1,0,1.0,1.0,1.0,10,0.7546205520629883
2,352.2325357988523,288,no_8x8dct = 1 AND no_fast_pskip = 1,no_8x8dct==0,0,0.0,0.0,0.0,11,0.6301891803741455
3,405.06765384167664,96,no_mixed_refs = 1 AND no_weightb = 1 AND ref = 5,no_8x8dct==1 AND no_mbtree==0 AND no_mixed_refs==0 AND no_weightb==0 AND rc_lookahead==20 AND ref==5,0,0.0,0.0,0.0,11,0.7360785007476807
4,770.1745975740434,72,no_8x8dct = 1 AND no_cabac = 1 AND no_fast_pskip = 1 AND no_weightb = 1,no_8x8dct==1 AND no_cabac==1 AND no_fast_pskip==1 AND no_weightb==1,0,1.0,1.0,1.0,11,0.3669013977050781
2,740.8677137373041,192,no_mbtree = 1 AND rc_lookahead = 20,no_mbtree==1 AND rc_lookahead==20,0,1.0,1.0,1.0,12,0.1527712345123291
3,552.5846358788672,144,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_cabac==1 AND no_deblock==1 AND no_mixed_refs==1,0,1.0,1.0,1.0,12,0.7616415023803711
4,360.6760692156161,72,no_8x8dct = 1 AND no_deblock = 1 AND no_mbtree = 1 AND no_weightb = 1,no_8x8dct==0 AND no_deblock==1 AND no_mbtree==0 AND no_mixed_refs==0 AND no_weightb==1,0,0.0,0.0,0.0,12,0.6776061058044434
2,388.23305089594334,288,no_deblock = 1 AND no_mbtree = 1,no_cabac==0 AND no_fast_pskip==0 AND no_mbtree==0 AND no_weightb==0 AND rc_lookahead==60 AND ref==9,0,0.0,0.0,0.0,13,0.8379456996917725
3,424.38097573184615,96,no_fast_pskip = 1 AND no_mixed_refs = 1 AND rc_lookahead = 20,no_8x8dct==0 AND no_deblock==1 AND no_fast_pskip==0 AND no_weightb==0 AND rc_lookahead==20 AND ref==5,0,0.0,0.0,0.0,13,0.8299775123596191
4,560.877647085372,72,no_8x8dct = 1 AND no_cabac = 1 AND no_deblock = 1 AND no_weightb = 1,no_8x8dct==1 AND no_cabac==1 AND no_deblock==1 AND no_weightb==1,0,1.0,1.0,1.0,13,0.8954644203186035
