n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,11.70399145117719,480,dpi = 400.0,indexed==8.0 AND anyScriptOrigin==1.0 AND validate==1.0 AND png==0.0 AND onload==1.0 AND dpi==200.0 AND quality==0.1,0,0.0,0.0,0.0,0,6.788853168487549
2,9.380655722195566,240,anyScriptOrigin = 1 AND indexed = 4.0,tiff==0.0 AND indexed==1.0 AND anyScriptOrigin==1.0 AND validate==1.0 AND png==0.0 AND onload==1.0 AND pdf==0.0,0,0.0,0.0,0.0,0,7.693183898925781
3,12.412627310528189,96,tiff = 1 AND dpi = 50.0 AND quality = 0.1,tiff==0.0 AND anyScriptOrigin==1.0 AND validate==0.0 AND onload==0.0 AND pdf==1.0 AND resolution==307200.0,0,0.0,0.0,0.0,0,7.621455430984497
4,12.750584070579706,96,anyScriptOrigin = 1 AND onload = 1 AND quality = 0.1 AND indexed = 8.0,indexed==8.0 AND anyScriptOrigin==0.0 AND validate==0.0 AND onload==1.0 AND pdf==0.0 AND resolution==8294400.0 AND quality==0.1,0,0.0,0.0,0.0,0,9.248351573944092
1,12.34646324690353,480,indexed = 1.0,tiff==0.0 AND indexed==2.0 AND validate==0.0 AND onload==0.0 AND dpi==50.0 AND quality==0.9,0,0.0,0.0,0.0,1,6.371660232543945
2,19.258218869028724,160,dpi = 50.0 AND resolution = 8294400.0,dpi==50.0 AND resolution==8294400.0,0,1.0,1.0,1.0,1,0.5827491283416748
3,12.34340376272361,128,jpg = 1 AND resolution = 8294400.0 AND quality = 0.9,indexed==1.0 AND validate==1.0 AND onload==1.0 AND pdf==0.0 AND resolution==8294400.0,3,0.1,0.25,0.0625,1,8.036684274673462
4,9.419453621966207,96,anyScriptOrigin = 1 AND validate = 1 AND dpi = 400.0 AND quality = 0.1,tiff==0.0 AND indexed==8.0 AND anyScriptOrigin==0.0 AND onload==1.0 AND resolution==307200.0,0,0.0,0.0,0.0,1,8.203761339187622
1,13.241677313199212,480,dpi = 50.0,dpi==50.0,0,1.0,1.0,1.0,10,5.339609384536743
2,9.42989986518728,160,dpi = 50.0 AND resolution = 307200.0,tiff==0.0 AND indexed==8.0 AND onload==0.0 AND dpi==100.0 AND quality==0.1,0,0.0,0.0,0.0,10,6.732326030731201
3,12.082525180476328,128,resolution = 2073600.0 AND quality = 0.1 AND indexed = 1.0,tiff==0.0 AND indexed==4.0 AND anyScriptOrigin==1.0 AND validate==1.0 AND png==0.0 AND dpi==100.0 AND quality==0.1,0,0.0,0.0,0.0,10,6.416967868804932
4,12.63515002765137,128,anyScriptOrigin = 1 AND onload = 1 AND resolution = 2073600.0 AND quality = 0.1,indexed==2.0 AND anyScriptOrigin==1.0 AND png==0.0 AND dpi==50.0,3,0.0681818181818181,0.125,0.046875,10,6.958269119262695
1,14.364854673549242,480,dpi = 400.0,dpi==400.0,0,1.0,1.0,1.0,11,1.7439846992492676
2,14.543221140705173,240,onload = 1 AND indexed = 4.0,indexed==4.0 AND onload==1.0,0,1.0,1.0,1.0,11,2.9157416820526123
3,18.8796158690818,119,anyScriptOrigin = 1 AND onload = 1 AND indexed = 2.0,indexed==2.0 AND anyScriptOrigin==1.0 AND onload==1.0,0,1.0,1.0,1.0,11,1.0953853130340576
4,13.365640470473162,192,anyScriptOrigin = 1 AND validate = 1 AND onload = 1 AND quality = 0.1,tiff==1.0 AND indexed==4.0 AND anyScriptOrigin==1.0 AND validate==0.0 AND jpg==0.0 AND onload==1.0,0,0.0,0.0,0.0,11,5.993391513824463
1,11.963466973905104,480,indexed = 8.0,tiff==0.0 AND indexed==4.0 AND anyScriptOrigin==0.0 AND validate==0.0 AND onload==1.0 AND pdf==0.0 AND resolution==2073600.0,0,0.0,0.0,0.0,12,5.000574350357056
2,12.66004864153562,128,pdf = 1 AND resolution = 307200.0,tiff==0.0 AND indexed==2.0 AND validate==0.0 AND jpg==0.0 AND dpi==200.0 AND resolution==8294400.0,0,0.0,0.0,0.0,12,7.176218271255493
3,9.499119827381342,128,dpi = 400.0 AND resolution = 8294400.0 AND quality = 0.1,indexed==2.0 AND anyScriptOrigin==1.0 AND onload==0.0 AND dpi==400.0 AND resolution==307200.0,0,0.0,0.0,0.0,12,7.9748694896698
4,12.488199614939324,96,anyScriptOrigin = 1 AND onload = 1 AND pdf = 1 AND quality = 0.1,anyScriptOrigin==0.0 AND validate==0.0 AND pdf==0.0 AND dpi==100.0 AND resolution==307200.0,0,0.0,0.0,0.0,12,6.841385364532471
1,7.679176229673547,384,tiff = 1,tiff==0.0,0,0.0,0.0,0.0,13,2.8368043899536133
