n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,38.90954221401543,830,win = 1,iosCreateImagesetFolders==0 AND android==0 AND ios==0 AND androidMipmapInsteadOfDrawable==0 AND web==0,0,1.0,1.0,1.0,0,204.1082980632782
2,28.639775700005067,1044,androidIncludeLdpiTvdpi = 1 AND threads = 90,androidIncludeLdpiTvdpi==0 AND gif==0,0,0.0,0.0,0.0,0,190.4320478439331
3,25.382404637128,528,android = 1 AND floor = 1 AND threads = 10,round==1 AND jpeg==0 AND floor==0,0,0.0,0.0,0.0,0,218.0923261642456
4,20.25078119844409,471,scaleIsHeightDp = 1 AND antiAliasing = 1 AND skipUpscaling = 1 AND threads = 90,threads==10 AND bmp==0,0,0.0,0.0,0.0,0,207.9439980983734
1,31.62018187964905,830,win = 1,iosCreateImagesetFolders==0 AND antiAliasing==1 AND skipUpscaling==0 AND round==1 AND threads==90 AND ios==1 AND scaleIsHeightDp==1,0,0.0,0.0,0.0,1,224.23039722442627
2,55.41701158705251,757,androidMipmapInsteadOfDrawable = 1 AND threads = 10,iosCreateImagesetFolders==0 AND threads==10 AND android==1 AND ios==0 AND androidMipmapInsteadOfDrawable==1 AND web==0,0,1.0,1.0,1.0,1,3.3325798511505127
3,45.31787923119015,509,scaleIsHeightDp = 1 AND floor = 1 AND threads = 10,round==0 AND threads==10 AND scaleIsHeightDp==1 AND floor==1,0,1.0,1.0,1.0,1,87.20495557785034
4,23.525330779773725,409,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND antiAliasing = 1 AND threads = 10,win==0 AND bmp==0 AND gif==0 AND androidMipmapInsteadOfDrawable==0 AND scaleIsHeightDp==1 AND jpeg==0 AND floor==1,0,0.0,0.0,0.0,1,231.69226360321045
1,45.70279557098409,752,web = 1,iosCreateImagesetFolders==0 AND android==0 AND ios==0 AND androidMipmapInsteadOfDrawable==0 AND web==1,0,1.0,1.0,1.0,10,37.78782081604004
2,55.51697761760106,1802,android = 1 AND androidMipmapInsteadOfDrawable = 1,iosCreateImagesetFolders==0 AND android==1 AND ios==0 AND androidMipmapInsteadOfDrawable==1,0,1.0,1.0,1.0,10,0.8222849369049072
3,40.8647215908794,699,android = 1 AND ceil = 1 AND threads = 90,iosCreateImagesetFolders==0 AND round==0 AND threads==90 AND android==1 AND ios==0 AND web==0 AND floor==0,0,1.0,1.0,1.0,10,152.24160981178284
4,33.82799384778639,373,scaleIsHeightDp = 1 AND antiAliasing = 1 AND skipUpscaling = 1 AND threads = 10,iosCreateImagesetFolders==0 AND win==0 AND skipUpscaling==0 AND png==0 AND ceil==1 AND bmp==0 AND jpeg==0,0,0.0,0.0,0.0,10,209.9305729866028
1,52.79812480434995,1802,androidMipmapInsteadOfDrawable = 1,iosCreateImagesetFolders==0 AND android==1 AND ios==0 AND androidMipmapInsteadOfDrawable==1,0,1.0,1.0,1.0,11,0.9976470470428468
2,19.224640204414037,933,scaleIsHeightDp = 1 AND androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi==0,0,0.0,0.0,0.0,11,118.52903747558594
3,30.546035909394185,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,android==0 AND web==0,0,0.0,0.0,0.0,11,208.31855988502505
4,24.80985879634644,346,android = 1 AND scaleIsHeightDp = 1 AND jpeg = 1 AND threads = 90,win==0 AND skipUpscaling==0 AND androidIncludeLdpiTvdpi==0 AND png==0 AND scaleIsHeightDp==0 AND jpeg==0 AND floor==0,0,0.0,0.0,0.0,11,219.53106832504272
1,31.65131490735092,1777,androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi==0 AND bmp==0,0,0.0,0.0,0.0,12,172.20153522491455
2,38.61324014673342,649,ios = 1 AND threads = 10,androidIncludeLdpiTvdpi==0 AND threads==10 AND android==0 AND ios==1 AND androidMipmapInsteadOfDrawable==0 AND web==0,0,1.0,1.0,1.0,12,225.45735359191892
3,23.599192112471208,485,scaleIsHeightDp = 1 AND skipUpscaling = 1 AND androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi==0 AND bmp==0,0,0.0,0.0,0.0,12,206.70307660102844
4,23.22207609688833,394,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND scaleIsHeightDp = 1 AND threads = 10,iosCreateImagesetFolders==0 AND antiAliasing==1 AND png==1 AND threads==10 AND android==1 AND androidMipmapInsteadOfDrawable==0 AND jpeg==0,0,0.0,0.0,0.0,12,200.61256527900696
1,37.32276499708502,1079,bmp = 1,iosCreateImagesetFolders==0 AND win==1 AND skipUpscaling==0 AND threads==90 AND androidMipmapInsteadOfDrawable==0 AND jpeg==1 AND floor==0,0,0.0,0.0,0.0,13,214.20066165924072
2,57.38815747240927,622,floor = 1 AND androidIncludeLdpiTvdpi = 1,iosCreateImagesetFolders==0 AND androidIncludeLdpiTvdpi==1 AND android==1 AND ios==0 AND web==0 AND floor==1,0,1.0,1.0,1.0,13,3.608170747756958
3,34.47792539806531,615,android = 1 AND scaleIsHeightDp = 1 AND floor = 1,iosCreateImagesetFolders==0 AND round==1 AND threads==90 AND bmp==1 AND gif==0 AND web==1 AND jpeg==0,0,0.0,0.0,0.0,13,223.3359899520874
4,29.83157802682364,482,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND scaleIsHeightDp = 1 AND antiAliasing = 1,antiAliasing==0 AND androidIncludeLdpiTvdpi==0 AND png==0 AND round==0 AND threads==90 AND gif==0 AND android==1,0,0.0,0.0,0.0,13,234.120685338974
1,24.11258045522668,1802,androidMipmapInsteadOfDrawable = 1,androidMipmapInsteadOfDrawable==0,0,0.0,0.0,0.0,14,68.65239405632019
2,31.66527159954755,355,bmp = 1 AND ceil = 1,win==1 AND antiAliasing==0 AND skipUpscaling==0 AND png==0 AND round==1 AND web==0 AND jpeg==0,0,0.0,0.0,0.0,14,228.7825243473053
3,29.14511776678896,371,jpeg = 1 AND antiAliasing = 1 AND ceil = 1,win==0 AND antiAliasing==1 AND skipUpscaling==0 AND round==0 AND gif==0 AND jpeg==0 AND floor==0,0,0.0,0.0,0.0,14,224.79402828216556
4,42.44873923461982,491,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND antiAliasing = 1 AND skipUpscaling = 1,iosCreateImagesetFolders==0 AND antiAliasing==1 AND skipUpscaling==1 AND android==1 AND ios==0 AND androidMipmapInsteadOfDrawable==1,0,1.0,1.0,1.0,14,136.6597671508789
1,26.444063686714745,1777,androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi==0,0,0.0,0.0,0.0,15,84.67298579216003
2,51.2462793221972,402,floor = 1 AND png = 1,png==1 AND bmp==0 AND gif==0 AND jpeg==0 AND floor==1,0,1.0,1.0,1.0,15,25.90695571899414
3,44.29841644866552,345,androidMipmapInsteadOfDrawable = 1 AND scaleIsHeightDp = 1 AND jpeg = 1,iosCreateImagesetFolders==0 AND bmp==0 AND gif==0 AND androidMipmapInsteadOfDrawable==1 AND scaleIsHeightDp==1 AND jpeg==1,0,1.0,1.0,1.0,15,118.85788631439208
4,28.303777009914803,392,android = 1 AND scaleIsHeightDp = 1 AND androidIncludeLdpiTvdpi = 1 AND threads = 10,iosCreateImagesetFolders==0 AND win==0 AND antiAliasing==0 AND ceil==0 AND threads==10 AND scaleIsHeightDp==0 AND jpeg==0,0,0.0,0.0,0.0,15,219.15968561172485
