n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,20.123088825368267,572,VBRRange = 1,VBRRange==1 AND Freeformat==0,0,1.0,1.0,1.0,0,0.1675717830657959
2,19.90941814320604,1146,Freeformat = 1 AND SwapBytes = 1,SwapBytes==1 AND Freeformat==1,0,1.0,1.0,1.0,0,0.4187867641448974
3,8.854335620949666,415,NoRes = 1 AND NoReplayGain = 1 AND CBR = 8,NoRes==1 AND CBR==8 AND NoReplayGain==1 AND ReplayGainFast==0,0,1.0,1.0,1.0,0,28.541101932525635
4,22.665421976916583,210,NoRes = 1 AND CRC = 1 AND ReplayGainAccurate = 1 AND CBR = 320,NoRes==1 AND CBR==320 AND NoReplayGain==0 AND ReplayGainFast==0 AND CRC==1,0,1.0,1.0,1.0,0,10.545093297958374
5,28.242920039964684,324,Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,SwapBytes==1 AND MidSideStereo==0 AND Freeformat==1 AND Mono==0 AND DualChannels==0 AND Stereo==0 AND CRC==1,0,1.0,1.0,1.0,0,1.4972949028015137
6,20.00068761023575,309,NoRes = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes==1 AND JointStereo==1 AND SwapBytes==1 AND MidSideStereo==0 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,0,24.559536695480347
7,14.73455925792041,377,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND ReplayGainAccurate = 1 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND NoReplayGain==0 AND Downmix==1 AND ReplayGainFast==0 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,0,11.442298412322998
1,17.77423517861404,1061,Resampling = 8,Resampling==8,0,1.0,1.0,1.0,1,0.2357556819915771
2,16.252297438665767,259,ReplayGainFast = 1 AND Stereo = 1,NoReplayGain==0 AND ReplayGainFast==1 AND MidSideStereo==0 AND Mono==0 AND DualChannels==0 AND Stereo==1,0,1.0,1.0,1.0,1,1.0718271732330322
3,27.09654204990978,304,NoRes = 1 AND MidSideStereo = 1 AND Freeformat = 1,NoRes==1 AND MidSideStereo==1 AND Freeformat==1,0,1.0,1.0,1.0,1,20.40778088569641
4,22.664427945771195,589,NoRes = 1 AND Downmix = 1 AND CRC = 1 AND ReplayGainAccurate = 1,NoRes==1 AND NoReplayGain==0 AND Downmix==1 AND ReplayGainFast==0 AND CRC==1,0,1.0,1.0,1.0,1,19.58147168159485
5,22.364168729769105,321,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND Resampling = 22 AND VBRRange = 0,NoRes==1 AND Resampling==22 AND Downmix==1 AND Freeformat==1,0,1.0,1.0,1.0,1,6.679241895675659
6,4.913450478184746,305,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND VBRRange = 0,SwapBytes==1 AND Resampling==44 AND CBR==8 AND VBRRange==0 AND NoReplayGain==1 AND MidSideStereo==1 AND CRC==0,0,0.0,0.0,0.0,1,71.03487396240234
7,4.96715817476241,337,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND Resampling = 8 AND VBRRange = 0,SwapBytes==1 AND Resampling==22 AND VBRRange==0 AND NoReplayGain==1 AND Downmix==1 AND Freeformat==0 AND Stereo==1,0,0.0,0.0,0.0,1,95.02602171897888
1,25.371613112462164,1162,NoReplayGain = 1,NoReplayGain==1,0,1.0,1.0,1.0,10,4.318096876144409
2,10.442206851707748,991,ReplayGainFast = 1 AND CBR = 8,CBR==8 AND NoReplayGain==0 AND ReplayGainFast==1,0,1.0,1.0,1.0,10,0.4240739345550537
3,18.337607721975974,395,ReplayGainAccurate = 1 AND Resampling = 22 AND CBR = 8,Resampling==22 AND CBR==8 AND NoReplayGain==0 AND ReplayGainFast==0,0,1.0,1.0,1.0,10,0.2582643032073974
4,3.918749895988436,575,Downmix = 1 AND CRC = 1 AND ReplayGainAccurate = 1 AND VBRRange = 0,NoRes==0 AND JointStereo==0 AND ReplayGainAccurate==0 AND MidSideStereo==0 AND Freeformat==0 AND Stereo==0 AND CRC==1,0,0.0,0.0,0.0,10,86.02956247329712
5,2.673229749235128,268,NoRes = 1 AND Downmix = 1 AND SwapBytes = 1 AND Resampling = 22 AND CBR = 8,NoRes==1 AND CBR==320 AND NoReplayGain==0 AND Downmix==1 AND ReplayGainFast==1 AND Stereo==1 AND CRC==1,0,0.0,0.0,0.0,10,83.90515112876892
6,18.274453840789256,274,NoRes = 1 AND Downmix = 1 AND ReplayGainFast = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1,NoRes==1 AND SwapBytes==1 AND Downmix==1 AND ReplayGainFast==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,10,13.635201454162598
7,10.509818938775844,304,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND CBR = 160 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND CBR==160 AND Downmix==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,10,15.35649275779724
1,11.599980658658852,999,JointStereo = 1,MidSideStereo==0 AND Mono==0 AND DualChannels==0 AND Stereo==0,0,1.0,1.0,1.0,11,0.6154329776763916
2,22.51729181649452,442,Downmix = 1 AND Resampling = 44,Resampling==44 AND Downmix==1,0,1.0,1.0,1.0,11,1.2031044960021973
3,10.542938319718749,220,Downmix = 1 AND JointStereo = 1 AND CBR = 8,CBR==8 AND Downmix==1 AND MidSideStereo==0 AND Mono==0 AND DualChannels==0 AND Stereo==0,0,1.0,1.0,1.0,11,15.573238611221312
4,5.299833954906766,348,NoRes = 1 AND Freeformat = 1 AND CRC = 1 AND CBR = 160,NoRes==1 AND SwapBytes==1 AND Resampling==44 AND VBRRange==1 AND Downmix==0 AND ReplayGainFast==1 AND DualChannels==1,0,0.0,0.0,0.0,11,58.87118029594421
5,13.112215170862097,312,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CBR = 8 AND VBRRange = 0,NoRes==1 AND CBR==8 AND Downmix==1 AND Freeformat==1,0,1.0,1.0,1.0,11,22.56894826889038
6,8.443468517445817,304,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND CBR = 160,NoRes==1 AND SwapBytes==1 AND CBR==160 AND Downmix==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,11,21.855329990386963
7,14.950483241764982,357,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND CBR = 320 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND CBR==320 AND Downmix==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,11,21.35999035835266
1,15.692279008797469,722,DualChannels = 1,MidSideStereo==0 AND Mono==0 AND DualChannels==1,0,1.0,1.0,1.0,12,0.3907880783081054
2,27.579864080550323,425,Downmix = 1 AND Stereo = 1,Downmix==1 AND MidSideStereo==0 AND Mono==0 AND DualChannels==0 AND Stereo==1,0,1.0,1.0,1.0,12,1.198070049285889
3,15.073999445425194,242,JointStereo = 1 AND SwapBytes = 1 AND CBR = 8,SwapBytes==1 AND CBR==8 AND MidSideStereo==0 AND Mono==0 AND DualChannels==0 AND Stereo==0,0,1.0,1.0,1.0,12,2.648157119750977
4,12.907466748718027,233,Downmix = 1 AND ReplayGainAccurate = 1 AND CBR = 320 AND VBRRange = 0,CBR==320 AND NoReplayGain==0 AND Downmix==1 AND ReplayGainFast==0,0,1.0,1.0,1.0,12,5.602635145187378
5,16.564430424428714,274,NoRes = 1 AND NoReplayGain = 1 AND Downmix = 1 AND SwapBytes = 1 AND CBR = 8,NoRes==1 AND SwapBytes==1 AND CBR==8 AND NoReplayGain==1 AND Downmix==1 AND ReplayGainFast==0,0,1.0,1.0,1.0,12,23.83295512199402
6,28.834461958837878,337,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND Resampling = 8,NoRes==1 AND SwapBytes==1 AND Resampling==8 AND Downmix==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,12,5.256576299667358
7,9.99721835856352,274,NoRes = 1 AND Downmix = 1 AND ReplayGainFast = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND Downmix==1 AND ReplayGainFast==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,12,20.78123140335083
1,22.42673688973588,1061,Resampling = 8,Resampling==8,0,1.0,1.0,1.0,13,0.2275347709655761
2,11.306186905454153,248,ReplayGainFast = 1 AND DualChannels = 1,NoReplayGain==0 AND ReplayGainFast==1 AND MidSideStereo==0 AND Mono==0 AND DualChannels==1,0,1.0,1.0,1.0,13,2.9689691066741943
3,22.828760872175085,388,CRC = 1 AND Resampling = 8 AND CBR = 8,Resampling==8 AND CBR==8 AND CRC==1,0,1.0,1.0,1.0,13,0.5629336833953857
4,12.379326674440044,482,NoRes = 1 AND CRC = 1 AND SwapBytes = 1 AND Resampling = 22,NoRes==1 AND SwapBytes==1 AND Resampling==22 AND CRC==1,0,1.0,1.0,1.0,13,20.814836502075195
5,29.719597584441,359,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND SwapBytes = 1 AND Resampling = 8,NoRes==1 AND SwapBytes==1 AND Resampling==8 AND Downmix==1 AND Freeformat==1,0,1.0,1.0,1.0,13,8.968065977096558
6,28.90312669562979,936,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND Downmix==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,13,11.688705205917358
7,4.491654104126519,296,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes==0 AND Resampling==22 AND VBRRange==0 AND NoReplayGain==0 AND Downmix==0 AND MidSideStereo==0 AND DualChannels==0,0,0.0,0.0,0.0,13,99.25905084609984
1,22.015458568359985,1162,NoReplayGain = 1,NoReplayGain==1,0,1.0,1.0,1.0,14,4.061771154403687
2,22.332915405633837,222,JointStereo = 1 AND CBR = 320,CBR==320 AND MidSideStereo==0 AND Mono==0 AND DualChannels==0 AND Stereo==0,0,1.0,1.0,1.0,14,0.7369465827941895
3,12.486411229678376,326,NoRes = 1 AND NoReplayGain = 1 AND Freeformat = 1,NoRes==1 AND NoReplayGain==1 AND ReplayGainFast==0 AND Freeformat==1,0,1.0,1.0,1.0,14,23.81249213218689
4,23.725846743374344,403,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CBR = 320,NoRes==1 AND CBR==320 AND Downmix==1 AND Freeformat==1,0,1.0,1.0,1.0,14,17.4903461933136
5,12.266964676922589,311,Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND CBR = 8 AND VBRRange = 0,CBR==8 AND Downmix==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,14,8.586462020874023
6,24.00332777731308,266,NoRes = 1 AND MidSideStereo = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND MidSideStereo==1 AND Freeformat==1 AND Mono==0 AND CRC==1,0,1.0,1.0,1.0,14,22.94526314735413
7,26.410201876397533,275,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND CBR = 8 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND CBR==8 AND Downmix==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,14,8.015873432159424
1,3.699815295184961,999,JointStereo = 1,SwapBytes==0 AND Resampling==48 AND VBRRange==0 AND NoReplayGain==1 AND Downmix==0 AND DualChannels==1 AND CRC==0,0,0.0,0.0,0.0,15,73.61284303665161
2,14.7571055322758,375,DualChannels = 1 AND SwapBytes = 1,SwapBytes==1 AND MidSideStereo==0 AND Mono==0 AND DualChannels==1 AND Stereo==0,0,1.0,1.0,1.0,15,1.4234414100646973
3,9.645668539267607,225,MidSideStereo = 1 AND Resampling = 22 AND CBR = 8,Resampling==22 AND CBR==8 AND MidSideStereo==1 AND Mono==0 AND DualChannels==0 AND Stereo==0,0,1.0,1.0,1.0,15,6.610578298568726
4,17.830485683536814,283,NoReplayGain = 1 AND Downmix = 1 AND CRC = 1 AND CBR = 8,CBR==8 AND NoReplayGain==1 AND Downmix==1 AND ReplayGainFast==0 AND CRC==1,0,1.0,1.0,1.0,15,4.09360671043396
5,10.13913420215588,310,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND JointStereo = 1 AND SwapBytes = 1,NoRes==1 AND JointStereo==1 AND SwapBytes==1 AND Downmix==1 AND MidSideStereo==0 AND Freeformat==1,0,1.0,1.0,1.0,15,21.16581392288208
6,24.1434441196201,377,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND ReplayGainAccurate = 1,NoRes==1 AND SwapBytes==1 AND NoReplayGain==0 AND Downmix==1 AND ReplayGainFast==0 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,15,20.541595697402958
7,10.921793184796844,274,NoRes = 1 AND Downmix = 1 AND ReplayGainFast = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND Downmix==1 AND ReplayGainFast==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,15,12.633220195770264
1,4.316447596657638,801,Resampling = 48,NoRes==0 AND Resampling==22 AND Downmix==0 AND ReplayGainFast==0 AND Freeformat==1 AND Mono==1 AND CRC==0,0,0.0,0.0,0.0,16,94.4176185131073
2,3.5386897296003537,1144,Freeformat = 1 AND CRC = 1,NoRes==1 AND CBR==320 AND NoReplayGain==0 AND Downmix==1 AND MidSideStereo==1 AND Freeformat==0 AND DualChannels==0,0,0.0,0.0,0.0,16,51.32430863380432
3,9.426918756208435,273,Resampling = 22 AND CBR = 160 AND VBRRange = 0,Resampling==22 AND CBR==160,0,1.0,1.0,1.0,16,13.462000846862791
4,27.11740036071838,297,Downmix = 1 AND ReplayGainFast = 1 AND Freeformat = 1 AND CRC = 1,NoReplayGain==0 AND Downmix==1 AND ReplayGainFast==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,16,1.3886771202087402
5,6.632112805757459,448,NoRes = 1 AND Freeformat = 1 AND SwapBytes = 1 AND ReplayGainAccurate = 1 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND NoReplayGain==0 AND ReplayGainFast==0 AND Freeformat==1,0,1.0,1.0,1.0,16,49.32474303245544
6,22.05597542821264,327,NoRes = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND CBR = 160 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND CBR==160 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,16,21.425678253173828
7,17.12944840520511,254,NoRes = 1 AND Downmix = 1 AND MidSideStereo = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes==1 AND SwapBytes==1 AND Downmix==1 AND MidSideStereo==1 AND Freeformat==1 AND CRC==1,0,1.0,1.0,1.0,16,23.898902893066406
1,19.32645435074916,999,JointStereo = 1,MidSideStereo==0 AND Mono==0 AND DualChannels==0 AND Stereo==0,0,1.0,1.0,1.0,17,0.3241820335388183
2,21.25670862954972,425,Downmix = 1 AND Stereo = 1,Downmix==1 AND MidSideStereo==0 AND Mono==0 AND DualChannels==0 AND Stereo==1,0,1.0,1.0,1.0,17,1.3279578685760498
3,6.31857960072317,389,Downmix = 1 AND SwapBytes = 1 AND CBR = 160,SwapBytes==1 AND CBR==160 AND Downmix==1,4,1.0,1.0,1.0,17,71.90698862075806
