n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,190.53837367694072,356,TPAQ = 1,TPAQ==1,0,1.0,1.0,1.0,0,1.7376935482025146
2,87.7141644599217,670,SRT = 1 AND BWT = 1,BWT==1 AND SRT==1,0,1.0,1.0,1.0,0,21.052940130233765
3,211.0572749402375,299,RANK = 1 AND TEXT = 1 AND skip = 1,RANK==1 AND TEXT==1 AND skip==1,0,1.0,1.0,1.0,0,7.472453355789185
4,207.77331076179848,209,TEXT = 1 AND BWTS = 1 AND RLT = 1 AND BWT = 1,RLT==1 AND BWT==1 AND TEXT==1 AND BWTS==1,0,1.0,1.0,1.0,0,3.419260263442993
5,65.67427484864896,257,LZP = 1 AND skip = 1 AND X86 = 1 AND checksum = 1 AND RLT = 1,LZP==1 AND MTFT6==1 AND checksum==1 AND RLT==1 AND skip==1,0,1.0,1.0,1.0,0,512.657256603241
6,143.75714536422603,232,LZP = 1 AND checksum = 1 AND RLT = 1 AND Huffman = 1 AND jobs = 8 AND blocksize = 1000000,LZP==1 AND RLT==1 AND Range==0 AND Huffman==1 AND jobs==8 AND blocksize==1000000 AND TPAQ==0,0,1.0,1.0,1.0,0,315.43389773368835
1,24.18981942286043,570,ANS1 = 1,MTFT6==1 AND BWT==1 AND ZRLT==0 AND ROLZ==1 AND ROLZX==1 AND jobs==4 AND BWTS==0,0,0.0,0.0,0.0,1,1554.3333761692047
2,103.24186618389204,655,jobs = 8 AND blocksize = 1000000,jobs==8 AND blocksize==1000000,0,1.0,1.0,1.0,1,29.566319465637207
3,12.915725248841673,223,LZ = 1 AND checksum = 1 AND Huffman = 1,checksum==1 AND FPAQ==1 AND ROLZ==1 AND blocksize==1000000000 AND RANK==1 AND BWTS==1 AND MTFT==0,0,0.0,0.0,0.0,1,1872.618014574051
4,19.23711439739052,228,RLT = 1 AND BWT = 1 AND ROLZ = 1 AND blocksize = 1000000,LZP==0 AND checksum==1 AND ZRLT==0 AND jobs==1 AND blocksize==1000000000 AND RANK==1 AND BWTS==1,0,0.0,0.0,0.0,1,1874.76929974556
5,197.7753487050386,298,BWTS = 1 AND LZ = 1 AND SRT = 1 AND checksum = 1 AND RLT = 1,checksum==1 AND RLT==1 AND BWTS==1 AND LZ==1 AND SRT==1,0,1.0,1.0,1.0,1,11.963622331619264
6,104.8037392133512,242,LZP = 1 AND BWTS = 1 AND checksum = 1 AND RLT = 1 AND Huffman = 1 AND jobs = 8,LZP==1 AND RLT==1 AND Range==0 AND Huffman==1 AND jobs==8 AND TPAQ==0 AND BWTS==1,0,1.0,1.0,1.0,1,359.11255955696106
1,90.15158494693716,356,TPAQ = 1,TPAQ==1,0,1.0,1.0,1.0,10,94.59552264213562
2,79.12671289230916,959,skip = 1 AND X86 = 1,MTFT6==1 AND skip==1,0,1.0,1.0,1.0,10,44.90822887420654
3,14.73563035854289,438,LZP = 1 AND SRT = 1 AND X86 = 1,LZP==1 AND checksum==1 AND FPAQ==0 AND RLT==1 AND jobs==8 AND BWTS==0 AND SRT==0,0,0.0,0.0,0.0,10,1691.2716083526611
4,138.53902502556798,266,RANK = 1 AND BWT = 1 AND jobs = 1 AND blocksize = 1000000,BWT==1 AND jobs==1 AND blocksize==1000000 AND RANK==1,0,1.0,1.0,1.0,10,11.169180631637571
